example_id,rate,method,doc_len,n_docs,n_queries,top_count_mean,jaccard_all_mean,jaccard_related_related_mean,jaccard_unrelated_unrelated_mean,jaccard_related_unrelated_mean,all_query_intersection_over_topk,stable_over_doc,never_selected_ratio,always_selected_ratio,mean_stable_relative_position
0,0.15,global_top,1171,10,34,175.0,0.7783276296790997,0.7587939698492462,0.7825379236330232,0.746003064971035,0.7428571428571429,0.11101622544833475,0.703672075149445,0.11101622544833475,0.8876002629848784
0,0.15,per_doc_top,1171,10,34,171.0,0.6243974807233158,0.5475113122171946,0.6321109140427895,0.5658197188803034,0.47953216374269003,0.07002561912894961,0.5789923142613151,0.07002561912894961,0.5610173024807171
0,0.3,global_top,1171,10,34,351.0,0.8067176825926977,0.7862595419847328,0.8124974272763762,0.7622443197411894,0.7720797720797721,0.2314261315115286,0.430401366353544,0.2314261315115286,0.7651181127195887
0,0.3,per_doc_top,1171,10,34,347.0,0.7484440959489266,0.7135802469135802,0.7544993461291515,0.7020606546933597,0.6282420749279539,0.18616567036720752,0.38770281810418444,0.18616567036720752,0.5277072061475732
1,0.15,global_top,1205,10,34,180.0,0.7913865138231561,0.8181818181818182,0.7926956823882029,0.7808217808134392,0.7722222222222223,0.11535269709543569,0.7078838174273859,0.11535269709543569,0.8757319725614857
1,0.15,per_doc_top,1205,10,34,175.0,0.6006192513081522,0.627906976744186,0.6042829102110561,0.5717995241007074,0.5028571428571429,0.07302904564315353,0.5477178423236515,0.07302904564315353,0.5713625037752945
1,0.3,global_top,1205,10,34,361.0,0.7842372558993125,0.8140703517587939,0.7857556134962175,0.7720038424004947,0.7590027700831025,0.22738589211618257,0.395850622406639,0.22738589211618257,0.7808703348934211
1,0.3,per_doc_top,1205,10,34,357.0,0.7269017866919478,0.7163461538461539,0.729932745957323,0.7035767841485068,0.6330532212885154,0.187551867219917,0.35684647302904565,0.187551867219917,0.5188861611736689
2,0.15,global_top,1377,10,34,206.0,0.7378639383126784,0.7166666666666667,0.7400473862725389,0.7212734239932274,0.7135922330097088,0.10675381263616558,0.6615831517792302,0.10675381263616558,0.8934998417971839
2,0.15,per_doc_top,1377,10,34,202.0,0.6035009824982271,0.5719844357976653,0.6046186190674622,0.5953317451288526,0.46534653465346537,0.0682643427741467,0.5773420479302832,0.0682643427741467,0.6102795645719941
2,0.3,global_top,1377,10,34,413.0,0.7702488658635979,0.7687366167023555,0.7711257011215596,0.7634770215075379,0.7481840193704601,0.22440087145969498,0.39941902687000724,0.22440087145969498,0.7666963008956121
2,0.3,per_doc_top,1377,10,34,408.0,0.7458274928342672,0.7510729613733905,0.7460893952539953,0.7437157886354508,0.6617647058823529,0.19607843137254902,0.40522875816993464,0.19607843137254902,0.5473137381567612
3,0.15,global_top,1243,11,35,186.0,0.7460875066188711,0.8325419618171611,0.7454435952450986,0.746712680325083,0.6989247311827957,0.10458567980691874,0.6838294448913917,0.10458567980691874,0.8761055369751022
3,0.15,per_doc_top,1243,11,35,182.0,0.6040787275455558,0.7251443162737091,0.6039859929257578,0.6007745567667574,0.4835164835164835,0.07079646017699115,0.5671761866452132,0.07079646017699115,0.5417856097203922
3,0.3,global_top,1243,11,35,372.0,0.7953435858829074,0.8584538653366584,0.7954021263729976,0.7930689304511794,0.7634408602150538,0.22847948511665325,0.4094931617055511,0.22847948511665325,0.768983466013472
3,0.3,per_doc_top,1243,11,35,369.0,0.7324039135291862,0.7971936887599539,0.7332015916134839,0.7262578962843548,0.6476964769647696,0.1922767497988737,0.3596138374899437,0.1922767497988737,0.5011285617070591
4,0.15,global_top,2605,19,35,390.0,0.7228188937952521,0.731484679107564,0.7239259956851472,0.7168280615731186,0.6846153846153846,0.10249520153550863,0.634548944337812,0.10249520153550863,0.8771595988884863
4,0.15,per_doc_top,2605,19,35,381.0,0.6418575524747664,0.6397671810613484,0.6451701475313706,0.6248078021223147,0.5196850393700787,0.07600767754318619,0.5938579654510556,0.07600767754318619,0.5269748172973979
4,0.3,global_top,2605,19,35,781.0,0.8271002554973172,0.8268295949415867,0.8280877477690501,0.8220066702357318,0.7810499359795134,0.23416506717850288,0.46679462571976965,0.23416506717850288,0.8100337437989474
4,0.3,per_doc_top,2605,19,35,771.0,0.7691214297756435,0.7721889449549271,0.771113308286023,0.7587341976226635,0.695201037613489,0.20575815738963532,0.42303262955854126,0.20575815738963532,0.5168934990943899
5,0.15,global_top,2727,19,35,409.0,0.7474736476102501,0.7282734746205559,0.7520237010922344,0.7245650433592598,0.7555012224938875,0.11331133113311331,0.6292629262926293,0.11331133113311331,0.8731346473014268
5,0.15,per_doc_top,2727,19,35,400.0,0.6673221761270913,0.6305088801520324,0.6745118965322128,0.6313257028665179,0.5275,0.07737440410707737,0.5933259992665934,0.07737440410707737,0.5128549721307541
5,0.3,global_top,2727,19,35,818.0,0.8386929736819908,0.8141250673516319,0.8428571320492636,0.8179459025239056,0.8007334963325183,0.2401906857352402,0.47011367803447013,0.2401906857352402,0.8013284570967725
5,0.3,per_doc_top,2727,19,35,809.0,0.782638051417682,0.7711495111333019,0.7859925572223844,0.7656654549772733,0.6934487021013597,0.20572057205720573,0.43014301430143015,0.20572057205720573,0.5049441373294465
6,0.15,global_top,1404,10,34,210.0,0.7535733791063385,0.7796610169491526,0.7568522219998641,0.7277547273402204,0.7142857142857143,0.10683760683760683,0.6645299145299145,0.10683760683760683,0.8759087669280112
6,0.15,per_doc_top,1404,10,34,206.0,0.6317327332989732,0.7024793388429752,0.6324730885183218,0.6248895646373956,0.5048543689320388,0.07407407407407407,0.5626780626780626,0.07407407407407407,0.5225341301606448
6,0.3,global_top,1404,10,34,421.0,0.7920232010442938,0.8304347826086956,0.79143111980169,0.7960116497125299,0.7577197149643705,0.2272079772079772,0.4116809116809117,0.2272079772079772,0.7781221162890983
6,0.3,per_doc_top,1404,10,34,416.0,0.745701393623171,0.8325991189427313,0.7438269713347782,0.7588703894000973,0.6490384615384616,0.19230769230769232,0.37962962962962965,0.19230769230769232,0.5004487737916106
7,0.15,global_top,2140,15,35,321.0,0.7371989046153444,0.7670112417086196,0.7387274782619371,0.7283696385737836,0.7071651090342679,0.10607476635514018,0.638785046728972,0.10607476635514018,0.8876724065138101
7,0.15,per_doc_top,2140,15,35,315.0,0.611453599794828,0.6507483209053889,0.6124621925464221,0.6050145772102197,0.49206349206349204,0.07242990654205607,0.5518691588785046,0.07242990654205607,0.5171032589844515
7,0.3,global_top,2140,15,35,642.0,0.8038343982731614,0.8474922139837554,0.80331359987888,0.8051608832359932,0.778816199376947,0.2336448598130841,0.43598130841121496,0.2336448598130841,0.7955633473585788
7,0.3,per_doc_top,2140,15,35,636.0,0.7497698966085583,0.7865379988547608,0.7494775935231105,0.7501311260215114,0.6886792452830188,0.2046728971962617,0.3957943925233645,0.2046728971962617,0.5042022367811528
8,0.15,global_top,2419,19,35,362.0,0.7544385560750057,0.7673208354879604,0.7562278409631981,0.7447913462543564,0.7348066298342542,0.10996279454319967,0.6304257957833815,0.10996279454319967,0.883343594718807
8,0.15,per_doc_top,2419,19,35,351.0,0.6566945090363691,0.6403118645223198,0.660783825754209,0.636078330301927,0.5754985754985755,0.08350558081852005,0.5899131872674659,0.08350558081852005,0.48939676846096525
8,0.3,global_top,2419,19,35,725.0,0.8472516961138205,0.8526513169370312,0.8473569366560304,0.8465392151616769,0.8193103448275862,0.24555601488218273,0.4770566349731294,0.24555601488218273,0.7897885666702871
8,0.3,per_doc_top,2419,19,35,714.0,0.7728024493144187,0.7761541049376377,0.773787488502897,0.7676083409357212,0.6974789915966386,0.2058701942951633,0.42868954113269947,0.2058701942951633,0.49653701655256266
9,0.15,global_top,3107,15,35,466.0,0.7327428238363705,0.7357409990151415,0.7335830675821249,0.7283078715089687,0.7188841201716738,0.10782104924364339,0.6237528162214354,0.10782104924364339,0.8669681214020047
9,0.15,per_doc_top,3107,15,35,457.0,0.6569975500294023,0.6325755010605368,0.6590947232950536,0.6469253438538146,0.5601750547045952,0.0823945928548439,0.5841647891857097,0.0823945928548439,0.5071472050064392
9,0.3,global_top,3107,15,35,932.0,0.8469099390852965,0.8294135005214264,0.8489836699720134,0.836742426542381,0.8111587982832618,0.24332153202446088,0.47312520115867396,0.24332153202446088,0.7891255021003893
9,0.3,per_doc_top,3107,15,35,924.0,0.7761261571979532,0.7586889952441697,0.7780206711403443,0.7668827464733212,0.7207792207792207,0.21435468297392984,0.42388155777277114,0.21435468297392984,0.5014144859605257
10,0.15,global_top,2348,17,35,352.0,0.7560387271998094,0.8193239171827124,0.7543908125521037,0.7625752906926561,0.7301136363636364,0.10945485519591142,0.6503407155025553,0.10945485519591142,0.8835503225410698
10,0.15,per_doc_top,2348,17,35,343.0,0.660961326167215,0.7194941323914777,0.6605745341783291,0.6611306012486174,0.5626822157434402,0.0821976149914821,0.5877342419080068,0.0821976149914821,0.49246861278095067
10,0.3,global_top,2348,17,35,704.0,0.8299163313233333,0.8985040101051606,0.8272599138501507,0.841497789972844,0.7698863636363636,0.23083475298126066,0.48594548551959116,0.23083475298126066,0.8080732724668535
10,0.3,per_doc_top,2348,17,35,697.0,0.7850785284797289,0.8514654167384265,0.7823876689799363,0.796906712303907,0.6786226685796269,0.2014480408858603,0.43270868824531517,0.2014480408858603,0.49076910742966373
