example_id,rate,method,position_bin,count,ratio_in_stable
0,0.15,global_top,00-10%,1,0.007692307692307693
0,0.15,global_top,20-30%,1,0.007692307692307693
0,0.15,global_top,30-40%,2,0.015384615384615385
0,0.15,global_top,40-50%,1,0.007692307692307693
0,0.15,global_top,50-60%,7,0.05384615384615385
0,0.15,global_top,60-70%,4,0.03076923076923077
0,0.15,global_top,70-80%,3,0.023076923076923078
0,0.15,global_top,80-90%,12,0.09230769230769231
0,0.15,global_top,90-100%,99,0.7615384615384615
0,0.15,global_top,category_latin_word,93,0.7153846153846154
0,0.15,global_top,category_newline_or_space,1,0.007692307692307693
0,0.15,global_top,category_number,5,0.038461538461538464
0,0.15,global_top,category_punct_or_symbol,27,0.2076923076923077
0,0.15,global_top,category_space,4,0.03076923076923077
0,0.15,per_doc_top,00-10%,3,0.036585365853658534
0,0.15,per_doc_top,10-20%,6,0.07317073170731707
0,0.15,per_doc_top,20-30%,9,0.10975609756097561
0,0.15,per_doc_top,30-40%,9,0.10975609756097561
0,0.15,per_doc_top,40-50%,10,0.12195121951219512
0,0.15,per_doc_top,50-60%,9,0.10975609756097561
0,0.15,per_doc_top,60-70%,7,0.08536585365853659
0,0.15,per_doc_top,70-80%,6,0.07317073170731707
0,0.15,per_doc_top,80-90%,11,0.13414634146341464
0,0.15,per_doc_top,90-100%,12,0.14634146341463414
0,0.15,per_doc_top,category_latin_word,35,0.4268292682926829
0,0.15,per_doc_top,category_newline_or_space,1,0.012195121951219513
0,0.15,per_doc_top,category_number,3,0.036585365853658534
0,0.15,per_doc_top,category_punct_or_symbol,35,0.4268292682926829
0,0.15,per_doc_top,category_space,8,0.0975609756097561
0,0.3,global_top,00-10%,3,0.01107011070110701
0,0.3,global_top,10-20%,7,0.025830258302583026
0,0.3,global_top,20-30%,13,0.04797047970479705
0,0.3,global_top,30-40%,13,0.04797047970479705
0,0.3,global_top,40-50%,14,0.05166051660516605
0,0.3,global_top,50-60%,14,0.05166051660516605
0,0.3,global_top,60-70%,16,0.05904059040590406
0,0.3,global_top,70-80%,12,0.04428044280442804
0,0.3,global_top,80-90%,63,0.23247232472324722
0,0.3,global_top,90-100%,116,0.4280442804428044
0,0.3,global_top,category_latin_word,179,0.6605166051660517
0,0.3,global_top,category_newline_or_space,1,0.0036900369003690036
0,0.3,global_top,category_number,8,0.02952029520295203
0,0.3,global_top,category_punct_or_symbol,66,0.24354243542435425
0,0.3,global_top,category_space,17,0.06273062730627306
0,0.3,per_doc_top,00-10%,16,0.07339449541284404
0,0.3,per_doc_top,10-20%,17,0.0779816513761468
0,0.3,per_doc_top,20-30%,25,0.11467889908256881
0,0.3,per_doc_top,30-40%,23,0.10550458715596331
0,0.3,per_doc_top,40-50%,28,0.12844036697247707
0,0.3,per_doc_top,50-60%,19,0.0871559633027523
0,0.3,per_doc_top,60-70%,19,0.0871559633027523
0,0.3,per_doc_top,70-80%,15,0.06880733944954129
0,0.3,per_doc_top,80-90%,32,0.14678899082568808
0,0.3,per_doc_top,90-100%,24,0.11009174311926606
0,0.3,per_doc_top,category_latin_word,104,0.47706422018348627
