rate,category,count,frac
0.1,word,5769,0.3422114129790011
0.1,capitalized,4563,0.27067267766045794
0.1,short_word,2656,0.15755131095029065
0.1,punct_symbol,1942,0.11519753232886464
0.1,number,1553,0.09212243445248547
0.1,whitespace,375,0.022244631628900224
0.15,word,7554,0.25740280096773094
0.15,capitalized,5524,0.18823048352472144
0.15,short_word,3507,0.11950114151361298
0.15,punct_symbol,2285,0.07786145091491464
0.15,number,2162,0.07367022182846629
0.15,whitespace,649,0.02211469656182915
0.3,word,15215,0.3489438800082563
0.3,capitalized,9386,0.21526041786115635
0.3,short_word,6920,0.15870467628374194
0.3,number,6045,0.13863724973052313
0.3,punct_symbol,3050,0.069949315414077
0.3,whitespace,2987,0.06850446070224527
