pool,pool_rate,rerank,n,size,target_size,inter,jaccard,online_recall,precision
old_unrelated_offline15,0.15,none,250,221.892,244.16,126.772,0.39645876095265997,0.5248225216428777,0.629025412600335
draft_freq_pool30,0.3,oracle_upper_bound,250,422.848,244.16,145.336,0.2798254185042049,0.5926789939918483,0.3447864302419926
hybrid70_pool30,0.3,oracle_upper_bound,250,422.848,244.16,139.024,0.2644942079050949,0.567238644114668,0.3300117742759829
docgen_rank_pool30,0.3,oracle_upper_bound,250,422.848,244.16,136.076,0.25664190143373833,0.5534146577387861,0.3217886141496673
qk_freq_pool30,0.3,oracle_upper_bound,250,422.848,244.16,126.84,0.23710958293873183,0.5195648470630723,0.3024458760522812
draft_freq_pool30,0.3,chunk_edge,250,244.16,244.16,114.548,0.31052102670652165,0.47076959630353904,0.47076959630353904
hybrid70_pool30,0.3,chunk_edge,250,244.16,244.16,111.572,0.2999458744086591,0.4586643152901462,0.4586643152901462
draft_freq_pool30,0.3,combined_edge,250,244.16,244.16,109.836,0.29320348045555517,0.45171181648110914,0.45171181648110914
draft_freq_pool30,0.3,chunk_rank_edge,250,244.16,244.16,106.384,0.2810940518533066,0.4369139243533134,0.4369139243533134
docgen_rank_pool30,0.3,chunk_edge,250,244.16,244.16,106.316,0.2808473421022269,0.43506120963790246,0.43506120963790246
qk_freq_pool30,0.3,chunk_edge,250,244.16,244.16,105.024,0.27817086277608627,0.43283366645976473,0.43283366645976473
hybrid70_pool30,0.3,combined_edge,250,244.16,244.16,104.696,0.27557051475613575,0.43065425183460493,0.43065425183460493
draft_freq_pool30,0.3,global_edge,250,244.16,244.16,104.372,0.2743127701852029,0.4287997869202735,0.4287997869202735
docgen_rank_pool30,0.3,combined_edge,250,244.16,244.16,102.652,0.26763339765546196,0.42036939430656395,0.42036939430656395
hybrid70_pool30,0.3,chunk_rank_edge,250,244.16,244.16,101.272,0.2639085390247513,0.41606215499259236,0.41606215499259236
docgen_rank_pool30,0.3,chunk_rank_edge,250,244.16,244.16,100.052,0.2590139761774616,0.40945569829797795,0.40945569829797795
hybrid70_pool30,0.3,global_edge,250,244.16,244.16,99.24,0.25728593430512187,0.40786946301252053,0.40786946301252053
docgen_rank_pool30,0.3,global_edge,250,244.16,244.16,97.908,0.2520116362063382,0.400783301167355,0.400783301167355
qk_freq_pool30,0.3,combined_edge,250,244.16,244.16,96.056,0.2482739129949659,0.3963686490293485,0.3963686490293485
qk_freq_pool30,0.3,chunk_rank_edge,250,244.16,244.16,92.404,0.23653314770216352,0.38107718024872345,0.38107718024872345
qk_freq_pool30,0.3,global_edge,250,244.16,244.16,90.4,0.23021471568019566,0.37286496387723644,0.37286496387723644
draft_freq_pool30,0.3,random,250,244.16,244.16,84.58,0.21107067881830652,0.34747509259937437,0.34747509259937437
draft_freq_pool30,0.3,head,250,244.16,244.16,83.008,0.208572583664918,0.3420184652614422,0.3420184652614422
hybrid70_pool30,0.3,random,250,244.16,244.16,80.6,0.1992786407140694,0.33140961783519024,0.33140961783519024
hybrid70_pool30,0.3,head,250,244.16,244.16,78.98,0.19652848086791933,0.3257870304582586,0.3257870304582586
docgen_rank_pool30,0.3,random,250,244.16,244.16,78.876,0.193617583643113,0.3232682128009172,0.3232682128009172
draft_freq_pool30,0.3,tail,250,244.16,244.16,76.672,0.1863326162635395,0.3123569081113155,0.3123569081113155
docgen_rank_pool30,0.3,head,250,244.16,244.16,75.94,0.18701886034549625,0.3121594139815059,0.3121594139815059
qk_freq_pool30,0.3,random,250,244.16,244.16,73.432,0.17938246681567685,0.30329119651146813,0.30329119651146813
hybrid70_pool30,0.3,tail,250,244.16,244.16,74.044,0.17878527553191567,0.3017889304009674,0.3017889304009674
