inter,jaccard,online_recall,precision,size,target_size,pool,pool_rate,rerank,example_id,sub_q_idx
140,0.356234096692112,0.5072463768115942,0.5447470817120622,257,276,old_unrelated_offline15,0.15,none,75,0
77,0.37745098039215685,0.5202702702702703,0.5789473684210527,133,148,old_unrelated_offline15,0.15,none,25,0
117,0.43333333333333335,0.5735294117647058,0.639344262295082,183,204,old_unrelated_offline15,0.15,none,176,0
58,0.3005181347150259,0.3558282208588957,0.6590909090909091,88,163,old_unrelated_offline15,0.15,none,150,0
113,0.40213523131672596,0.5707070707070707,0.576530612244898,196,198,old_unrelated_offline15,0.15,none,25,1
155,0.3304904051172708,0.5381944444444444,0.46130952380952384,336,288,old_unrelated_offline15,0.15,none,150,1
176,0.49025069637883006,0.5659163987138264,0.7857142857142857,224,311,old_unrelated_offline15,0.15,none,77,0
170,0.5466237942122186,0.6159420289855072,0.8292682926829268,205,276,old_unrelated_offline15,0.15,none,50,0
119,0.363914373088685,0.5242290748898678,0.54337899543379,219,227,old_unrelated_offline15,0.15,none,0,0
138,0.30131004366812225,0.4380952380952381,0.49110320284697506,281,315,old_unrelated_offline15,0.15,none,50,1
155,0.2777777777777778,0.4223433242506812,0.4479768786127168,346,367,old_unrelated_offline15,0.15,none,77,1
102,0.51,0.5177664974619289,0.9714285714285714,105,197,old_unrelated_offline15,0.15,none,178,0
116,0.453125,0.5065502183406113,0.8111888111888111,143,229,old_unrelated_offline15,0.15,none,100,0
205,0.4466230936819172,0.5790960451977402,0.6612903225806451,310,354,old_unrelated_offline15,0.15,none,125,0
134,0.46366782006920415,0.600896860986547,0.67,200,223,old_unrelated_offline15,0.15,none,1,0
159,0.4228723404255319,0.6824034334763949,0.5264900662251656,302,233,old_unrelated_offline15,0.15,none,100,1
138,0.30131004366812225,0.4380952380952381,0.49110320284697506,281,315,old_unrelated_offline15,0.15,none,50,2
176,0.5161290322580645,0.676923076923077,0.6848249027237354,257,260,old_unrelated_offline15,0.15,none,26,0
108,0.453781512605042,0.47577092511013214,0.907563025210084,119,227,old_unrelated_offline15,0.15,none,126,0
102,0.5,0.6071428571428571,0.7391304347826086,138,168,old_unrelated_offline15,0.15,none,151,0
162,0.5094339622641509,0.6721991701244814,0.6778242677824268,239,241,old_unrelated_offline15,0.15,none,2,0
73,0.4319526627218935,0.45625,0.8902439024390244,82,160,old_unrelated_offline15,0.15,none,101,0
103,0.42916666666666664,0.6477987421383647,0.5597826086956522,184,159,old_unrelated_offline15,0.15,none,78,0
111,0.4220532319391635,0.4826086956521739,0.7708333333333334,144,230,old_unrelated_offline15,0.15,none,27,0
157,0.47865853658536583,0.6977777777777778,0.6038461538461538,260,225,old_unrelated_offline15,0.15,none,151,1
174,0.2409972299168975,0.3858093126385809,0.39101123595505616,445,451,old_unrelated_offline15,0.15,none,50,3
78,0.23423423423423423,0.4642857142857143,0.32098765432098764,243,168,old_unrelated_offline15,0.15,none,178,1
92,0.23529411764705882,0.31186440677966104,0.48936170212765956,188,295,old_unrelated_offline15,0.15,none,78,1
133,0.3333333333333333,0.48363636363636364,0.5175097276264592,257,275,old_unrelated_offline15,0.15,none,101,1
104,0.4663677130044843,0.5123152709359606,0.8387096774193549,124,203,old_unrelated_offline15,0.15,none,3,0
97,0.485,0.5078534031413613,0.9150943396226415,106,191,old_unrelated_offline15,0.15,none,51,0
83,0.4068627450980392,0.44385026737967914,0.83,100,187,old_unrelated_offline15,0.15,none,179,0
135,0.3994082840236686,0.5793991416309013,0.5625,240,233,old_unrelated_offline15,0.15,none,3,1
153,0.4811320754716981,0.53125,0.8360655737704918,183,288,old_unrelated_offline15,0.15,none,152,0
116,0.4566929133858268,0.5370370370370371,0.7532467532467533,154,216,old_unrelated_offline15,0.15,none,102,0
134,0.5153846153846153,0.6063348416289592,0.7745664739884393,173,221,old_unrelated_offline15,0.15,none,79,0
161,0.4447513812154696,0.6098484848484849,0.6216216216216216,259,264,old_unrelated_offline15,0.15,none,51,1
176,0.4055299539170507,0.6111111111111112,0.546583850931677,322,288,old_unrelated_offline15,0.15,none,152,1
118,0.30412371134020616,0.48559670781893005,0.44866920152091255,263,243,old_unrelated_offline15,0.15,none,27,1
149,0.31905781584582443,0.5379061371841155,0.43952802359882004,339,277,old_unrelated_offline15,0.15,none,102,1
118,0.47580645161290325,0.5566037735849056,0.7662337662337663,154,212,old_unrelated_offline15,0.15,none,4,0
93,0.2554945054945055,0.4626865671641791,0.36328125,256,201,old_unrelated_offline15,0.15,none,179,1
125,0.51440329218107,0.6544502617801047,0.7062146892655368,177,191,old_unrelated_offline15,0.15,none,52,0
115,0.4078014184397163,0.46747967479674796,0.7615894039735099,151,246,old_unrelated_offline15,0.15,none,32,0
77,0.22514619883040934,0.28205128205128205,0.5273972602739726,146,273,old_unrelated_offline15,0.15,none,79,1
160,0.5517241379310345,0.6986899563318777,0.7239819004524887,221,229,old_unrelated_offline15,0.15,none,153,0
132,0.2495274102079395,0.3893805309734513,0.40993788819875776,322,339,old_unrelated_offline15,0.15,none,4,1
126,0.46494464944649444,0.490272373540856,0.9,140,257,old_unrelated_offline15,0.15,none,180,0
78,0.30952380952380953,0.32098765432098764,0.896551724137931,87,243,old_unrelated_offline15,0.15,none,103,0
150,0.3333333333333333,0.5154639175257731,0.4854368932038835,309,291,old_unrelated_offline15,0.15,none,32,1
116,0.44106463878326996,0.49361702127659574,0.8055555555555556,144,235,old_unrelated_offline15,0.15,none,52,1
103,0.25495049504950495,0.5228426395939086,0.33225806451612905,310,197,old_unrelated_offline15,0.15,none,103,1
75,0.3826530612244898,0.5208333333333334,0.5905511811023622,127,144,old_unrelated_offline15,0.15,none,33,0
112,0.22355289421157684,0.3783783783783784,0.35331230283911674,317,296,old_unrelated_offline15,0.15,none,52,2
88,0.18683651804670912,0.3424124513618677,0.2913907284768212,302,257,old_unrelated_offline15,0.15,none,126,1
160,0.47761194029850745,0.64,0.6530612244897959,245,250,old_unrelated_offline15,0.15,none,154,0
98,0.22632794457274827,0.4016393442622951,0.34146341463414637,287,244,old_unrelated_offline15,0.15,none,79,2
150,0.45592705167173253,0.6048387096774194,0.6493506493506493,231,248,old_unrelated_offline15,0.15,none,6,0
119,0.34195402298850575,0.4897119341563786,0.53125,224,243,old_unrelated_offline15,0.15,none,53,0
109,0.49099099099099097,0.5317073170731708,0.8650793650793651,126,205,old_unrelated_offline15,0.15,none,35,0
185,0.36633663366336633,0.505464480874317,0.5709876543209876,324,366,old_unrelated_offline15,0.15,none,104,0
116,0.49572649572649574,0.6480446927374302,0.6783625730994152,171,179,old_unrelated_offline15,0.15,none,127,0
151,0.5206896551724138,0.5613382899628253,0.877906976744186,172,269,old_unrelated_offline15,0.15,none,7,0
93,0.20993227990970656,0.3974358974358974,0.3079470198675497,302,234,old_unrelated_offline15,0.15,none,180,1
94,0.24671916010498687,0.4519230769230769,0.352059925093633,267,208,old_unrelated_offline15,0.15,none,35,1
125,0.39184952978056425,0.5530973451327433,0.573394495412844,218,226,old_unrelated_offline15,0.15,none,80,0
95,0.4222222222222222,0.5277777777777778,0.6785714285714286,140,180,old_unrelated_offline15,0.15,none,54,0
130,0.4482758620689655,0.48872180451127817,0.8441558441558441,154,266,old_unrelated_offline15,0.15,none,183,0
148,0.37092731829573933,0.5896414342629482,0.5,296,251,old_unrelated_offline15,0.15,none,7,1
123,0.5,0.5491071428571429,0.8482758620689655,145,224,old_unrelated_offline15,0.15,none,155,0
143,0.516245487364621,0.5813008130081301,0.8218390804597702,174,246,old_unrelated_offline15,0.15,none,36,0
115,0.24891774891774893,0.4307116104868914,0.3709677419354839,310,267,old_unrelated_offline15,0.15,none,183,1
140,0.3349282296650718,0.546875,0.46357615894039733,302,256,old_unrelated_offline15,0.15,none,155,1
180,0.4411764705882353,0.5901639344262295,0.6360424028268551,283,305,old_unrelated_offline15,0.15,none,54,1
211,0.4720357941834452,0.5328282828282829,0.8053435114503816,262,396,old_unrelated_offline15,0.15,none,105,0
157,0.357630979498861,0.5198675496688742,0.5340136054421769,294,302,old_unrelated_offline15,0.15,none,36,1
138,0.5328185328185329,0.592274678111588,0.8414634146341463,164,233,old_unrelated_offline15,0.15,none,81,0
159,0.4491525423728814,0.6091954022988506,0.6309523809523809,252,261,old_unrelated_offline15,0.15,none,55,0
176,0.4718498659517426,0.5365853658536586,0.7963800904977375,221,328,old_unrelated_offline15,0.15,none,9,0
75,0.3640776699029126,0.390625,0.8426966292134831,89,192,old_unrelated_offline15,0.15,none,37,0
113,0.48497854077253216,0.6208791208791209,0.6890243902439024,164,182,old_unrelated_offline15,0.15,none,156,0
146,0.3640897755610973,0.5214285714285715,0.5468164794007491,267,280,old_unrelated_offline15,0.15,none,128,0
236,0.3155080213903743,0.472,0.48760330578512395,484,500,old_unrelated_offline15,0.15,none,105,1
218,0.30446927374301674,0.4898876404494382,0.4458077709611452,489,445,old_unrelated_offline15,0.15,none,9,1
121,0.5238095238095238,0.605,0.7960526315789473,152,200,old_unrelated_offline15,0.15,none,186,0
161,0.5812274368231047,0.7351598173515982,0.7351598173515982,219,219,old_unrelated_offline15,0.15,none,56,0
205,0.4701834862385321,0.6366459627329193,0.6426332288401254,319,322,old_unrelated_offline15,0.15,none,129,0
115,0.2561247216035635,0.41818181818181815,0.39792387543252594,289,275,old_unrelated_offline15,0.15,none,81,1
67,0.17357512953367876,0.27125506072874495,0.32524271844660196,206,247,old_unrelated_offline15,0.15,none,37,1
151,0.3922077922077922,0.5968379446640316,0.5335689045936396,283,253,old_unrelated_offline15,0.15,none,156,1
131,0.2769556025369979,0.4119496855345912,0.458041958041958,286,318,old_unrelated_offline15,0.15,none,109,0
