rate,global_pos_bin,count,frac
0.1,00-10%,5111,0.30317949934749083
0.1,10-20%,1096,0.06501364337406572
0.1,20-30%,682,0.04045557005575988
0.1,30-40%,622,0.036896428995135844
0.1,40-50%,421,0.02497330644204532
0.1,50-60%,317,0.018804128603630323
0.1,60-70%,388,0.0230157788587021
0.1,70-80%,505,0.02995610392691897
0.1,80-90%,1704,0.10107960612172262
0.1,90-100%,6012,0.35662593427452843
0.15,00-10%,5795,0.19746481752819708
0.15,10-20%,1565,0.05332742699424132
0.15,20-30%,1045,0.03560840971819947
0.15,30-40%,899,0.030633454867618495
0.15,40-50%,697,0.023750298156540704
0.15,50-60%,552,0.01880941833918288
0.15,60-70%,615,0.020956145432241797
0.15,70-80%,670,0.022830272259515453
0.15,80-90%,2196,0.07482877295805364
0.15,90-100%,7647,0.2605717790574846
0.3,00-10%,10257,0.23523610760727473
0.3,10-20%,3237,0.07423801114602206
0.3,20-30%,2619,0.0600646744490058
0.3,30-40%,2338,0.05362016375020067
0.3,40-50%,2023,0.0463958901910419
0.3,50-60%,1900,0.04357498337270371
0.3,60-70%,2098,0.04811595532417494
0.3,70-80%,2768,0.06348187051349678
0.3,80-90%,4718,0.10820356397495585
0.3,90-100%,11645,0.2670687796711235
