rate,chunk_rank_bin,count,frac
0.1,00-10%,4928,0.2923241191125875
0.1,10-20%,1188,0.07047099300035592
0.1,20-30%,715,0.042413097639103094
0.1,30-40%,576,0.034167754181990743
0.1,40-50%,415,0.024617392335982917
0.1,50-60%,429,0.02544785858346186
0.1,60-70%,247,0.014651797366235616
0.1,70-80%,501,0.029718827856210703
0.1,80-90%,853,0.05059912207853838
0.1,90-100%,7006,0.4155890378455333
0.15,00-10%,5681,0.19358026374075715
0.15,10-20%,1664,0.0567008552833339
0.15,20-30%,1018,0.03468838382117423
0.15,30-40%,834,0.028418577708113266
0.15,40-50%,653,0.02225099669472178
0.15,50-60%,687,0.023409547824309127
0.15,60-70%,434,0.01478856441885031
0.15,70-80%,702,0.02392067332265649
0.15,80-90%,1177,0.040106314103656254
0.15,90-100%,8831,0.30091661839370293
0.3,00-10%,10462,0.23993761897117172
0.3,10-20%,3175,0.07281609063596542
0.3,20-30%,2491,0.05712909662179208
0.3,30-40%,2236,0.05128087516913974
0.3,40-50%,1989,0.045616127330688254
0.3,50-60%,1998,0.04582253514666422
0.3,60-70%,2040,0.046785771621218726
0.3,70-80%,2467,0.056578675779189506
0.3,80-90%,3355,0.07694424695548471
0.3,90-100%,13390,0.30708896176868566
