rate,example_id,sub_q_idx,offline_size,online_size,hit,missing,extra,jaccard,online_recall,offline_precision
0.1,0,0,148,131,78,53,70,0.3880597014925373,0.5954198473282443,0.527027027027027
0.1,1,0,136,129,87,42,49,0.4887640449438202,0.6744186046511628,0.6397058823529411
0.1,2,0,160,144,100,44,60,0.49019607843137253,0.6944444444444444,0.625
0.1,3,0,80,115,50,65,30,0.3448275862068966,0.43478260869565216,0.625
0.1,3,1,149,135,55,80,94,0.24017467248908297,0.4074074074074074,0.3691275167785235
0.1,4,0,117,117,79,38,38,0.5096774193548387,0.6752136752136753,0.6752136752136753
0.1,4,1,213,207,78,129,135,0.22807017543859648,0.37681159420289856,0.36619718309859156
0.1,6,0,155,149,89,60,66,0.413953488372093,0.5973154362416108,0.5741935483870968
0.1,7,0,115,158,94,64,21,0.5251396648044693,0.5949367088607594,0.8173913043478261
0.1,7,1,202,146,89,57,113,0.3436293436293436,0.6095890410958904,0.4405940594059406
0.1,9,0,130,199,117,82,13,0.5518867924528302,0.5879396984924623,0.9
0.1,9,1,323,272,125,147,198,0.26595744680851063,0.45955882352941174,0.38699690402476783
0.1,10,0,95,150,92,58,3,0.6013071895424836,0.6133333333333333,0.968421052631579
0.1,10,1,227,173,87,86,140,0.2779552715654952,0.5028901734104047,0.3832599118942731
0.1,11,0,92,123,80,43,12,0.5925925925925926,0.6504065040650406,0.8695652173913043
0.1,11,1,195,120,73,47,122,0.30165289256198347,0.6083333333333333,0.37435897435897436
0.1,12,0,93,201,92,109,1,0.45544554455445546,0.4577114427860697,0.989247311827957
0.1,12,1,264,210,40,170,224,0.09216589861751152,0.19047619047619047,0.15151515151515152
0.1,13,0,87,114,79,35,8,0.6475409836065574,0.6929824561403509,0.9080459770114943
0.1,13,1,225,208,80,128,145,0.22662889518413598,0.38461538461538464,0.35555555555555557
0.1,14,0,83,105,57,48,26,0.4351145038167939,0.5428571428571428,0.6867469879518072
0.1,14,1,184,168,89,79,95,0.33840304182509506,0.5297619047619048,0.483695652173913
0.1,15,0,52,67,35,32,17,0.4166666666666667,0.5223880597014925,0.6730769230769231
0.1,15,1,129,112,16,96,113,0.07111111111111111,0.14285714285714285,0.12403100775193798
0.1,16,0,108,151,61,90,47,0.30808080808080807,0.40397350993377484,0.5648148148148148
0.1,16,1,218,218,47,171,171,0.12082262210796915,0.21559633027522937,0.21559633027522937
0.1,17,0,104,141,68,73,36,0.384180790960452,0.48226950354609927,0.6538461538461539
0.1,17,1,235,193,153,40,82,0.5563636363636364,0.7927461139896373,0.6510638297872341
0.1,18,0,45,102,34,68,11,0.3008849557522124,0.3333333333333333,0.7555555555555555
0.1,18,1,156,120,67,53,89,0.32057416267942584,0.5583333333333333,0.42948717948717946
0.1,19,0,130,103,74,29,56,0.46540880503144655,0.7184466019417476,0.5692307692307692
0.1,19,1,132,158,57,101,75,0.2446351931330472,0.36075949367088606,0.4318181818181818
0.1,20,0,104,151,89,62,15,0.536144578313253,0.5894039735099338,0.8557692307692307
0.1,20,1,282,226,106,120,176,0.263681592039801,0.4690265486725664,0.375886524822695
0.1,21,0,94,174,86,88,8,0.4725274725274725,0.4942528735632184,0.9148936170212766
0.1,21,1,230,211,67,144,163,0.17914438502673796,0.3175355450236967,0.29130434782608694
0.1,24,0,78,155,73,82,5,0.45625,0.47096774193548385,0.9358974358974359
0.1,24,1,237,199,136,63,101,0.4533333333333333,0.6834170854271356,0.5738396624472574
0.1,25,0,89,78,55,23,34,0.49107142857142855,0.7051282051282052,0.6179775280898876
0.1,25,1,129,112,78,34,51,0.4785276073619632,0.6964285714285714,0.6046511627906976
0.1,26,0,177,153,111,42,66,0.5068493150684932,0.7254901960784313,0.6271186440677966
0.1,27,0,94,133,82,51,12,0.5655172413793104,0.6165413533834586,0.8723404255319149
0.1,27,1,181,144,58,86,123,0.21722846441947566,0.4027777777777778,0.32044198895027626
0.1,32,0,99,143,88,55,11,0.5714285714285714,0.6153846153846154,0.8888888888888888
0.1,32,1,197,172,69,103,128,0.23,0.4011627906976744,0.350253807106599
0.1,33,0,92,77,53,24,39,0.45689655172413796,0.6883116883116883,0.5760869565217391
0.1,35,0,77,117,71,46,6,0.5772357723577236,0.6068376068376068,0.922077922077922
0.1,35,1,186,121,32,89,154,0.11636363636363636,0.2644628099173554,0.17204301075268819
0.1,36,0,102,146,98,48,4,0.6533333333333333,0.6712328767123288,0.9607843137254902
0.1,36,1,216,182,115,67,101,0.40636042402826855,0.6318681318681318,0.5324074074074074
0.1,37,0,42,107,36,71,6,0.3185840707964602,0.3364485981308411,0.8571428571428571
0.1,37,1,139,129,34,95,105,0.1452991452991453,0.26356589147286824,0.2446043165467626
0.1,38,0,56,80,38,42,18,0.3877551020408163,0.475,0.6785714285714286
0.1,38,1,148,99,42,57,106,0.2048780487804878,0.42424242424242425,0.28378378378378377
0.1,39,0,73,96,61,35,12,0.5648148148148148,0.6354166666666666,0.8356164383561644
0.1,39,1,197,135,28,107,169,0.09210526315789473,0.2074074074074074,0.14213197969543148
0.1,40,0,92,108,65,43,27,0.48148148148148145,0.6018518518518519,0.7065217391304348
0.1,40,1,194,151,58,93,136,0.20209059233449478,0.3841059602649007,0.29896907216494845
0.1,43,0,52,83,50,33,2,0.5882352941176471,0.6024096385542169,0.9615384615384616
0.1,43,1,211,99,58,41,153,0.23015873015873015,0.5858585858585859,0.27488151658767773
0.1,44,0,112,99,83,16,29,0.6484375,0.8383838383838383,0.7410714285714286
0.1,44,1,110,110,65,45,45,0.41935483870967744,0.5909090909090909,0.5909090909090909
0.1,44,2,187,160,103,57,84,0.42213114754098363,0.64375,0.5508021390374331
0.1,45,0,106,153,94,59,12,0.5696969696969697,0.6143790849673203,0.8867924528301887
0.1,45,1,281,182,108,74,173,0.30422535211267604,0.5934065934065934,0.38434163701067614
