example_id,rate,order_name,doc_id,jaccard_vs_original_order,original_selected_count,perturbed_selected_count
0,0.1,reverse,1,0.9782608695652174,91,91
0,0.1,reverse,2,0.9574468085106383,92,92
0,0.1,reverse,3,1.0,6,6
0,0.1,reverse,4,1.0,95,95
0,0.1,reverse,5,0.9555555555555556,88,88
0,0.1,reverse,6,0.9428571428571428,34,34
0,0.1,reverse,7,1.0,90,90
0,0.1,reverse,8,0.9775280898876404,88,88
0,0.1,reverse,9,1.0,35,35
0,0.1,reverse,10,0.9560439560439561,89,89
0,0.1,shuffle_a,1,0.9782608695652174,91,91
0,0.1,shuffle_a,2,0.978494623655914,92,92
0,0.1,shuffle_a,3,1.0,6,6
0,0.1,shuffle_a,4,0.9587628865979382,95,95
0,0.1,shuffle_a,5,0.9555555555555556,88,88
0,0.1,shuffle_a,6,1.0,34,34
0,0.1,shuffle_a,7,1.0,90,90
0,0.1,shuffle_a,8,1.0,88,88
0,0.1,shuffle_a,9,1.0,35,35
0,0.1,shuffle_a,10,0.9560439560439561,89,89
0,0.1,shuffle_b,1,0.956989247311828,91,91
0,0.1,shuffle_b,2,0.9574468085106383,92,92
0,0.1,shuffle_b,3,1.0,6,6
0,0.1,shuffle_b,4,0.9791666666666666,95,95
0,0.1,shuffle_b,5,0.9555555555555556,88,88
0,0.1,shuffle_b,6,0.9428571428571428,34,34
0,0.1,shuffle_b,7,0.978021978021978,90,90
0,0.1,shuffle_b,8,0.9775280898876404,88,88
0,0.1,shuffle_b,9,1.0,35,35
0,0.1,shuffle_b,10,0.9777777777777777,89,89
0,0.15,reverse,1,0.9428571428571428,136,136
0,0.15,reverse,2,0.9714285714285714,138,138
0,0.15,reverse,3,1.0,9,9
0,0.15,reverse,4,0.9861111111111112,143,143
0,0.15,reverse,5,0.9849624060150376,132,132
0,0.15,reverse,6,1.0,51,51
0,0.15,reverse,7,0.9854014598540146,136,136
0,0.15,reverse,8,0.9701492537313433,132,132
0,0.15,reverse,9,0.8909090909090909,52,52
0,0.15,reverse,10,0.9850746268656716,133,133
0,0.15,shuffle_a,1,0.9568345323741008,136,136
0,0.15,shuffle_a,2,0.9714285714285714,138,138
0,0.15,shuffle_a,3,1.0,9,9
0,0.15,shuffle_a,4,0.9724137931034482,143,143
0,0.15,shuffle_a,5,0.9849624060150376,132,132
0,0.15,shuffle_a,6,1.0,51,51
0,0.15,shuffle_a,7,0.9854014598540146,136,136
0,0.15,shuffle_a,8,0.9701492537313433,132,132
0,0.15,shuffle_a,9,0.9622641509433962,52,52
0,0.15,shuffle_a,10,1.0,133,133
0,0.15,shuffle_b,1,0.9568345323741008,136,136
0,0.15,shuffle_b,2,0.9714285714285714,138,138
0,0.15,shuffle_b,3,1.0,9,9
0,0.15,shuffle_b,4,0.9724137931034482,143,143
0,0.15,shuffle_b,5,1.0,132,132
0,0.15,shuffle_b,6,1.0,51,51
0,0.15,shuffle_b,7,0.9854014598540146,136,136
0,0.15,shuffle_b,8,0.9701492537313433,132,132
0,0.15,shuffle_b,9,0.8909090909090909,52,52
0,0.15,shuffle_b,10,1.0,133,133
0,0.3,reverse,1,0.9927007299270073,273,273
0,0.3,reverse,2,0.9856115107913669,276,276
0,0.3,reverse,3,1.0,18,18
0,0.3,reverse,4,0.9930313588850174,286,286
0,0.3,reverse,5,0.9924528301886792,264,264
0,0.3,reverse,6,0.9433962264150944,103,103
0,0.3,reverse,7,0.9781818181818182,272,272
0,0.3,reverse,8,0.9924812030075187,265,265
0,0.3,reverse,9,0.9626168224299065,105,105
0,0.3,reverse,10,0.9851301115241635,267,267
0,0.3,shuffle_a,1,0.9927007299270073,273,273
0,0.3,shuffle_a,2,0.9927797833935018,276,276
0,0.3,shuffle_a,3,1.0,18,18
0,0.3,shuffle_a,4,0.9861111111111112,286,286
0,0.3,shuffle_a,5,0.9701492537313433,264,264
0,0.3,shuffle_a,6,0.9619047619047619,103,103
0,0.3,shuffle_a,7,0.9926739926739927,272,272
0,0.3,shuffle_a,8,0.9924812030075187,265,265
0,0.3,shuffle_a,9,0.9811320754716981,105,105
0,0.3,shuffle_a,10,0.9851301115241635,267,267
0,0.3,shuffle_b,1,1.0,273,273
0,0.3,shuffle_b,2,0.9856115107913669,276,276
0,0.3,shuffle_b,3,1.0,18,18
0,0.3,shuffle_b,4,0.9861111111111112,286,286
0,0.3,shuffle_b,5,0.9775280898876404,264,264
0,0.3,shuffle_b,6,0.9619047619047619,103,103
0,0.3,shuffle_b,7,0.9926739926739927,272,272
0,0.3,shuffle_b,8,0.9776119402985075,265,265
0,0.3,shuffle_b,9,0.9811320754716981,105,105
0,0.3,shuffle_b,10,0.9851301115241635,267,267
0,0.5,reverse,1,0.9956140350877193,455,455
0,0.5,reverse,2,0.9827586206896551,460,460
0,0.5,reverse,3,1.0,31,31
0,0.5,reverse,4,0.99581589958159,477,477
0,0.5,reverse,5,0.9909706546275395,441,441
0,0.5,reverse,6,1.0,172,172
0,0.5,reverse,7,0.9956043956043956,454,454
0,0.5,reverse,8,0.9910112359550561,443,443
0,0.5,reverse,9,0.9774011299435028,175,175
0,0.5,reverse,10,1.0,446,446
0,0.5,shuffle_a,1,0.9956140350877193,455,455
0,0.5,shuffle_a,2,0.9827586206896551,460,460
0,0.5,shuffle_a,3,1.0,31,31
0,0.5,shuffle_a,4,0.99581589958159,477,477
0,0.5,shuffle_a,5,0.995475113122172,441,441
0,0.5,shuffle_a,6,0.9770114942528736,172,172
0,0.5,shuffle_a,7,0.9956043956043956,454,454
0,0.5,shuffle_a,8,0.9910112359550561,443,443
0,0.5,shuffle_a,9,0.9774011299435028,175,175
0,0.5,shuffle_a,10,0.9955257270693513,446,446
0,0.5,shuffle_b,1,0.9956140350877193,455,455
0,0.5,shuffle_b,2,0.9870410367170627,460,460
0,0.5,shuffle_b,3,1.0,31,31
0,0.5,shuffle_b,4,0.99581589958159,477,477
0,0.5,shuffle_b,5,0.9864864864864865,441,441
0,0.5,shuffle_b,6,1.0,172,172
0,0.5,shuffle_b,7,0.9956043956043956,454,454
