rate,order_name,jaccard_mean,jaccard_median,jaccard_min,jaccard_max,n_chunks
0.1,reverse,0.9810949018495227,0.9791666666666666,0.9428571428571428,1.0,50
0.1,shuffle_a,0.9854697737028049,0.979381443298969,0.9555555555555556,1.0,50
0.1,shuffle_b,0.982991320865095,0.9791666666666666,0.9428571428571428,1.0,50
0.15,reverse,0.9808804487072798,0.9856614246068456,0.8909090909090909,1.0,50
0.15,shuffle_a,0.9826643090425118,0.9855593785840893,0.9,1.0,50
0.15,shuffle_b,0.9837478353650474,0.985865547897313,0.8909090909090909,1.0,50
0.3,reverse,0.9853269398064458,0.9867072955308249,0.9433962264150944,1.0,50
0.3,shuffle_a,0.9871579374355045,0.9863713403450117,0.9487179487179487,1.0,50
0.3,shuffle_b,0.9883747736718672,0.9875816993464053,0.9487179487179487,1.0,50
0.5,reverse,0.9917073738224463,0.9916317991631799,0.9692307692307692,1.0,50
0.5,shuffle_a,0.991455899920285,0.9920363509705203,0.9666666666666667,1.0,50
0.5,shuffle_b,0.9919211904058806,0.9915433025817064,0.9832985386221295,1.0,50
0.1,all_perturbations,0.9831853321391408,0.9791666666666666,0.9428571428571428,1.0,150
0.15,all_perturbations,0.9824308643716131,0.9858156028368794,0.8909090909090909,1.0,150
0.3,all_perturbations,0.9869532169712725,0.9867072955308249,0.9433962264150944,1.0,150
0.5,all_perturbations,0.9916948213828708,0.9916492329149234,0.9666666666666667,1.0,150
