dataset,method,rate,segment,source_csv,source_row,Question,Real Answer,Pred Answer,Predicted_Clean,Rejudge_Correct,Rejudge_Reason,Rejudge_Raw
musique-v2,sparse_block_preprocess_k16,0.15,seg_0_10,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/by_date/2026-07-18/spare_k_q_recompute_exp/rejudge_input/sparse_block_preprocess_k16/musique-v2/rate_0p15/seg_0_10/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,0,Who plays the wife of the producer of Here Comes the Boom in Grown Ups?,Maria Bello,Salma Hayek,Salma Hayek,False,预测答案给出的演员是Salma Hayek，而标准答案是Maria Bello。两者是完全不同的人，预测答案没有包含标准答案的关键信息，在语义上也不等价，因此判断为错误。,"判断: 错误
原因: 预测答案给出的演员是Salma Hayek，而标准答案是Maria Bello。两者是完全不同的人，预测答案没有包含标准答案的关键信息，在语义上也不等价，因此判断为错误。"
musique-v2,sparse_block_preprocess_k16,0.15,seg_0_10,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/by_date/2026-07-18/spare_k_q_recompute_exp/rejudge_input/sparse_block_preprocess_k16/musique-v2/rate_0p15/seg_0_10/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,1,What was the person who provided evidence to suggest the existence of the neutron a participant of?,Manhattan Project,James Chadwick was a participant of the Manhattan Project.,James Chadwick was a participant of the Manhattan Project.,True,预测答案明确指出了提供中子存在证据的人（James Chadwick）是曼哈顿计划的参与者，其中包含了标准答案的核心信息“Manhattan Project”，且在语义上与标准答案完全一致，正确回答了问题。,"判断: 正确
原因: 预测答案明确指出了提供中子存在证据的人（James Chadwick）是曼哈顿计划的参与者，其中包含了标准答案的核心信息“Manhattan Project”，且在语义上与标准答案完全一致，正确回答了问题。"
musique-v2,sparse_block_preprocess_k16,0.15,seg_0_10,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/by_date/2026-07-18/spare_k_q_recompute_exp/rejudge_input/sparse_block_preprocess_k16/musique-v2/rate_0p15/seg_0_10/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,2,In which borough was Callum McManaman born?,Knowsley,Whiston,Whiston,False,预测答案给出的地点是“Whiston”，而标准答案是“Knowsley”。两者在语义上并不等价，且预测答案没有包含标准答案的关键信息，属于完全不同的地点名称，因此判断为错误。,"判断: 错误
原因: 预测答案给出的地点是“Whiston”，而标准答案是“Knowsley”。两者在语义上并不等价，且预测答案没有包含标准答案的关键信息，属于完全不同的地点名称，因此判断为错误。"
musique-v2,sparse_block_preprocess_k16,0.15,seg_0_10,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/by_date/2026-07-18/spare_k_q_recompute_exp/rejudge_input/sparse_block_preprocess_k16/musique-v2/rate_0p15/seg_0_10/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,3,Who is the child of the Italian navigator who sailed for England and explored the eastern coast of the continent Francisco Bojado's birthplace is located?,Sebastian Cabot,Sebastian Cabot,Sebastian Cabot,True,预测答案“Sebastian Cabot”与标准答案完全一致，包含了标准答案的关键信息，且在语义上完全等价，正确地回答了问题。,"判断: 正确
原因: 预测答案“Sebastian Cabot”与标准答案完全一致，包含了标准答案的关键信息，且在语义上完全等价，正确地回答了问题。"
musique-v2,sparse_block_preprocess_k16,0.15,seg_0_10,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/by_date/2026-07-18/spare_k_q_recompute_exp/rejudge_input/sparse_block_preprocess_k16/musique-v2/rate_0p15/seg_0_10/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,4,Who is the spouse of the actor who played hannibal smith in the a team?,Sherry Boucher,Joy Harmon,Joy Harmon,False,预测答案“Joy Harmon”与标准答案“Sherry Boucher”完全不同。问题询问的是在《天龙特攻队》中饰演汉尼拔·史密斯的演员的配偶，标准答案明确给出的是Sherry Boucher，而预测答案给出了另一个人的名字，未包含标准答案的关键信息，因此判断为错误。,"判断: 错误
原因: 预测答案“Joy Harmon”与标准答案“Sherry Boucher”完全不同。问题询问的是在《天龙特攻队》中饰演汉尼拔·史密斯的演员的配偶，标准答案明确给出的是Sherry Boucher，而预测答案给出了另一个人的名字，未包含标准答案的关键信息，因此判断为错误。"
musique-v2,sparse_block_preprocess_k16,0.15,seg_0_10,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/by_date/2026-07-18/spare_k_q_recompute_exp/rejudge_input/sparse_block_preprocess_k16/musique-v2/rate_0p15/seg_0_10/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,5,When was the last time Peter Till's sports team beat the winner of the 1894-95 FA Cup?,1 December 2010,2019,2019,False,预测答案给出的时间是2019年，而标准答案明确指出是2010年12月1日。两者在具体年份上存在明显差异，语义上并不等价，因此预测答案未能正确回答问题。,"判断: 错误
原因: 预测答案给出的时间是2019年，而标准答案明确指出是2010年12月1日。两者在具体年份上存在明显差异，语义上并不等价，因此预测答案未能正确回答问题。"
musique-v2,sparse_block_preprocess_k16,0.15,seg_0_10,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/by_date/2026-07-18/spare_k_q_recompute_exp/rejudge_input/sparse_block_preprocess_k16/musique-v2/rate_0p15/seg_0_10/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,6,Who is the child of the cast member of Green Ice?,Tatum O'Neal,Answer: The child of the cast member of Green Ice is not explicitly mentioned in the provided information.,The child of the cast member of Green Ice is not explicitly mentioned in the provided information.,False,预测答案表示信息未被提及，未能给出具体的人名，没有包含标准答案中的关键信息“Tatum O'Neal”，因此未能正确回答问题。,"判断: 错误
原因: 预测答案表示信息未被提及，未能给出具体的人名，没有包含标准答案中的关键信息“Tatum O'Neal”，因此未能正确回答问题。"
musique-v2,sparse_block_preprocess_k16,0.15,seg_0_10,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/by_date/2026-07-18/spare_k_q_recompute_exp/rejudge_input/sparse_block_preprocess_k16/musique-v2/rate_0p15/seg_0_10/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,7,How many times did plague occur in the birthplace of La Silvia's composer?,22,3,3,False,预测答案给出的数字是3，而标准答案为22。两者在数值上完全不一致，且不满足语义等价的要求，因此预测答案未能正确回答该问题。,"判断: 错误
原因: 预测答案给出的数字是3，而标准答案为22。两者在数值上完全不一致，且不满足语义等价的要求，因此预测答案未能正确回答该问题。"
musique-v2,sparse_block_preprocess_k16,0.15,seg_0_10,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/by_date/2026-07-18/spare_k_q_recompute_exp/rejudge_input/sparse_block_preprocess_k16/musique-v2/rate_0p15/seg_0_10/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,8,When did military instruction start at the place where Larry Alcala was educated?,1912,1912,1912,True,预测答案“1912”与标准答案完全一致，包含了标准答案的关键信息，且在语义上完全等价，准确地回答了军事教学开始的时间，因此判断为正确。,"判断: 正确
原因: 预测答案“1912”与标准答案完全一致，包含了标准答案的关键信息，且在语义上完全等价，准确地回答了军事教学开始的时间，因此判断为正确。"
musique-v2,sparse_block_preprocess_k16,0.15,seg_0_10,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/by_date/2026-07-18/spare_k_q_recompute_exp/rejudge_input/sparse_block_preprocess_k16/musique-v2/rate_0p15/seg_0_10/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,9,What is the experimental satellite being forerunner to communication satellite of INSAT-4CR's manufacturer called?,ATS - 6 (Applications Technology Satellite - 6),ATS-6,ATS-6,True,预测答案“ATS-6”包含了标准答案“ATS - 6 (Applications Technology Satellite - 6)”中的核心名称，两者在语义上完全等价，仅省略了全称展开和连字符的细微格式差异，准确回答了问题。,"判断: 正确
原因: 预测答案“ATS-6”包含了标准答案“ATS - 6 (Applications Technology Satellite - 6)”中的核心名称，两者在语义上完全等价，仅省略了全称展开和连字符的细微格式差异，准确回答了问题。"
