label,rate,main_correct,main_total,main_acc,sub_correct,sub_total,sub_acc,avg_f1,avg_em,n_timing,prompt_eval_mean_s,storage_time_mean_s,selection_time_mean_s,terminated_count,finished_segments,kv_mode,paired_raw_label,prefill_s,storage_s,selection_s,finished,killed,traceback
online_qk_rate015,0.15,84,135,0.6222222222222222,187,248,0.7540322580645161,0.48972942891317506,0.21370967741935484,250,0.23114286382682622,0.024921747168526052,0.10323252451978623,0,1,preprocess,raw_online_qk_rate015,,,,,,
rate0_no_doc_recompute,0.0,75,135,0.5555555555555556,173,248,0.6975806451612904,0.45261988204959563,0.16129032258064516,250,0.10109068003669382,0.025017696088179945,0.0,0,1,preprocess,raw_rate0_no_doc_recompute,,,,,,
offline_qk_frequency,0.15,79,135,0.5851851851851851,179,248,0.7217741935483871,0.4695720630750484,0.1975806451612903,251,0.13628025516771167,0.02524981480683126,0.0,1,1,preprocess,raw_offline_qk_frequency,,,,,,
offline_qk_mean,0.15,76,135,0.562962962962963,176,248,0.7096774193548387,0.4766138070873063,0.20161290322580644,251,0.13116114144120736,0.025184265251034902,0.0,1,1,preprocess,raw_offline_qk_mean,,,,,,
offline_draft_frequency,0.15,85,135,0.6296296296296297,183,248,0.7379032258064516,0.49091649633809076,0.1935483870967742,251,0.133833197140287,0.02529941614084093,0.0,2,1,preprocess,raw_offline_draft_frequency,,,,,,
offline_draft_mean,0.15,84,135,0.6222222222222222,183,248,0.7379032258064516,0.49158393718809856,0.18951612903225806,251,0.1351732091952219,0.025431971831372368,0.0,2,1,preprocess,raw_offline_draft_mean,,,,,,
hybrid_draft70_qk30_rate015,0.15,88,135,0.6518518518518519,186,248,0.75,0.48716566654520554,0.1814516129032258,,,,,,,preprocess,raw_hybrid_draft70_qk30,0.17206233184362646,0.029939389719918837,0.0,1,0,0
online_draft_profile_sparse,0.15,100,135,0.7407407407407407,206,248,0.8306451612903226,0.5410046793248587,0.21370967741935484,,,,,,,preprocess,raw_online_draft_profile_sparse,,,,,,
raw_rate0_no_doc_recompute,0.0,64,135,0.4740740740740741,159,248,0.6411290322580645,0.4270952909448212,0.13709677419354838,250,0.10140960345265922,0.02556547211651923,0.0,,,raw,,,,,True,0,
raw_online_qk_rate015,0.15,78,135,0.5777777777777777,178,248,0.717741935483871,0.4702820000254542,0.1935483870967742,250,0.23338661513169062,0.02618203152011847,0.10380346901592566,,,raw,,,,,True,0,
raw_offline_qk_frequency,0.15,67,135,0.4962962962962963,168,248,0.6774193548387096,0.45254212309183417,0.17338709677419356,250,0.13196492994064465,0.026516255984606687,0.0,,,raw,,,,,True,0,
raw_offline_qk_mean,0.15,70,135,0.5185185185185185,170,248,0.6854838709677419,0.45186889092371235,0.17338709677419356,250,0.13177485479204915,0.026063990036025643,0.0,,,raw,,,,,True,0,
raw_offline_draft_frequency,0.15,77,135,0.5703703703703704,174,248,0.7016129032258065,0.4709211671767052,0.1814516129032258,250,0.13009298928879434,0.025910136900492944,0.0,,,raw,,,,,True,0,
raw_offline_draft_mean,0.15,76,135,0.562962962962963,175,248,0.7056451612903226,0.4662766263557788,0.1774193548387097,250,0.12972468184726313,0.025505212520016356,0.0,,,raw,,,,,True,0,
raw_hybrid_draft70_qk30,0.15,74,135,0.5481481481481482,169,248,0.6814516129032258,0.4567848266865858,0.1814516129032258,250,0.13012757121631877,0.025653957172005904,0.0,,,raw,,,,,True,0,
raw_online_draft_profile_sparse,0.15,91,135,0.674074074074074,194,248,0.782258064516129,0.5076656554026695,0.21370967741935484,250,0.26850508763617836,0.025760286951903254,0.13893800556409405,,,raw,,,,,True,0,
