rate,example_id,selected_times,token_count,token_ratio
0.15,0,0,824,0.703672075149445
0.15,0,1,76,0.06490179333902647
0.15,0,2,25,0.02134927412467976
0.15,0,3,22,0.018787361229718188
0.15,0,4,10,0.008539709649871904
0.15,0,5,8,0.006831767719897523
0.15,0,6,6,0.005123825789923143
0.15,0,7,10,0.008539709649871904
0.15,0,8,3,0.0025619128949615714
0.15,0,9,5,0.004269854824935952
0.15,0,10,4,0.0034158838599487617
0.15,0,11,1,0.0008539709649871904
0.15,0,12,3,0.0025619128949615714
0.15,0,13,6,0.005123825789923143
0.15,0,14,0,0.0
0.15,0,15,1,0.0008539709649871904
0.15,0,16,3,0.0025619128949615714
0.15,0,17,1,0.0008539709649871904
0.15,0,18,5,0.004269854824935952
0.15,0,19,1,0.0008539709649871904
0.15,0,20,2,0.0017079419299743809
0.15,0,21,1,0.0008539709649871904
0.15,0,22,2,0.0017079419299743809
0.15,0,23,1,0.0008539709649871904
0.15,0,24,4,0.0034158838599487617
0.15,0,25,2,0.0017079419299743809
0.15,0,26,1,0.0008539709649871904
0.15,0,27,1,0.0008539709649871904
0.15,0,28,2,0.0017079419299743809
0.15,0,29,1,0.0008539709649871904
0.15,0,30,1,0.0008539709649871904
0.15,0,31,3,0.0025619128949615714
0.15,0,32,4,0.0034158838599487617
0.15,0,33,2,0.0017079419299743809
0.15,0,34,130,0.11101622544833475
0.25,0,0,574,0.4901793339026473
0.25,0,1,131,0.11187019641332195
0.25,0,2,67,0.05721605465414176
0.25,0,3,34,0.029035012809564473
0.25,0,4,11,0.009393680614859094
0.25,0,5,17,0.014517506404782237
0.25,0,6,8,0.006831767719897523
0.25,0,7,15,0.012809564474807857
0.25,0,8,4,0.0034158838599487617
0.25,0,9,8,0.006831767719897523
0.25,0,10,5,0.004269854824935952
0.25,0,11,8,0.006831767719897523
0.25,0,12,6,0.005123825789923143
0.25,0,13,4,0.0034158838599487617
0.25,0,14,5,0.004269854824935952
0.25,0,15,5,0.004269854824935952
0.25,0,16,1,0.0008539709649871904
0.25,0,17,3,0.0025619128949615714
0.25,0,18,4,0.0034158838599487617
0.25,0,19,1,0.0008539709649871904
0.25,0,20,3,0.0025619128949615714
0.25,0,21,0,0.0
0.25,0,22,1,0.0008539709649871904
0.25,0,23,4,0.0034158838599487617
0.25,0,24,2,0.0017079419299743809
0.25,0,25,2,0.0017079419299743809
0.25,0,26,5,0.004269854824935952
0.25,0,27,1,0.0008539709649871904
0.25,0,28,3,0.0025619128949615714
0.25,0,29,2,0.0017079419299743809
0.25,0,30,1,0.0008539709649871904
0.25,0,31,1,0.0008539709649871904
0.25,0,32,5,0.004269854824935952
0.25,0,33,2,0.0017079419299743809
0.25,0,34,228,0.19470538001707943
0.3,0,0,504,0.430401366353544
