rate,example_id,m_queries,intersection_ratio_mean,intersection_ratio_std
0.15,0,2,0.8715178571428572,0.02550494524877199
0.15,0,4,0.8166517857142858,0.023189848057580575
0.15,0,8,0.7823660714285714,0.016721417034077913
0.15,0,16,0.7575000000000001,0.008740884464657435
0.15,0,32,0.7433482142857145,0.0016015527780939252
0.15,0,34,0.7428571428571429,0.0
0.25,0,2,0.8779698202054794,0.018951383292262067
0.25,0,4,0.8313356164383561,0.015393111811956508
0.25,0,8,0.8056506849315069,0.010888781970870644
0.25,0,16,0.7894370719178083,0.0054483340062443444
0.25,0,32,0.7815710616438355,0.0015397575524334563
0.25,0,34,0.7808219178082192,0.0
0.3,0,2,0.8908475783475783,0.023931385453634744
0.3,0,4,0.8402777777777779,0.01947569444424094
0.3,0,8,0.8114983974358975,0.0164427259192725
0.3,0,16,0.7902199074074074,0.00977803172748958
0.3,0,32,0.7731926638176638,0.0024733252106640138
0.3,0,34,0.7720797720797721,0.0
0.5,0,2,0.9234775641025643,0.023461970843360557
0.5,0,4,0.882064636752137,0.02431253642001689
0.5,0,8,0.8540865384615386,0.020807549654093538
0.5,0,16,0.8275240384615387,0.01247365520203223
0.5,0,32,0.809561965811966,0.0017805377470618482
0.5,0,34,0.8085470085470086,0.0
0.8,0,2,0.9639256143162391,0.013516306111508782
0.8,0,4,0.9368906917735043,0.014467637268706361
0.8,0,8,0.9184194711538463,0.01263254068964114
0.8,0,16,0.9013838808760685,0.0069387388648283
0.8,0,32,0.8887553418803419,0.0016786598677853432
0.8,0,34,0.8878205128205128,0.0
0.15,1,2,0.8845920138888889,0.018204710363856548
0.15,1,4,0.8338541666666667,0.017269724755557516
0.15,1,8,0.8108506944444445,0.013955731083440325
0.15,1,16,0.7897135416666667,0.009699622635834081
0.15,1,32,0.7735677083333334,0.002755649163081583
0.15,1,34,0.7722222222222223,0.0
0.25,1,2,0.869705149501661,0.019389452165055606
0.25,1,4,0.8181322674418604,0.015026372850696648
0.25,1,8,0.7946688122923588,0.009827889168996668
0.25,1,16,0.779640780730897,0.005416361493257468
0.25,1,32,0.7713870431893688,0.001423516320681249
0.25,1,34,0.770764119601329,0.0
0.3,1,2,0.8794364612188366,0.02325355672176848
0.3,1,4,0.8266533933518005,0.02415301943931259
0.3,1,8,0.801917416897507,0.020870616433436847
0.3,1,16,0.7784582756232687,0.016890498111296868
0.3,1,32,0.7606691481994459,0.004479221000718025
0.3,1,34,0.7590027700831025,0.0
0.5,1,2,0.9151526162790697,0.021455082976918283
0.5,1,4,0.8683295265780732,0.022164649110205107
0.5,1,8,0.8368329526578073,0.016898491718023444
0.5,1,16,0.8119419642857143,0.011351446875339568
0.5,1,32,0.7940458887043188,0.0029873238275340865
0.5,1,34,0.792358803986711,0.0
0.8,1,2,0.9686203319502072,0.01056854267338121
0.8,1,4,0.9491214989626555,0.011893366274966096
0.8,1,8,0.9325077800829875,0.010252594489285593
0.8,1,16,0.9163965248962656,0.0068373773305067794
0.8,1,32,0.9055530342323652,0.0020781681753752265
0.8,1,34,0.9045643153526971,0.0
0.15,2,2,0.8487939927184467,0.02072979166854342
0.15,2,4,0.7872041868932038,0.017224646539046394
0.15,2,8,0.757054004854369,0.013835209275723247
0.15,2,16,0.7317202669902912,0.009172147827628388
0.15,2,32,0.7146162014563109,0.002242055712053617
0.15,2,34,0.7135922330097088,0.0
0.25,2,2,0.8581259084302326,0.01701675272501636
0.25,2,4,0.8016896802325582,0.014955476737869984
0.25,2,8,0.7774118822674418,0.012245604996964504
0.25,2,16,0.760310683139535,0.007672740707154543
0.25,2,32,0.7431640625,0.002453497514231549
0.25,2,34,0.7412790697674418,0.0
0.3,2,2,0.8701573849878934,0.020503074521113742
0.3,2,4,0.8141078995157386,0.019147415453227675
0.3,2,8,0.7870951876513317,0.014206441450658623
0.3,2,16,0.7643575968523002,0.009323476320700887
0.3,2,32,0.7494135895883776,0.0028229932366098135
0.3,2,34,0.7481840193704601,0.0
0.5,2,2,0.9276775981104651,0.01616265232256073
0.5,2,4,0.8870821220930234,0.016682252117881057
0.5,2,8,0.8621911337209303,0.012534691394325077
0.5,2,16,0.8414562136627908,0.007216411899660709
0.5,2,32,0.828193132267442,0.0021138090112354504
0.5,2,34,0.8270348837209303,0.0
0.8,2,2,0.9728442892824705,0.0089488612239477
0.8,2,4,0.9534443119891007,0.01059103429611598
0.8,2,8,0.9386140440508628,0.009120555097917553
0.8,2,16,0.9263453678474114,0.004147360747374842
0.8,2,32,0.9197746366939148,0.0008273862311051586
0.8,2,34,0.9191643960036331,0.0
0.15,3,2,0.8537466397849462,0.02037697550187395
0.15,3,4,0.7916666666666666,0.02190076711935527
0.15,3,8,0.7589885752688172,0.019104344517162187
0.15,3,16,0.7318968413978495,0.019700962280643036
0.15,3,32,0.702872983870968,0.007647258153861049
0.15,3,35,0.6989247311827957,0.0
0.25,3,2,0.8699848790322582,0.020471637959440146
0.25,3,4,0.8132308467741935,0.021717518250131258
0.25,3,8,0.7787550403225807,0.015341283914815658
0.25,3,16,0.7508568548387097,0.01022067560266804
0.25,3,32,0.7343750000000001,0.0029199089431371414
0.25,3,35,0.7322580645161291,0.0
0.3,3,2,0.8863197244623655,0.020990325990794728
0.3,3,4,0.8303091397849462,0.024249487301974106
0.3,3,8,0.8030703965053764,0.019905541009706085
0.3,3,16,0.7798219086021505,0.013913227992812872
0.3,3,32,0.764616935483871,0.0022478306720866334
0.3,3,35,0.7634408602150538,0.0
0.5,3,2,0.9309329710144927,0.017867361421209687
0.5,3,4,0.8926756239935588,0.019529721437964574
0.5,3,8,0.8700432769726248,0.015671242454733163
