selector,rate,example_id,sub_question_id,main_question,sub_question,context_len,system_len,doc_len,query_len,selected_tokens,actual_rate,selection_time_s,selection_score_time_s,recompute_time_s,query_prefill_time_s,decode_first_token_time_s,query_mass_all_layer_mean,query_mass_last_layer,query_mass_first_half_mean,query_mass_second_half_mean,decode_mass_all_layer_mean,decode_mass_last_layer,decode_mass_first_half_mean,decode_mass_second_half_mean,first_token,first_token_text,per_layer_query_mass_json,per_layer_decode_mass_json
random,0.3,0,0,What is the network which National Cycle Route 57 is part of an example of?,What network is National Cycle Route 57 part of?,2105,792,1313,22,393,0.2993145468392993,0.0,0.0,0.703671139664948,0.12520422227680683,0.0637088268995285,0.11612369310877982,0.12092867764559659,0.15148597701361097,0.0807614092039487,0.08929014517640578,0.10044055325644356,0.11146352941892583,0.06711676093388577,5055, National,"[0.3200844603699523, 0.30722566084428266, 0.1980417672689859, 0.22684587751116073, 0.06792836994319768, 0.12384344076181387, 0.12640140582988788, 0.11343373880757913, 0.10222319813517781, 0.1210102229923397, 0.08846572776893516, 0.10000246221368964, 0.11391954298143263, 0.11137780276211826, 0.09476592323996803, 0.07295774484609628, 0.10182323084249124, 0.09404281517127891, 0.05413025695008117, 0.09377888890055867, 0.06660063855059735, 0.08590805375730837, 0.107214642809583, 0.06512309978534649, 0.04210470249126484, 0.07123754550884297, 0.060043508356267754, 0.12092867764559659]","[0.2075408867427281, 0.18078032561710902, 0.14435475213187082, 0.09559360572269984, 0.05770362274987357, 0.14374596732003347, 0.0764442937714713, 0.08267201696123395, 0.06794998049736023, 0.13618291275841848, 0.04953791413988386, 0.0969064576285226, 0.1443615300314767, 0.07671514579227992, 0.08499819040298462, 0.0612401408808572, 0.073270354952131, 0.11600605930600848, 0.04639291763305664, 0.09012213775089808, 0.047883408410208564, 0.031520990388734, 0.10658134732927595, 0.053956057344164164, 0.029567541820662364, 0.0695480193410601, 0.028106934257916043, 0.10044055325644356]"
random,0.3,1,0,What district is the headquarter of Julia's House located?,Where is the headquarters of Julia's House located?,2087,792,1295,20,388,0.2996138996138996,0.0,0.0,0.0767059437930584,0.06374963605776429,0.04856065195053816,0.11416409271103996,0.1286463737487793,0.14248518311247535,0.08584300230960458,0.09703177008397727,0.09055781364440918,0.11646387619631633,0.07759966397163819,4463, Cor,"[0.3259387697492327, 0.2892014639718192, 0.18608292170933316, 0.20687137331281388, 0.06860121999468122, 0.1238022804260254, 0.1078632082257952, 0.0950793947492327, 0.08475755964006697, 0.11774798801967076, 0.06948206084115165, 0.10035463060651506, 0.10893419810703822, 0.1100754942212786, 0.11325952666146415, 0.07568033763340541, 0.0973076207297189, 0.09817934717450823, 0.056599606786455425, 0.08927644320896694, 0.0729290281023298, 0.0798914909362793, 0.1106947898864746, 0.07046463830130441, 0.04600834846496582, 0.08576315471104214, 0.07710132598876954, 0.1286463737487793]","[0.20799500601632254, 0.1715456417628697, 0.14874022347586496, 0.1221113886151995, 0.0698732818875994, 0.15198816571916854, 0.07990132059369769, 0.08445542199271065, 0.0588994026184082, 0.12693142890930176, 0.05574087159974234, 0.1304949266569955, 0.142270599092756, 0.07954658780779157, 0.10350094522748675, 0.08517173358372279, 0.06903656465666634, 0.09185102156230382, 0.06601404292242867, 0.09089445216315133, 0.10723070587430682, 0.05232306889125279, 0.10319352149963379, 0.013030207582882472, 0.08981894595282418, 0.06723446079662868, 0.05653781124523708, 0.09055781364440918]"
random,0.3,2,0,What body of water includes the terrain feature where Coffee Swamp is located?,Where is Coffee Swamp located?,2233,792,1441,16,432,0.2997918112421929,0.0,0.0,0.07634839881211519,0.058911202009767294,0.04769430076703429,0.12369574515187008,0.12154247079576765,0.15857027623118186,0.08882121407255837,0.10065690572468602,0.14809870719909668,0.12063241309049176,0.08068139835888023,6515, Washington,"[0.33882345472063335, 0.358356169291905, 0.21158358028956822, 0.23172712326049805, 0.07474948678697858, 0.13455028193337576, 0.13041308947971889, 0.12411369596208845, 0.08939414364950997, 0.12227654457092285, 0.08198261260986328, 0.10063603946140834, 0.10787674358912877, 0.11350090163094657, 0.09864727088383266, 0.06832029989787511, 0.08783699784960065, 0.09036919048854283, 0.054657305989946635, 0.11760239941733223, 0.09174174070358276, 0.10480351107461112, 0.1251042400087629, 0.08313734190804618, 0.05938328163964408, 0.07047187430518013, 0.06987907205309186, 0.12154247079576765]","[0.22704063143048966, 0.20817216805049352, 0.14253239972250803, 0.11775469779968262, 0.06442402941840035, 0.13859319686889648, 0.07937461989266532, 0.10449640239988055, 0.0738420912197658, 0.1422053234917777, 0.05786792721067156, 0.10696119921548027, 0.1327609590121678, 0.0928281375340053, 0.09255651916776385, 0.06171517286981855, 0.10285321303776332, 0.11760046652385167, 0.06547367572784424, 0.10968833310263497, 0.1364124587603978, 0.06006058199065072, 0.0618904743875776, 0.030585897820336477, 0.029306326593671526, 0.08921418871198382, 0.0240835611309324, 0.14809870719909668]"
random,0.3,3,0,Who is the spouse of the child of Peter Andreas Heiberg?,Who is the child of Peter Andreas Heiberg?,1946,792,1154,21,346,0.29982668977469673,0.0,0.0,0.06527711031958461,0.056854055263102055,0.04924302501603961,0.11964497378546712,0.1126791506397481,0.1437356733835589,0.09555427418737532,0.07608824086432553,0.19142392703465053,0.09700966276684585,0.05516681896180522,11789, Document,"[0.29234988673203655, 0.2715065106242692, 0.18004505650526811, 0.21156855991908483, 0.0636211836419138, 0.12530836767079878, 0.10837988302010257, 0.09474721895594175, 0.0854734433751528, 0.13158408962950416, 0.07261585053943452, 0.11938909932869632, 0.1365487494436251, 0.11916152798399633, 0.12297525211256377, 0.082992748338349, 0.11046805349337001, 0.10820052737281435, 0.06323653500096328, 0.10842155923648757, 0.08088097604764562, 0.10545424377026201, 0.149849119640532, 0.09654198860635563, 0.03898579409333314, 0.08865501767113096, 0.06841887259969906, 0.1126791506397481]","[0.19637748173304967, 0.18179135663168772, 0.12744937624250138, 0.13674718141555786, 0.04806466613497053, 0.11397639342716762, 0.06742793321609497, 0.08394294125693184, 0.07422176429203578, 0.09161671570369176, 0.04680738278797695, 0.07299383197511945, 0.07584739582879203, 0.04087085809026446, 0.058291103158678324, 0.04324698448181152, 0.037334050451006205, 0.037991144827433994, 0.024928484644208635, 0.05780052287237985, 0.08437832764216832, 0.038782907383782525, 0.04654566730771746, 0.026430662189211165, 0.012752522315297807, 0.028982334903308322, 0.08344682625361852, 0.19142392703465053]"
random,0.3,3,1,Who is the spouse of the child of Peter Andreas Heiberg?,Who is the spouse of Johan Ludvig Heiberg?,2145,792,1353,22,405,0.29933481152993346,0.0,0.0,0.07395474473014474,0.0574381947517395,0.04922974109649658,0.13679866467866914,0.16868270527232776,0.17114481899424255,0.10245251036309577,0.12720435705720162,0.13923501116888864,0.1262772274868829,0.12813148662752033,26176, Joh,"[0.3587293996439352, 0.3331297589586927, 0.21969391463638901, 0.2576674919623833, 0.07195499965122767, 0.13527471368963068, 0.13347957660625506, 0.13038643923672763, 0.11540692812436587, 0.13853630462250152, 0.0912995400366845, 0.1257971478747083, 0.14665199874283433, 0.13801925213305982, 0.11711618497774198, 0.08895753885244394, 0.11556707109723773, 0.1146286307991325, 0.06388238188508269, 0.12085129378677963, 0.0905809278612013, 0.10198422221394328, 0.1455713247323965, 0.08140802383422852, 0.05239913370702174, 0.09780855921955851, 0.07489714684424462, 0.16868270527232776]","[0.23584045682634627, 0.17762953894478933, 0.17671714510236466, 0.11005134241921562, 0.06737512350082397, 0.16028768675667898, 0.08248551402773176, 0.09538803781781878, 0.0959254162652152, 0.15289889063153947, 0.06048924156597683, 0.11872140850339617, 0.15013728822980607, 0.08393409422465734, 0.14169345583234513, 0.11421138899666923, 0.13317859172821045, 0.15196354048592703, 0.08703693321772984, 0.199207033429827, 0.13967220272336686, 0.08525071825299944, 0.2575129100254604, 0.1287785087312971, 0.04077924575124468, 0.06345598186765398, 0.11186529057366508, 0.13923501116888864]"
random,0.3,4,0,"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?","Who were the siblings of Alice de Lusignan, Countess of Surrey?",1970,792,1178,27,353,0.299660441426146,0.0,0.0,0.0652670026756823,0.05860748002305627,0.04779967898502946,0.10497985270017943,0.08654752862516535,0.13586049357419291,0.07409921182616588,0.08817734246199228,0.14538296631404332,0.1117672749928066,0.064587409931178,50106, Joan,"[0.32134614167390047, 0.2879032357029183, 0.18621721217241236, 0.2301453080757585, 0.061343692597888765, 0.110147789041832, 0.10339262624266286, 0.08960071947208788, 0.07823495007065868, 0.08727401652664103, 0.05715057332679708, 0.09377515883672805, 0.10099600736426298, 0.09451947893415179, 0.10186711064091435, 0.06956098445508846, 0.08718704546570147, 0.09737533488601603, 0.04810695042685857, 0.09293821627500827, 0.06594268859378875, 0.06831390138656374, 0.10113761538550967, 0.054986852817434484, 0.029758309561108785, 0.06084501680242952, 0.07282141024473483, 0.08654752862516535]","[0.21143106051853724, 0.1765615258898054, 0.14172979763575963, 0.1407447031566075, 0.061649279935019355, 0.13962929589407785, 0.08704102039337158, 0.11715352535247803, 0.05724555253982544, 0.11265620163508824, 0.04662093094417027, 0.08932645831789289, 0.12019898210253034, 0.06275351558412824, 0.09650532688413348, 0.08471206256321498, 0.0689963059765952, 0.07767362254006523, 0.030475565365382602, 0.07163623401096889, 0.05243045091629028, 0.042045921087265015, 0.06964308874947685, 0.054617856230054586, 0.016283596200602397, 0.04246163368225098, 0.05135910851614816, 0.14538296631404332]"
random,0.3,4,1,"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?",When was King Henry III of England crowned?,2867,792,2075,19,622,0.29975903614457833,0.0,0.0,0.08704319503158331,0.05684851296246052,0.048178437165915966,0.14451587981235328,0.13468634813351738,0.18181885249120464,0.10721290713350189,0.13904242065488076,0.09252207619803292,0.1521313409416043,0.12595350036815725,16,1,"[0.4230007659223743, 0.3916135515485491, 0.24657279566714638, 0.27822775589792353, 0.08018055535796889, 0.14523269538592576, 0.15300333410277403, 0.1386449856865675, 0.1142698445714506, 0.1340292163361284, 0.10561588115261909, 0.11510537800035979, 0.1302582303384193, 0.08970894490865837, 0.12568625830169908, 0.09010850576529826, 0.1320893997536566, 0.10738704079075863, 0.056460588498223094, 0.11646411293431332, 0.10427065540973406, 0.11264088279322575, 0.1457395195064688, 0.08898942990410597, 0.0776343238084836, 0.11666932500394664, 0.09215430926559563, 0.13468634813351738]","[0.30132828439985004, 0.2338386263166155, 0.16878717286246164, 0.15847723824637278, 0.07451237951006208, 0.16289263112204416, 0.1250018903187343, 0.12556869643075125, 0.09952800614493233, 0.16850837639399938, 0.10328667504446847, 0.1365936143057687, 0.174052289554051, 0.09746289253234863, 0.1922933374132429, 0.13845772402627127, 0.22217929363250732, 0.1917168072291783, 0.12152893202645439, 0.15189187867300852, 0.18127506119864328, 0.11324565751211983, 0.1594928162438529, 0.056399724313191006, 0.0612228342464992, 0.053968995809555054, 0.027153866631644114, 0.09252207619803292]"
random,0.3,6,0,Which university employed the person that Mach bands are named after?,Which university employed Ernst Mach?,2282,792,1490,16,447,0.3,0.0,0.0,0.07460163999348879,0.055068410001695156,0.047443068120628595,0.12509295526815922,0.12019938230514526,0.15220494781221663,0.09798096272410177,0.11476938684984131,0.03432266201291766,0.1334319385338803,0.09610683516580229,14927, Charles,"[0.3394346237182617, 0.3196509225027902, 0.1997117485318865, 0.21680097920554026, 0.07091232708522252, 0.13066506385803223, 0.12237515619822911, 0.1211374316896711, 0.1068028552191598, 0.11700031587055751, 0.08194372483662196, 0.09716061183384486, 0.11528887919017247, 0.09198462963104248, 0.10143320901053292, 0.07160196134022304, 0.1002301744052342, 0.09928505761282784, 0.05830449717385428, 0.11465873037065778, 0.09153234958648682, 0.13101740394319808, 0.16112819739750453, 0.08788572038922991, 0.060498331274305074, 0.09779298305511475, 0.07616548027311053, 0.12019938230514526]","[0.23776262147086008, 0.17012568882533483, 0.13270551817757742, 0.10791735989706856, 0.06844310675348554, 0.15955947126661027, 0.0845482519694737, 0.09545651503971644, 0.08349031209945679, 0.20282735143389022, 0.09237985951559884, 0.14295082432883127, 0.1994856255395072, 0.09039463315691267, 0.130182078906468, 0.16831300939832414, 0.12193189348493304, 0.18488424164908274, 0.11329689196177892, 0.12463125160762242, 0.13944804668426514, 0.12342934097562518, 0.11367532185145787, 0.037069043942860196, 0.005020705716950553, 0.02752400721822466, 0.021767196910721914, 0.03432266201291766]"
random,0.3,7,0,Who is the employer of the physicist who Mach number is named after?,Who is the physicist that the Mach number is named after?,2379,792,1587,22,476,0.2999369880277253,0.0,0.0,0.0753857959061861,0.05764577491208911,0.04745727125555277,0.11549236314416153,0.11474109005618405,0.15082607242747006,0.08015865386085298,0.09816465906950893,0.2188668932233538,0.11829082971932936,0.07803848841968845,73110, Ernst,"[0.3506656993519176, 0.31995109459022425, 0.21384102957589285, 0.19618449273047509, 0.0821581320329146, 0.14110262982257002, 0.12415729869495738, 0.10528381149490158, 0.08597534353082831, 0.12087393426275872, 0.06628437166090136, 0.09746756491722999, 0.11953633791440493, 0.08808327340460442, 0.09650020475511427, 0.06608330739008916, 0.08499317664604683, 0.09199916542350471, 0.05601805525940734, 0.09279386099282798, 0.06057860015274642, 0.0814020602734058, 0.10685053738680753, 0.07440682200642375, 0.04569256150877321, 0.07892943047857903, 0.07123228172203164, 0.11474109005618405]","[0.23389909948621476, 0.1974128314426967, 0.1573761190686907, 0.11778972830091204, 0.07342842647007533, 0.1473017590386527, 0.06333510790552412, 0.0958489009312221, 0.07064204130853925, 0.14749605315072195, 0.03787416219711304, 0.10669616290501185, 0.1382671594619751, 0.06870406440326146, 0.12003850085394722, 0.08992668560573033, 0.08631251539502825, 0.09244627611977714, 0.08200490474700928, 0.11166739463806152, 0.06854286364146642, 0.044551236288888116, 0.06244396311896188, 0.02958428646836962, 0.019835642405918667, 0.03324618084090097, 0.03307149452822549, 0.2188668932233538]"
random,0.3,7,1,Who is the employer of the physicist who Mach number is named after?,Who was Ernst Mach's employer or academic institution during his career?,2258,792,1466,23,439,0.2994542974079127,0.0,0.0,0.07456359965726733,0.05713004991412163,0.047417237889021635,0.11147851698569947,0.12549612388847778,0.12940330725384688,0.09355372671755204,0.09869069328569638,0.0648598415510995,0.11020597176892419,0.08717541480246856,14927, Charles,"[0.2991207667759487, 0.28886920620936046, 0.19525934302288553, 0.19271258241641595, 0.06857635663903278, 0.11344522274799229, 0.09982851869571283, 0.08165136775615052, 0.07134443484478115, 0.07188426781885372, 0.052102764200719985, 0.08084684573345302, 0.10585680659513295, 0.09014781809741666, 0.11497906276157924, 0.0622970509973372, 0.10576736260645138, 0.09109553935364907, 0.04808223617743261, 0.10357431447283821, 0.08264270332289038, 0.09883959397025731, 0.14834860096807065, 0.08613150460379464, 0.0459630889181765, 0.08938393681686117, 0.10715105518791246, 0.12549612388847778]","[0.21114322117396764, 0.17055157252720424, 0.1431800297328404, 0.10177463293075562, 0.06506644402231489, 0.13719729014805385, 0.07559061050415039, 0.08263286522456578, 0.05012186935969761, 0.12121174165180751, 0.041914548192705424, 0.09039558683122907, 0.16455893857138498, 0.08754425389426095, 0.16149379525865828, 0.07942470482417516, 0.1115591015134539, 0.11371938671384539, 0.07091941152300153, 0.10483286210468837, 0.11459841898509435, 0.1327147994722639, 0.12384277582168579, 0.05268065844263349, 0.016143035675798143, 0.02045415128980364, 0.05321286405835833, 0.0648598415510995]"
