selector,rate,example_id,sub_question_id,main_question,sub_question,context_len,system_len,doc_len,query_len,selected_tokens,actual_rate,selection_time_s,selection_score_time_s,recompute_time_s,query_prefill_time_s,decode_first_token_time_s,query_mass_all_layer_mean,query_mass_last_layer,query_mass_first_half_mean,query_mass_second_half_mean,decode_mass_all_layer_mean,decode_mass_last_layer,decode_mass_first_half_mean,decode_mass_second_half_mean,first_token,first_token_text,per_layer_query_mass_json,per_layer_decode_mass_json
fusionrag_qk,0.8,0,0,What is the network which National Cycle Route 57 is part of an example of?,What network is National Cycle Route 57 part of?,2105,792,1313,22,1050,0.7996953541507997,0.40783059783279896,0.40783059783279896,0.5709370481781662,0.08415144309401512,0.06802303902804852,0.24607303854706994,0.25172379729035615,0.29157642619286933,0.20056965090127069,0.22173075332325332,0.4113982064383371,0.22985959904534475,0.2136019076011619,5055, National,"[0.6020629684646408, 0.5979409155907569, 0.4886013873211749, 0.49969403155438313, 0.12582847050258092, 0.21824267003443334, 0.23652274887283126, 0.20293856286383294, 0.17768581192214766, 0.19404595858090884, 0.1455834624055144, 0.18204718750792664, 0.1994003692230621, 0.21147542185597606, 0.2532980039522245, 0.1699184070933949, 0.21007277748801492, 0.22189950323724128, 0.10756310549649326, 0.222506857537604, 0.19054343483664773, 0.1944933680744914, 0.3106883160479657, 0.18157915635542435, 0.1357318828632305, 0.17593308238240032, 0.18202341996230087, 0.25172379729035615]","[0.4797032220023019, 0.42400734765189035, 0.3943392208644322, 0.27264799390520367, 0.11221880572182792, 0.257112911769322, 0.14596165929521834, 0.1496021577290126, 0.16923625128609793, 0.21205973625183105, 0.08219105856759208, 0.16813657964978898, 0.1946831771305629, 0.1561342648097447, 0.24344042369297572, 0.19194274289267405, 0.1169813871383667, 0.1545781067439488, 0.06442271385874067, 0.1863523210797991, 0.12015912362507411, 0.15970538343702043, 0.47276077951703754, 0.29311677387782503, 0.24433541297912598, 0.17506745883396693, 0.15616587230137416, 0.4113982064383371]"
fusionrag_qk,0.8,1,0,What district is the headquarter of Julia's House located?,Where is the headquarters of Julia's House located?,2087,792,1295,20,1036,0.8,0.02782656392082572,0.02782656392082572,0.14786246186122298,0.06158763729035854,0.0489487168379128,0.2436497328232746,0.2772763933454241,0.29505111927888833,0.19224834636766083,0.21514530601550116,0.21809237343924387,0.24753946065902713,0.1827511513719753,4463, Cor,"[0.6217618669782367, 0.6095717838832311, 0.4818544660295759, 0.48575515747070314, 0.13893820898873466, 0.2168849263872419, 0.23041469029017858, 0.19061549050467355, 0.1825369153703962, 0.21133886064801896, 0.14818744659423827, 0.1718484606061663, 0.20427731105259486, 0.23673008510044644, 0.2031961713518415, 0.15866573878696988, 0.18788103376116072, 0.1865677697317941, 0.098040771484375, 0.21138738904680524, 0.17940267835344587, 0.18765920911516462, 0.28962674822126117, 0.1913189479282924, 0.1462067195347377, 0.17919589451381138, 0.19505138397216798, 0.2772763933454241]","[0.49445979935782297, 0.42332117898123606, 0.3937650067465646, 0.307713440486363, 0.12582836832318986, 0.2543415001460484, 0.15704117502485002, 0.14955386093684606, 0.15192668778555735, 0.258097631590707, 0.11802630765097481, 0.22078359127044678, 0.22273216928754533, 0.1879617316382272, 0.19496851308005198, 0.17380584989275252, 0.1296001332146781, 0.16563570499420166, 0.11434297902243477, 0.2050537041255406, 0.13568579299109323, 0.16110374246324813, 0.23370751312800817, 0.24913437025887625, 0.14607153620038713, 0.16679443631853377, 0.26451947007860455, 0.21809237343924387]"
fusionrag_qk,0.8,2,0,What body of water includes the terrain feature where Coffee Swamp is located?,Where is Coffee Swamp located?,2233,792,1441,16,1152,0.7994448299791811,0.032939495984464884,0.032939495984464884,0.15074598789215088,0.0890419203788042,0.10363929299637675,0.23393900297126,0.25443826402936665,0.3050251049654825,0.16285290097703742,0.2643274050586078,0.3727303573063442,0.286961813970488,0.2416929961467276,6515, Washington,"[0.6295405796595982, 0.6228339331490653, 0.48858329227992464, 0.5014615740094867, 0.15389565059116908, 0.25429652418409077, 0.2637015070234026, 0.21237092358725412, 0.1799126693180629, 0.21287800584520614, 0.14128253289631434, 0.172419616154262, 0.1990528106689453, 0.2381218501499721, 0.15549070494515554, 0.14974541323525564, 0.16817208698817662, 0.1631287166050502, 0.09281131199428014, 0.17656322887965611, 0.1588665246963501, 0.16355385099138534, 0.24486865316118514, 0.13374102115631104, 0.11531837497438703, 0.14474454947880336, 0.15849791254316056, 0.25443826402936665]","[0.505331175667899, 0.4335236889975412, 0.38748397145952496, 0.3453615392957415, 0.15751663276127406, 0.2899605206080845, 0.1919908012662615, 0.24119857379368373, 0.21833131994519914, 0.30986881256103516, 0.1265117355755397, 0.23295279911586217, 0.3015716075897217, 0.2758622169494629, 0.24418354034423828, 0.22831833362579346, 0.2531045845576695, 0.23926043510437012, 0.11296921968460083, 0.2700426067624773, 0.29377245903015137, 0.22305139473506383, 0.40297065462384907, 0.2216430732182094, 0.14589408465794154, 0.17515669550214494, 0.2006045069013323, 0.3727303573063442]"
fusionrag_qk,0.8,3,0,Who is the spouse of the child of Peter Andreas Heiberg?,Who is the child of Peter Andreas Heiberg?,1946,792,1154,21,923,0.7998266897746967,0.030205130111426115,0.030205130111426115,0.12416075775399804,0.09755492303520441,0.05509339505806565,0.2246652993331035,0.21442750684258077,0.2845145059628204,0.16481609270338646,0.1823233197994378,0.05623758690697806,0.23331505790048715,0.1313315816983885,88807, Johan,"[0.5846045357840401, 0.5740745181129092, 0.46934467756829296, 0.49350120907738093, 0.13343009170220824, 0.21870575470178305, 0.2322189694359189, 0.17683851799997344, 0.165598421680684, 0.20256789849728954, 0.1202484182760018, 0.16416803995768228, 0.214337614928784, 0.233564415756537, 0.23613121396019346, 0.15731816713501806, 0.21091812808497423, 0.17915647857043207, 0.08100247545307185, 0.16740194307703551, 0.15134641426761133, 0.1559915088471912, 0.19367762974330358, 0.154039512686178, 0.09522880502298575, 0.14952867209505874, 0.16125684206177587, 0.21442750684258077]","[0.46823467527117046, 0.38663952691214426, 0.39787176677158903, 0.34892548833574566, 0.1236634339605059, 0.24963271617889404, 0.14876648357936315, 0.16439318656921387, 0.16936428206307547, 0.2423410415649414, 0.08658500228609357, 0.16605838707515172, 0.16233573641095841, 0.15159908362797328, 0.2596508094242641, 0.18257519177028111, 0.1660609245300293, 0.19092553002493723, 0.06400565164429801, 0.1553239141191755, 0.10706193106515068, 0.09379615953990392, 0.262174163545881, 0.08420647893633161, 0.03403711531843458, 0.09076215539659772, 0.09182453155517578, 0.05623758690697806]"
fusionrag_qk,0.8,3,1,Who is the spouse of the child of Peter Andreas Heiberg?,Who is the spouse of Johan Ludvig Heiberg?,2145,792,1353,22,1082,0.7997043606799704,0.030246121808886528,0.030246121808886528,0.1465701460838318,0.06105989823117852,0.05250008590519428,0.2644716782118704,0.32045914290787336,0.3046831934261853,0.22426016299755538,0.21980117747978287,0.1773247378213065,0.2328139604354391,0.20678839452412662,26176, Joh,"[0.6123397133567117, 0.5934127213118913, 0.4818202427455357, 0.49738291950968955, 0.12988070698527546, 0.22006230540089794, 0.24152926655558796, 0.2173849328771814, 0.2058592214212789, 0.21675944637942623, 0.1453236047323648, 0.19186813800365893, 0.24737722223455255, 0.2645642664525416, 0.2543925248183213, 0.17745289245209137, 0.2107377733503069, 0.2419026362431514, 0.12447586307277927, 0.2620889242593344, 0.23185841448895342, 0.2186034561751725, 0.3204370969301694, 0.2102160763430905, 0.14477630714317422, 0.19234054119555982, 0.229900632585798, 0.32045914290787336]","[0.4839134216308594, 0.38786680357796804, 0.3977539198739188, 0.2600310870579311, 0.11266975743430001, 0.24963433401925222, 0.13430484703608922, 0.1553939070020403, 0.17357259137289865, 0.22334672723497664, 0.1018624986921038, 0.19180030482155935, 0.21961639608655656, 0.1676288502556937, 0.24240851402282715, 0.20729054723467147, 0.13575937918254308, 0.23598980903625488, 0.1068800858088902, 0.26404905319213867, 0.22054392950875418, 0.2177239486149379, 0.38089959962027414, 0.21638410431998117, 0.09859727110181536, 0.15153191770826066, 0.23965462616511754, 0.1773247378213065]"
fusionrag_qk,0.8,4,0,"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?","Who were the siblings of Alice de Lusignan, Countess of Surrey?",1970,792,1178,27,942,0.799660441426146,0.02761538978666067,0.02761538978666067,0.12420872878283262,0.058932343032211065,0.04918857989832759,0.21561777060084153,0.17567082561513103,0.27638406674247384,0.15485147445920913,0.21817768228297335,0.2363119125366211,0.25461737902797,0.18173798553797663,3757, John,"[0.590685486162781, 0.5650098689649471, 0.43880503013651206, 0.4687463265878183, 0.1147404221630601, 0.1956194519365906, 0.21414747692289807, 0.18643882791832012, 0.1752027884992973, 0.1799760445085152, 0.12174683020859169, 0.18496542632895172, 0.22587593522652116, 0.2074170188298301, 0.25766782407407407, 0.15986560639880953, 0.2032762154069527, 0.20998713579127398, 0.07448100539111586, 0.14672620460469887, 0.13704495707516948, 0.13179417766591228, 0.16576754857623388, 0.12993509807283915, 0.08351204887269036, 0.1430565667530847, 0.14913542813094205, 0.17567082561513103]","[0.45867061614990234, 0.369077205657959, 0.35992874417986187, 0.33619519642421175, 0.10941918407167707, 0.2882894107273647, 0.1711387804576329, 0.21089860371180943, 0.17092316491263254, 0.289419208254133, 0.13107616560799734, 0.22215705258505686, 0.2588832378387451, 0.18856673581259592, 0.33993795939854216, 0.23783319337027414, 0.2120410374232701, 0.2867062773023333, 0.08116797038487025, 0.12185580389840263, 0.11431761298860822, 0.06253302097320557, 0.1511162349155971, 0.2444462435586112, 0.07823795931679862, 0.12121997560773577, 0.2566065958568028, 0.2363119125366211]"
fusionrag_qk,0.8,4,1,"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?",When was King Henry III of England crowned?,2867,792,2075,19,1660,0.8,0.027899303007870913,0.027899303007870913,0.2093427120707929,0.05926875676959753,0.05336521798744798,0.2673129664071777,0.29362585311545464,0.3080844489895568,0.22654148382479852,0.286377355152247,0.2585956539426531,0.2776224515875992,0.2951322587168947,16,1,"[0.6837581548475682, 0.6435192939930392, 0.5199986508018092, 0.5271619065363604, 0.14898734702203506, 0.24267996881241188, 0.25097621831678807, 0.1964846446101827, 0.18984015902182214, 0.1939112727803395, 0.14716598682833792, 0.1665507581897248, 0.22757438430212495, 0.1745735397912506, 0.24252302126776903, 0.17211660227381198, 0.23875603639989867, 0.23257216833587877, 0.09429477749014259, 0.23405175460012337, 0.19797062694578244, 0.21050675471026198, 0.33704889627327594, 0.25117231670178863, 0.18211992880455533, 0.237250908873135, 0.24757112775530135, 0.29362585311545464]","[0.5756780079432896, 0.46733832359313965, 0.4054851531982422, 0.3809666633605957, 0.14629287379128592, 0.2564966678619385, 0.2160468442099435, 0.1672030517033168, 0.16808336121695383, 0.2768925598689488, 0.1674860886165074, 0.20404641968863352, 0.2679448808942522, 0.18675342627934047, 0.30279786246163504, 0.2820973055703299, 0.3370740073067801, 0.29478488649640766, 0.19867634773254395, 0.3485260690961565, 0.34089670862470356, 0.25437876156398226, 0.5519946643284389, 0.28264449323926655, 0.18195818151746476, 0.29355335235595703, 0.20387332780020578, 0.2585956539426531]"
fusionrag_qk,0.8,6,0,Which university employed the person that Mach bands are named after?,Which university employed Ernst Mach?,2282,792,1490,16,1192,0.8,0.029704042710363865,0.029704042710363865,0.1549259372986853,0.061945630237460136,0.05182752897962928,0.2532158852839957,0.2838179383959089,0.296855526311057,0.20957624425693439,0.28683286357899096,0.4559548922947475,0.27725681236812044,0.2964089147898616,14927, Charles,"[0.6410557883126395, 0.6288219179425921, 0.4941364697047642, 0.5220344407217843, 0.13438146454947336, 0.22361714499337332, 0.24346964699881418, 0.20010147775922502, 0.18986426080976213, 0.17754970278058732, 0.13808229991367885, 0.17030038152422225, 0.2027242864881243, 0.18983808585575648, 0.21519579206194198, 0.153721741267613, 0.2003420421055385, 0.1839782851082938, 0.10801989691598075, 0.23470468180520193, 0.21583761487688338, 0.20947762898036412, 0.28968879154750277, 0.21659316335405623, 0.15258680071149552, 0.19922746930803573, 0.27087557315826416, 0.2838179383959089]","[0.5305095400129046, 0.4344419411250523, 0.39119318553379606, 0.3430235726492746, 0.1403781771659851, 0.29299610001700266, 0.1837151050567627, 0.20418412344796316, 0.19570067950657435, 0.32787581852504183, 0.13141852617263794, 0.2379129614148821, 0.2770626204354422, 0.19118302209036692, 0.4148425374712263, 0.2527456283569336, 0.2730159078325544, 0.2774589572634016, 0.17862817219325475, 0.25480750628880094, 0.21443819999694824, 0.26419637884412495, 0.43696621486118864, 0.3665715285709926, 0.17297182764325822, 0.23091062477656774, 0.3562164306640625, 0.4559548922947475]"
fusionrag_qk,0.8,7,0,Who is the employer of the physicist who Mach number is named after?,Who is the physicist that the Mach number is named after?,2379,792,1587,22,1269,0.7996219281663516,0.02702056709676981,0.02702056709676981,0.15635967906564474,0.05878114514052868,0.04873151471838355,0.22064152763593173,0.2271809516014991,0.2793225251234971,0.1619605301483664,0.18322768640153259,0.1637758527483259,0.24472426607900735,0.12173110672405787,73110, Ernst,"[0.6244574212408686, 0.6056648353477577, 0.4862243850509842, 0.46681168791535615, 0.13658680853905616, 0.21399396425717837, 0.23428597388329445, 0.17281543434440316, 0.16541793129660867, 0.17799674690543832, 0.11385325642375203, 0.1592234822062703, 0.1812368615881189, 0.17194656272987266, 0.19256926202154778, 0.13910715920584543, 0.1763310618214793, 0.16093584779021028, 0.07859054169097504, 0.1580291847129921, 0.12315696864933162, 0.1326924856607016, 0.2104139451856737, 0.1933181316821606, 0.09308361697506595, 0.1809782548384233, 0.2010600102412236, 0.2271809516014991]","[0.4984656742640904, 0.4203676496233259, 0.3865870067051479, 0.3347104276929583, 0.1230313948222569, 0.2630045073372977, 0.13730556624276297, 0.17063765866415842, 0.21837122099740164, 0.24640631675720215, 0.06405505537986755, 0.20578815255846297, 0.21824535301753453, 0.13916374104363577, 0.2604701348713466, 0.21660477774483816, 0.1153046829359872, 0.15008492129189627, 0.0815415893282209, 0.1219630411693028, 0.06612887127058846, 0.06199753710201809, 0.11893035684313093, 0.07660669939858573, 0.04554356847490583, 0.13066221135003225, 0.09462124960763114, 0.1637758527483259]"
fusionrag_qk,0.8,7,1,Who is the employer of the physicist who Mach number is named after?,Who was Ernst Mach's employer or academic institution during his career?,2258,792,1466,23,1172,0.7994542974079127,0.02758297324180603,0.02758297324180603,0.15269970195367932,0.058136323001235723,0.048234594985842705,0.24144785660182683,0.262223664277829,0.28199028989966185,0.20090542330399166,0.26183568701452137,0.4323372500283377,0.26530078722506156,0.2583705868039813,14927, Charles,"[0.6229690646532899, 0.6031389888028921, 0.4688421687724427, 0.4835083766013199, 0.13273350496469818, 0.21496245579689927, 0.21361461189222633, 0.18046094764093434, 0.17524814013368595, 0.15125686929833074, 0.12675264014960816, 0.16577416177121748, 0.19929584953355492, 0.20930627858416634, 0.24284509694354134, 0.13649082776182186, 0.21065774763593023, 0.1668771897783931, 0.0834030364611134, 0.20702224636670225, 0.17051490641528774, 0.1951347137830272, 0.28932061995038333, 0.21234633167337927, 0.12720901773583074, 0.21973014025954726, 0.28890038721309685, 0.262223664277829]","[0.502256086894444, 0.40842437744140625, 0.377352169581822, 0.32201903206961496, 0.13821688720158168, 0.2729176623480661, 0.16758269923073904, 0.19428168024335588, 0.17662957736424037, 0.3245010035378592, 0.1275630337851388, 0.22723174095153809, 0.268011246408735, 0.20722382409232004, 0.3496736117771694, 0.20320640291486466, 0.2138432434626988, 0.26151643480573383, 0.1427208525793893, 0.20631795270102365, 0.24066693442208426, 0.26768200738089426, 0.41449454852512907, 0.30514369692121235, 0.1939845425742013, 0.17254117556980678, 0.21305956159319198, 0.4323372500283377]"
