Question,Real Answer,Pred Answer
Who plays the wife of the producer of Here Comes the Boom in Grown Ups?,Maria Bello,Maggie Gyllenhaal
What was the person who provided evidence to suggest the existence of the neutron a participant of?,Manhattan Project,Manhattan Project
In which borough was Callum McManaman born?,Knowsley,Merseyside
Who is the child of the Italian navigator who sailed for England and explored the eastern coast of the continent Francisco Bojado's birthplace is located?,Sebastian Cabot,Sebastian Cabot
Who is the spouse of the actor who played hannibal smith in the a team?,Sherry Boucher,Joy Harmon
When was the last time Peter Till's sports team beat the winner of the 1894-95 FA Cup?,1 December 2010,2005–06 season
Who is the child of the cast member of Green Ice?,Tatum O'Neal,Answer: Stuart Epps
How many times did plague occur in the birthplace of La Silvia's composer?,22,3
When did military instruction start at the place where Larry Alcala was educated?,1912,1912
What is the experimental satellite being forerunner to communication satellite of INSAT-4CR's manufacturer called?,ATS - 6 (Applications Technology Satellite - 6),ATS-6
Who was the first African American student at the university Robert Khayat was educated at?,James Howard Meredith,Emma Azalia Hackley
Who gives out the prize named after the author of Lectures on Jurisprudence?,University of Cambridge,The Royal Society of Chemistry gives out the prize named after the author of Lectures on Jurisprudence.
Who is Frances Freeling Broderip's sibling?,Tom Hood,Tom Hood
Who is the spouse of the person who voices Jarvis in Iron Man?,Jennifer Connelly,LaTanya Richardson Jackson
What is the source of the river that is the mouth of the Caledon River?,Thaba Putsoa,"The source of the river that is the mouth of the Caledon River is the confluence of the Kilombero and Luwegu rivers, which form the Rufiji River."
What is the name of the famous bridge located in the birthplace of the composer of Nulla in mundo pax sincera?,Rialto Bridge,Royal Albert Bridge
When did the party that gained control of Congress in the midterm elections in 1946 take control of the government branch that determines the rules of the US House?,January 2015,1946
Where did the producer of Julius Caesar study or work?,Clifton College,"John Houseman, the producer of Julius Caesar, studied at Clifton College in England and worked in the grain trade in London before emigrating to the United States in 1925."
Mehmet Hayri Tarhan's birthplace is the capital of what municipality?,Malko Tarnovo Municipality,Şanlıurfa
What is the performer of Heartbeat named after?,Natalie Albino,Nina Sky
The author of Elizabeth and After attended which university?,University of Toronto,University of Toronto
What year did the publisher of Labyrinth end?,1986,1999
The food safety system of the agency that has the authority to decide if a drug is marketed otc or prescription is known as?,Food Safety Modernization Act (FSMA),FDA
Who is the president of the newly declared independent country that has a Commission of Truth and Friendship with the country where Ambelau is located?,Francisco Guterres,José Ramos-Horta
Who was the British general in the battle named after the birth city of the person who recorded Mother-in-Law?,General Edward Pakenham,Edward Pakenham
Where is Sean Hampton's birth place in the state of Florida?,in Northern Florida,"Ocala, Florida"
Who is the president of the group Kim Un-yong is a member of?,Thomas Bach,International Olympic Committee
"During the war in which The Things They Carried is set, when was conscription introduced by the country where the film Grievous Bodily Harm was later released?",1964,1964
Who is the president of the new country who has jointly established a Commission on Truth and Friendship with the birth country of Satyo Husodo?,Francisco Guterres,Xanana Gusmão
Who is the spouse of the current queen of England?,Philip Mountbatten,King Charles III
In which year did Taifa of Francisco Giner de los Rios' birthplace cease to exist?,1065,1915
What did M. King Hubbert's employer announce it was in the process of doing in April 2010?,trying to find a potential buyer for all of its operations in Finland,selling all of its operations in Finland and conducting market research for Swedish operations
Who did the person considered the founder of three major monotheistic religions marry after the death of Sarah?,Keturah,Keturah
In what region of the country of S-Fone is The place of birth of John Phan located?,South Central Coast,South Central Coast
"Along with the Closer performer, what notable pop artist started out his career on adult contemporary radio?",Michael Bublé,Josh Groban
The Live Life Loud album's band signed to which label?,Fair Trade Services,Sony Music Entertainment
Who is the child of Sigrid Eskilsdotter's child?,Svante Stensson Sture,Christina Gyllenstierna
What is the record label of the Metalworks Studio founder?,TML Entertainment,Metalworks Institute
Who is the president of the new country that jointly established a Commission of Truth and Friendship with the country that broadcasts Dahsyat?,Francisco Guterres,Susilo Bambang Yudhoyono
How many times did the plague occur in the city where Flora's painter died?,22,3
What is the seat of the county sharing a border with the county in which Valley New School is located?,Green Bay,Appleton
What is the highest city in the state where Dell ranks sixth by revenue?,Fort Davis,Fort Davis
Who played the girlfriend of who plays marty mcfly's daughter in back to the future 2?,Claudia Wells,Lea Thompson played the girlfriend of Marty McFly's daughter in Back to the Future 2.
"What specific part of the book where the quote ""by the skin of your teeth"" comes from document reference for Mary?",Genesis 3:15,Job 19:20
What is the seat of the county sharing a border with the county in which J. P. Hayes was born?,Green Bay,Appleton
How many times did plague occur in the place where Venus with a Mirror's creator died?,22,3
What is the source of the river Orlam clans crossed to migrate to Namibia?,Thaba Putsoa,Cape Colony
"Why was Common Sense, by the same author as Rights of Man, an important work?",crystallized the rebellious demand for independence from Great Britain,"Common Sense was an important work because it crystallized sentiment for independence in 1776, was the most widely read pamphlet of the American Revolution, and demonstrated to many the inevitability of separation from Britain."
In which county was Larkin I. Smith born?,Pearl River County,Pearl River County
What movie did the person who acted in the comedy film Crime School win his only Oscar for?,The African Queen,The African Queen
