example_id,chunk_id,method,rate,boundary_rate,chunk_len,selected_count,doc_len,total_target_count,base_budget,boundary_budget,boundary_selected_count_global
0,0,draft_smart_freq_boundary0p02_global,0.15,0.02,50,25,1171,175,152,23,23
0,1,draft_smart_freq_boundary0p02_global,0.15,0.02,92,8,1171,175,152,23,23
0,2,draft_smart_freq_boundary0p02_global,0.15,0.02,76,14,1171,175,152,23,23
0,3,draft_smart_freq_boundary0p02_global,0.15,0.02,98,10,1171,175,152,23,23
0,4,draft_smart_freq_boundary0p02_global,0.15,0.02,52,9,1171,175,152,23,23
0,5,draft_smart_freq_boundary0p02_global,0.15,0.02,214,9,1171,175,152,23,23
0,6,draft_smart_freq_boundary0p02_global,0.15,0.02,121,12,1171,175,152,23,23
0,7,draft_smart_freq_boundary0p02_global,0.15,0.02,301,10,1171,175,152,23,23
0,8,draft_smart_freq_boundary0p02_global,0.15,0.02,84,20,1171,175,152,23,23
0,9,draft_smart_freq_boundary0p02_global,0.15,0.02,83,58,1171,175,152,23,23
0,0,draft_smart_mean_boundary0p02_global,0.15,0.02,50,26,1171,175,152,23,23
0,1,draft_smart_mean_boundary0p02_global,0.15,0.02,92,12,1171,175,152,23,23
0,2,draft_smart_mean_boundary0p02_global,0.15,0.02,76,12,1171,175,152,23,23
0,3,draft_smart_mean_boundary0p02_global,0.15,0.02,98,7,1171,175,152,23,23
0,4,draft_smart_mean_boundary0p02_global,0.15,0.02,52,9,1171,175,152,23,23
0,5,draft_smart_mean_boundary0p02_global,0.15,0.02,214,11,1171,175,152,23,23
0,6,draft_smart_mean_boundary0p02_global,0.15,0.02,121,13,1171,175,152,23,23
0,7,draft_smart_mean_boundary0p02_global,0.15,0.02,301,15,1171,175,152,23,23
0,8,draft_smart_mean_boundary0p02_global,0.15,0.02,84,20,1171,175,152,23,23
0,9,draft_smart_mean_boundary0p02_global,0.15,0.02,83,50,1171,175,152,23,23
0,0,draft_smart_freq_boundary0p03_global,0.15,0.03,50,26,1171,175,140,35,35
0,1,draft_smart_freq_boundary0p03_global,0.15,0.03,92,10,1171,175,140,35,35
0,2,draft_smart_freq_boundary0p03_global,0.15,0.03,76,13,1171,175,140,35,35
0,3,draft_smart_freq_boundary0p03_global,0.15,0.03,98,11,1171,175,140,35,35
0,4,draft_smart_freq_boundary0p03_global,0.15,0.03,52,9,1171,175,140,35,35
0,5,draft_smart_freq_boundary0p03_global,0.15,0.03,214,10,1171,175,140,35,35
0,6,draft_smart_freq_boundary0p03_global,0.15,0.03,121,10,1171,175,140,35,35
0,7,draft_smart_freq_boundary0p03_global,0.15,0.03,301,11,1171,175,140,35,35
0,8,draft_smart_freq_boundary0p03_global,0.15,0.03,84,20,1171,175,140,35,35
0,9,draft_smart_freq_boundary0p03_global,0.15,0.03,83,55,1171,175,140,35,35
