Question,Real Answer,Pred Answer
Who is the spouse of the director of film Streets Of Blood?,Sandra Nelson,Heather D. Gibson
When is Henrietta Maria Of Brandenburg-Schwedt's father's birthday?,"May 19, 1669",16 August 1669
"Where was the place of death of Sancha Of Castile, Queen Of Navarre's mother?",Palencia,"Answer: Eleanor of Castile, mother of Sancha of Castile, died in 1179. The passage does not specify the exact place of her death."
"Which film was released more recently, Dance With A Stranger or Miley Naa Miley Hum?",Miley Naa Miley Hum,Miley Naa Miley Hum
"Which film has the director who is older, Space Probe Taurus or Tom Mix In Arabia?",Tom Mix In Arabia,Tom Mix in Arabia
"Which film has the director died later, Seven In The Sun or Daughter Of The Jungle?",Seven In The Sun,Seven in the Sun
"Which film was released first, Vacations In Majorca or Dr. Socrates?",Dr. Socrates,Dr. Socrates
"Which film has the director born later, Woman In The Moon or Changeland?",Changeland,Changeland
"Who is younger, Peter Rosegger or Ruel Redinger?",Ruel Redinger,Ruel Redinger
Who is Pyotr Karatygin's sibling-in-law?,Alexandra Kolosova,Vasily Karatygin
Who is the spouse of the performer of song This Time (Waylon Jennings Song)?,Jessi Colter,Jessi Colter
Are Twin Cairns Island and Nova Zembla Island located in the same country?,yes,yes
"Who died first, Erich Haenisch or William Pooley?",William Pooley,William Pooley
What nationality is the performer of song You Can?,Sweden,German
Do Nick Varner and Carl Duser share the same nationality?,yes,yes
"Which film has the director who died earlier, Melody Of The World or Ladies Love Danger?",Melody Of The World,Ladies Love Danger
Where was the place of death of the composer of film Miracle Of Marcelino?,Madrid,Madrid
Who is the mother of the director of film Atomised (Film)?,Gisela Elsner,The mother of the director of the film *Atomised* (film) is Susan Louise Barr.
"Which film has the director who died later, The Great Man'S Lady or La Belle Américaine?",La Belle Américaine,The Great Man's Lady
What is the place of birth of the director of film Sweepstakes (Film)?,"Oklahoma City, Oklahoma","The passage provided does not mention the place of birth of the director of the film ""Sweepstakes."" Therefore, based on the given text, the answer cannot be determined."
Where was the place of death of Shahnawaz Bhutto's mother?,Dubai,Garhi Khuda Baksh in Sindh
Where was the performer of song Égérie (Song) born?,La Trinité,France
Who is the father-in-law of Duke William Of Mecklenburg-Schwerin?,Prince Albert of Prussia,Prince Albert of Prussia
Are Gut (Crișul Alb) and Gepiș both located in the same country?,yes,yes
Where was the place of death of Anne Devereux's husband?,Banbury,Beaulieu-sur-Loire
"Who is Sir William Gore, 3Rd Baronet's paternal grandfather?","Sir Paul Gore, 1st Baronet","Sir Paul Gore, 1st Baronet of Magharabeg"
Which country Nizar Al-Mustafa's father is from?,Fatimid caliphate,Egypt
Where was the wife of Lou Breslow born?,"Dayton, Ohio",Leeds
Who is the spouse of the director of film Ann Carver'S Profession?,Ona Munson,The spouse of the director of the film *Ann Carver's Profession* is not mentioned in the provided passage. The passage provides information about the film and its cast but does not mention the director's spouse.
"Which film came out earlier, The Drover'S Sweetheart or Pigsty (Film)?",The Drover'S Sweetheart,The Drover's Sweetheart
What is the place of birth of the director of film Bhagirathi (Film)?,Tumkur,"Marshall, Indiana"
"Which film came out earlier, Closely Watched Trains or Det Sande Ansigt?",Det Sande Ansigt,Closely Watched Trains
"Which film has the director who died earlier, Il Gaucho or Bomgay?",Bomgay,Bomgay
Where was the place of death of Maria (Wife Of Boris I Of Bulgaria)'s husband?,Preslav,Pliska
"Which film came out first, The Pyrammmid or Revolt Of The Praetorians?",Revolt Of The Praetorians,Revolt Of The Praetorians
Are both directors of films La Morte Vivante and Stranger On Horseback from the same country?,yes,no
What is the cause of death of Constantia Eriksdotter's father?,poisoning,Eric XIV was most likely murdered and died of arsenic poisoning.
What nationality is the director of film Postmortem (1998 Film)?,America,"The question is asking about the nationality of the director of the film ""Postmortem (1998 Film)."" From the information provided in Passage 4, the director of ""Postmortem"" is Albert Pyun"
Which country Keōpūolani's husband is from?,Kingdom of Hawaii,Kamehameha I is from the Hawaiian Islands.
"Which film came out earlier, X-Paroni or Mi Novia Está De Madre?",X-Paroni,X-Paroni
"Which film was released earlier, August Underground'S Penance or Vasantha Raagam?",Vasantha Raagam,Vasantha Raagam
Who is the father-in-law of Hong Ra-Hee?,Lee Byung-chul,The answer is not provided in the given passage.
Who is Isabella Of Bourbon's paternal grandfather?,"John I, Duke of Bourbon","Answer: Peter I, Duke of Bourbon"
What is the date of death of Duleep Singh's father?,27 June 1839,18 September 1887
What is the place of birth of the director of film Gunsmoke (Film)?,Gura Humorului,"The director of the film *Gunsmoke* (1953) is Nathan Juran. According to Passage 6, Nathan Juran was born in Gura Humorului, Austro-Hungarian Empire"
"Who is the spouse of the performer of song Et Moi, Et Moi, Et Moi?",Françoise Hardy,Answer: Françoise Hardy
"Who lived longer, Charles Wheatstone or Jean-Claude Lauzon?",Charles Wheatstone,Charles Wheatstone
Where was the place of death of Thomas E. Noell's father?,Washington,"St. Mary's Cemetery, Perryville, Missouri"
"Which film has the director died first, Our Agent Tiger or London Melody?",London Melody,Le masque de la Méduse
Who is the paternal grandfather of Diego Fernández De Oviedo?,Flaín Muñoz,Fernando Fernández de Córdoba
Who is the child of the director of film The Trouble With Cali?,Mira Sorvino,Mira Sorvino
Are Ding Yaping and Johann Christian Gustav Lucae of the same nationality?,yes,no
"Which country Dorothea Of Denmark, Duchess Of Mecklenburg's father is from?",Norway,Denmark
What is the cause of death of Heonjong Of Goryeo's father?,illness,"The cause of death of Heonjong of Goryeo's father, King Seonjong, is not explicitly mentioned in the provided passage."
Where did Mary Of Woodstock's mother die?,Harby,Amesbury Priory
Which award the director of film Tiramisu (2002 Film) earned?,Hong Kong Film Award for Best Director,Answer: The director of the film Tiramisu (2002 film) is Dante Lam. The passage does not mention any specific award earned by Dante Lam for this film.
What is the date of death of the director of film Nallavan Vazhvan?,3 September 1992,unknown
"Who died first, Frederick Cleveland Morgan or Nathaniel Mclenaghan?",Nathaniel Mclenaghan,Nathaniel McLenaghan
Where did the director of film Balls Out (2014 Film) graduate from?,Tisch,Carnegie Mellon University
"Which film whose director is younger, Cuchillos De Fuego or A Woman Has Killed?",Cuchillos De Fuego,A Woman Has Killed
"Which film was released earlier, Moment Of Danger or The Ballad Of Josie?",Moment Of Danger,Moment Of Danger
"Which magazine was established first, Rock Street Journal or De As?",De As,De AS
"Which film has the director who died first, The Piper'S Price or The Blonde From Singapore?",The Piper'S Price,The Piper's Price
Are H. H. Hunnewell and Bob Flanigan (Singer) of the same nationality?,yes,no
"When was Antoine Philippe, Duke Of Montpensier's mother born?",13 March 1753,Answer: 1747
"Which film has the director who died later, True To The Navy or No Trees In The Street?",No Trees In The Street,No Trees In The Street
What is the place of birth of the director of film Ninamaninja Kalpadukal?,Methala,"Marshall, Indiana"
"Which film came out earlier, Alkohol or Night Of Dark Shadows?",Alkohol,Alkohol
"Which film whose director is younger, Many Tanks Mr. Atkins or Do Musafir?",Do Musafir,Many Tanks Mr. Atkins
Are Revolt In The Big House and The Fugitive (1914 Film) from the same country?,no,no
Where was the composer of film Consenting Adults (1992 Film) born?,New York,New York City
"Which film has the director who died earlier, Tiger In The Smoke or Contragolpe?",Contragolpe,Tiger In The Smoke
Where was the place of death of the director of film Jail Yatra?,Mumbai,Mumbai
"Which film came out first, F The Prom or The Comedians Of Comedy?",The Comedians Of Comedy,The Comedians of Comedy
"Which film has the director who was born first, Tombstone Rashomon or Waiting For The Clouds?",Tombstone Rashomon,Tombstone Rashomon
