Question,Real Answer,Pred Answer
Princess Charlene became the wife of which European prince in 2011?,"Albert II, Prince of Monaco","Albert II, Prince of Monaco"
The peptide hormone renin is secreted by which organ of the body?,Human kidney,kidney
Who was the Roman god of trickery and thieves?,Mercury,Mercury
Which unsuccessful model of car was named after Henry Ford’s son?,Edsel,Edsel
What was the Roman name for the city of Paris?,Lutetia,Lutetia
What is fictional Inspector Maigret’s first name?,Jules,Jules
"In cooking, what is calamares?",Squid,"calamares is a culinary specialty in Spain, specifically a type of sandwich known as bocadillo de calamares, consisting of battered and fried squid, often served with a spicy tomato sauce and mayonnaise with"
Who wrote the 1939 story ‘The Secret Life of Walter Mitty’?,James Thurber,James Thurber
Who wrote the 1970 book ‘Future Shock’?,Heidi Toffler,Alvin Toffler
Bezique is a card game for how many players?,2,two
Cosmo Smallpiece was a character played by which English comedian?,Les Dawson,Les Dawson
The volcanic rock Kimberlite is best known for sometimes containing which gemstone?,Diamond,Diamond
What is the name of the only British M.P. to be a member of the Green Party?,Caroline Lucas,Caroline Lucas
On whic racecourse does the Irish Derby take place each year?,Curragh,Curragh
Which antipodean bird is the largest member of the kingfisher family?,Dacelo novaeguinea,giant kingfisher
What is the name of the lustrous substance that forms pearl and mother-of-pearl?,Mother of pearl,nacre
How many ventricles are there in the human heart?,2,two
What are the chemicals produced by the endocrine glands to control body functions?,Hormone,hormones
"The Ambassador Bridge, which connects the US with Canada, spans which river?",Detroit River,Detroit River
How many holes are on a classic cribbage board?,121,30
James Brindley is chiefly remembered for building what?,Canal,canals
The Third Foot and Mouth Regiment featured in which Carry On film?,3rd Foot and Mouth Regiment,The Third Foot and Mouth Regiment featured in the Carry On film *Carry On Regardless*.
"In the Six Nations Rugby Championship, the Millennium Trophy is awarded to the winner of the game between which two countries?",England and Ireland,England and Ireland
"Originating in the US, what is the filling in a MoonPie?",Marshmallow,marshmallow
"What is the surname of Dick and Jane in the 2005 film ‘Fun With Dick and Jane’, starring Jim Carrey and Tea Leoni?",Harper,Harper
Who is the narrator of Three Men in a Boat?,J,"an unnamed, 29-year-old drug dealer"
Who was the hostess of The Golden Shot between 1969 and 1975?,Anne Aston,Anne Aston
Which actor appeared as Fancy Smith in Z-cars?,Brian Blessed,Brian Blessed
British actress Alison Steadman married which film director/writer in 1973?,Mike Leigh,Mike Leigh
What is the dish of stuffed vine leaves called?,Dolmas,sarma
"On TV, who played the long suffering wife of Alf Garnett in ‘Till Death Us Do Part’?",Dandy Nichols,Dandy Nichols
Which hand puppet would you associate with Shari Lewis?,Lamb Chop,Lamb Chop
"Musician Richey Edwards, who went missing in February 1995, was the rhythm guitarist in which band?",Manic Street Preachers,Manic Street Preachers
Who was the pilot hero of Captain W.E. Johns stories?,Biggles,Biggles
Who was the first Mayor of Casterbridge in the Thomas Hardy novel?,Mayor of Casterbridge,Answer: Michael Henchard
"In the Bible, what was the name of Jacob’s only daughter?",Hamor,Dinah
Who recorded the albums Blue and Court And Spark?,Joni Mitchell,Joni Mitchell
Who was the German soldier in Rowan and Martin's Laugh In?,Very interesting ...,"Germán soldier in Rowan and Martin's Laugh-In was ""Wolfgang,"" a character played by Johnson."
Michael Jackson's Will You Be There came from which movie?,Free Willy,Free Willy
Pink Fairy and Nine Banded are species of which animal?,Dasypodidae,armadillo
What were the first names of English novelist R.D.Blackmore?,Richard Doddridge,Richard Doddridge
"What was the name of the Archbishop of Canterbury’s envoy, who was taken hostage in Lebanon in 1987?",Terry Waite,Terry Waite
The pudu is the world’s smallest species of which animal?,Fawn,deer
Who became the youngest World Heavyweight Boxing Champion in 1956?,Floyd Patterson,Floyd Patterson
"Born in Gibraltar, which designer was named British Designer of the Year in 1987, 1994 and 1995?",John Galliano,Rifat Ozbek
In which country was designer Oscar de la Renta born?,Dominican Rep,Dominican Republic
"Anthea Turner presented Blue Peter in 1992. She is currently married to Grant Bovey, but she was first married to a Radio 1 DJ from 1990-98. Who was he?",Peter Powell,Peter Powell
How many reeds does an oboe have?,2,one
‘Hen Wlad FY Nhadau’ is the national anthem of which European country?,Welsh nation,Wales
"In the US television show ‘The Sopranos’, what did Janice Soprano change her name to after joining an ashram in Los Angeles?",Parvati Wasatch,Parvati Wasatch
Fotheringhay Castle is in which English county?,Northamptonshire,Northamptonshire
"The Bay of Fundy, which has the highest tides in the world, is mainly in which country?",Canada,Canada
Which American footballer player was nicknamed ‘The Refrigerator’?,William Perry,Lloyd Groff Copeman
Which US soap actress's real name is Patsy Mclenny?,Morgan Fairchild,Morgan Fairchild
The Flying Nun was based on which book?,Fifteenth Pelican,The Fifteenth Pelican
Who wrote the poem The Owl and the Pussycat?,Edward Lear,Edward Lear
What is the name of the helicopter used to transport the President of the USA?,Marine Two,Marine One
How many hurdles are in a 100 metre women’s hurdle race?,10,10
Whipsnade Zoo is in which English county?,"Bedfordshire, England",Bedfordshire
"What was the surname of British horticulturalist and garden designer Gertrude, who died in 1932?",Jekyll,Jekyll
Pico da Neblina is the highest mountain in which South American country?,Brazil,Brazil
"Reggie, Jughead, Betty and Veronica were members of which fictional band?",The Archies,The Archies
Which 1969 novel by Alistair MacLean centres on a veteran Interpol natcotics expert named Paul Sherman and a violent struggle on the streets of Amsterdam ?,Puppet on a Chain,Puppet on a Chain
How many Cardinal Virtues are there?,Four,four
The Pedro Miguel lock is on which canal?,The Panama Canal,Panama Canal
From which country does the Lambada dance originate?,Brazil,Brazil
What was the first name of 18th Century English cabinet maker and furniture designer Chippendale?,Thomas,Thomas
