Question,Real Answer,Pred Answer
How many points of the compass are there?,32,32
At the mouth of which English river is Spurn Head?,Humber Estuary,Humber
For achievement in what field is the Fields Medal awarded?,Mathematic,mathematics
Which Cumbrian town’s boundaries incorporate the 11-mile-long Walney Island?,History of Barrow-in-Furness,Barrow-in-Furness
Who was Prime Minister during the Queen's Silver Jubilee celebrations?,Callaghan,Edward Heath
"Who discovered electromagnetic induction, so facilitating the transformer and dynamo?",Michael Faraday,Michael Faraday
Who starred alongside Polly James in the first series of The Liver Birds?,Pauline Collins,Pauline Collins
"Winner in a poll of Classic FM's most popular piece of music in 2016, which composer also wrote A London Symphony",Ralph Vaughan Williams,Ralph Vaughan Williams
Who resides in Mansion House?,Lord Mayor of London,The Lord Mayor of London
Who was the father of Ophelia?,Polonius,Polonius
In which film does Iris Henderson search for Miss Froy on a train in fictional Bandrika?,Lady Vanishes,The Lady Vanishes (1938)
What do the French ‘Appellation d’Origine Controlee’ laws regulate?,Wines,"The French ‘Appellation d’Origine Controlee’ (AOC) laws regulate the production of wine by defining and protecting geographical indications, controlling the origin and quality of wines, and setting rules on factors such as"
Who was Israeli Prime Minister from 1969 to 1974?,Golda Meir,Golda Meir
"Which was King Arthur’s last battle, where he either died or was fatally wounded?",Camlan,Battle of Camlann
"Also known as Annonaria; in Roman mythology, who was the personification of luck?",Fortuna,Fortuna
Who was the famous mother of politician Shirley Williams?,Vera Brittain,Vera Brittain
"Cheeser, Six-er and Laggies are all terms used in which children’s game?",Conkers,conkers
Triskaidekaphobia is the irrational fear of which number?,13,13
In “Open All hours” which actress delivered the milk?,Barbara Flynn,Barbara Flynn
"In Christianity, ‘Holy Wednesday’ is also known as ‘what’ Wednesday?",Holy Wednesday,Spy
What is the boiling point of water on the Farenheit scale?,212 degrees,212°F
What is the boiling point of water in degrees Fahrenheit?,212,212°F
If a month has a Friday the thirteenth then on what day of the week would that month begin?,Sunday,Sunday
Who was the Egyptian president who was assassinated in 1981?,Sadat,Anwar Sadat
"Who wrote the novel Cry, the Beloved Country about South Africa?",Alan Paton,Alan Paton
