base_method,example_id,sub_q_idx,num_chunks,budget_chunks,gate_method,residual_size,covered_residual,coverage
freq,75,0,12,1,retrieval_first,136,15,0.11029411764705882
freq,75,0,12,1,longest,136,0,0.0
freq,75,0,12,1,highest_base_count,136,0,0.0
freq,75,0,12,1,highest_base_density,136,0,0.0
freq,75,0,12,1,lowest_base_density,136,40,0.29411764705882354
freq,75,0,12,1,oracle_residual,136,73,0.5367647058823529
freq,75,0,12,2,retrieval_first,136,22,0.16176470588235295
freq,75,0,12,2,longest,136,0,0.0
freq,75,0,12,2,highest_base_count,136,15,0.11029411764705882
freq,75,0,12,2,highest_base_density,136,15,0.11029411764705882
freq,75,0,12,2,lowest_base_density,136,40,0.29411764705882354
freq,75,0,12,2,oracle_residual,136,113,0.8308823529411765
freq,75,0,12,3,retrieval_first,136,22,0.16176470588235295
freq,75,0,12,3,longest,136,0,0.0
freq,75,0,12,3,highest_base_count,136,88,0.6470588235294118
freq,75,0,12,3,highest_base_density,136,88,0.6470588235294118
freq,75,0,12,3,lowest_base_density,136,47,0.34558823529411764
freq,75,0,12,3,oracle_residual,136,128,0.9411764705882353
freq,75,0,12,4,retrieval_first,136,22,0.16176470588235295
freq,75,0,12,4,longest,136,7,0.051470588235294115
freq,75,0,12,4,highest_base_count,136,88,0.6470588235294118
freq,75,0,12,4,highest_base_density,136,88,0.6470588235294118
freq,75,0,12,4,lowest_base_density,136,47,0.34558823529411764
freq,75,0,12,4,oracle_residual,136,135,0.9926470588235294
freq,75,0,12,5,retrieval_first,136,23,0.16911764705882354
freq,75,0,12,5,longest,136,7,0.051470588235294115
freq,75,0,12,5,highest_base_count,136,88,0.6470588235294118
freq,75,0,12,5,highest_base_density,136,88,0.6470588235294118
freq,75,0,12,5,lowest_base_density,136,47,0.34558823529411764
freq,75,0,12,5,oracle_residual,136,136,1.0
freq,75,0,12,6,retrieval_first,136,23,0.16911764705882354
freq,75,0,12,6,longest,136,7,0.051470588235294115
freq,75,0,12,6,highest_base_count,136,88,0.6470588235294118
freq,75,0,12,6,highest_base_density,136,89,0.6544117647058824
freq,75,0,12,6,lowest_base_density,136,47,0.34558823529411764
freq,75,0,12,6,oracle_residual,136,136,1.0
freq,25,0,11,1,retrieval_first,71,0,0.0
freq,25,0,11,1,longest,71,0,0.0
freq,25,0,11,1,highest_base_count,71,0,0.0
freq,25,0,11,1,highest_base_density,71,10,0.14084507042253522
freq,25,0,11,1,lowest_base_density,71,30,0.4225352112676056
freq,25,0,11,1,oracle_residual,71,30,0.4225352112676056
freq,25,0,11,2,retrieval_first,71,10,0.14084507042253522
freq,25,0,11,2,longest,71,0,0.0
freq,25,0,11,2,highest_base_count,71,0,0.0
freq,25,0,11,2,highest_base_density,71,10,0.14084507042253522
freq,25,0,11,2,lowest_base_density,71,36,0.5070422535211268
freq,25,0,11,2,oracle_residual,71,40,0.5633802816901409
freq,25,0,11,3,retrieval_first,71,10,0.14084507042253522
freq,25,0,11,3,longest,71,6,0.08450704225352113
freq,25,0,11,3,highest_base_count,71,10,0.14084507042253522
freq,25,0,11,3,highest_base_density,71,10,0.14084507042253522
freq,25,0,11,3,lowest_base_density,71,36,0.5070422535211268
freq,25,0,11,3,oracle_residual,71,49,0.6901408450704225
freq,25,0,11,4,retrieval_first,71,19,0.2676056338028169
freq,25,0,11,4,longest,71,15,0.2112676056338028
freq,25,0,11,4,highest_base_count,71,19,0.2676056338028169
freq,25,0,11,4,highest_base_density,71,18,0.2535211267605634
freq,25,0,11,4,lowest_base_density,71,36,0.5070422535211268
freq,25,0,11,4,oracle_residual,71,57,0.8028169014084507
freq,25,0,11,5,retrieval_first,71,27,0.38028169014084506
freq,25,0,11,5,longest,71,23,0.323943661971831
freq,25,0,11,5,highest_base_count,71,27,0.38028169014084506
freq,25,0,11,5,highest_base_density,71,26,0.36619718309859156
freq,25,0,11,5,lowest_base_density,71,45,0.6338028169014085
freq,25,0,11,5,oracle_residual,71,65,0.9154929577464789
freq,25,0,11,6,retrieval_first,71,27,0.38028169014084506
freq,25,0,11,6,longest,71,23,0.323943661971831
freq,25,0,11,6,highest_base_count,71,27,0.38028169014084506
freq,25,0,11,6,highest_base_density,71,26,0.36619718309859156
freq,25,0,11,6,lowest_base_density,71,45,0.6338028169014085
freq,25,0,11,6,oracle_residual,71,71,1.0
freq,176,0,12,1,retrieval_first,87,11,0.12643678160919541
freq,176,0,12,1,longest,87,11,0.12643678160919541
freq,176,0,12,1,highest_base_count,87,0,0.0
freq,176,0,12,1,highest_base_density,87,0,0.0
freq,176,0,12,1,lowest_base_density,87,29,0.3333333333333333
freq,176,0,12,1,oracle_residual,87,29,0.3333333333333333
freq,176,0,12,2,retrieval_first,87,17,0.19540229885057472
freq,176,0,12,2,longest,87,39,0.4482758620689655
freq,176,0,12,2,highest_base_count,87,0,0.0
freq,176,0,12,2,highest_base_density,87,0,0.0
freq,176,0,12,2,lowest_base_density,87,30,0.3448275862068966
freq,176,0,12,2,oracle_residual,87,57,0.6551724137931034
freq,176,0,12,3,retrieval_first,87,18,0.20689655172413793
freq,176,0,12,3,longest,87,40,0.45977011494252873
freq,176,0,12,3,highest_base_count,87,11,0.12643678160919541
freq,176,0,12,3,highest_base_density,87,11,0.12643678160919541
freq,176,0,12,3,lowest_base_density,87,36,0.41379310344827586
