candidate_pool,example_id,sub_q_idx,doc_len,pool_size,pool_doc_frac,teacher_selected_size,old10_size,teacher_overlap_old10,teacher_old10_recall,teacher_old10_precision,residual_size,residual_hit,residual_recall,teacher_hit,teacher_recall,pool_precision_to_residual,pool_precision_to_teacher
old10_base,0,0,1344,148,0.11011904761904762,244,148,148,0.6065573770491803,1.0,96,0,0.0,148,0.6065573770491803,0.0,1.0
docgen10,0,0,1344,128,0.09523809523809523,244,148,148,0.6065573770491803,1.0,96,12,0.125,42,0.1721311475409836,0.09375,0.328125
hybrid70_old_docgen10,0,0,1344,148,0.11011904761904762,244,148,148,0.6065573770491803,1.0,96,4,0.041666666666666664,128,0.5245901639344263,0.02702702702702703,0.8648648648648649
old10_union_docgen10,0,0,1344,246,0.18303571428571427,244,148,148,0.6065573770491803,1.0,96,12,0.125,160,0.6557377049180327,0.04878048780487805,0.6504065040650406
old10_union_hybrid70,0,0,1344,172,0.12797619047619047,244,148,148,0.6065573770491803,1.0,96,4,0.041666666666666664,152,0.6229508196721312,0.023255813953488372,0.8837209302325582
docgen15_frequency,0,0,1344,191,0.14211309523809523,244,148,148,0.6065573770491803,1.0,96,21,0.21875,86,0.3524590163934426,0.1099476439790576,0.450261780104712
docgen15_mean_score,0,0,1344,191,0.14211309523809523,244,148,148,0.6065573770491803,1.0,96,22,0.22916666666666666,81,0.3319672131147541,0.11518324607329843,0.42408376963350786
old10_union_docgen15_frequency,0,0,1344,274,0.20386904761904762,244,148,148,0.6065573770491803,1.0,96,21,0.21875,169,0.6926229508196722,0.07664233576642336,0.6167883211678832
old10_union_docgen15_mean,0,0,1344,280,0.20833333333333334,244,148,148,0.6065573770491803,1.0,96,22,0.22916666666666666,170,0.6967213114754098,0.07857142857142857,0.6071428571428571
old20_base,0,0,1344,290,0.21577380952380953,244,148,148,0.6065573770491803,1.0,96,30,0.3125,178,0.7295081967213115,0.10344827586206896,0.6137931034482759
old10_union_old20,0,0,1344,290,0.21577380952380953,244,148,148,0.6065573770491803,1.0,96,30,0.3125,178,0.7295081967213115,0.10344827586206896,0.6137931034482759
oracle_online_draft_selected,0,0,1344,244,0.18154761904761904,244,148,148,0.6065573770491803,1.0,96,96,1.0,244,1.0,0.39344262295081966,1.0
old10_base,1,0,1324,136,0.1027190332326284,229,136,136,0.5938864628820961,1.0,93,0,0.0,136,0.5938864628820961,0.0,1.0
