candidate_pool,n,n_with_pool,avg_pool_size,avg_pool_doc_frac,avg_teacher_size,avg_residual_size,avg_residual_recall,avg_teacher_recall,avg_pool_precision_to_residual,avg_pool_precision_to_teacher
old10_base,250,250,148.036,0.10177844494953792,249.52,101.484,0.0,0.5731462055820422,0.0,1.0
docgen10,250,250,137.668,0.09417816192963195,249.52,101.484,0.12171451376553444,0.31266799148775043,0.09150591154509927,0.5582668573945494
hybrid70_old_docgen10,250,250,148.036,0.10177844494953792,249.52,101.484,0.045224290420835485,0.5069378483563886,0.035376332805956937,0.8860186214413004
old10_union_docgen10,250,250,220.3,0.15197611134034442,249.52,101.484,0.12171451376553444,0.627194193261414,0.06037943317148929,0.7124470496212307
old10_union_hybrid70,250,250,170.004,0.11692788167572084,249.52,101.484,0.045224290420835485,0.5923554636489035,0.03061365089032244,0.9014525726812616
docgen15_frequency,250,250,208.744,0.14286695650068743,249.52,101.484,0.1833209540398682,0.42082721557465735,0.09065133803237471,0.49852850710718677
docgen15_mean_score,250,250,208.744,0.14286695650068743,249.52,101.484,0.29335029617478087,0.4247836484495411,0.14496317783275095,0.5003366866812217
old10_union_docgen15_frequency,250,250,271.252,0.18637125931594872,249.52,101.484,0.1833209540398682,0.6542460295577444,0.0720575508318369,0.6043658661955912
old10_union_docgen15_mean,250,250,282.444,0.19388536444613083,249.52,101.484,0.29335029617478087,0.7029265779760799,0.11117953178747121,0.6223356796003038
old20_base,250,250,294.368,0.20246651762289447,249.52,101.484,0.35101951257481173,0.7254755405471612,0.13422789308533975,0.6263224646987158
old10_union_old20,250,250,294.492,0.2025595153498184,249.52,101.484,0.35101951257481173,0.7260183690474241,0.1341579294060943,0.6265021794634318
oracle_online_draft_selected,250,250,249.52,0.1726157447925879,249.52,101.484,1.0,1.0,0.4268537944179579,1.0
