dataset,method,rate,examples,pearson_z_mean,pearson_z_std,pearson_minmax_mean,pearson_minmax_std,spearman_rank_mean,spearman_rank_std,topk_overlap_mean,topk_overlap_std,topk_jaccard_mean,topk_jaccard_std,ndcg_at_k_mean,ndcg_at_k_std
musique-v2,offline3b_freq_top15,0.05,5,0.26561763344560385,0.01791448655453188,0.2656176334456038,0.01791448655453187,0.2666243764582997,0.0210716705153842,0.24040918813385073,0.0427827044590723,0.13729716918686313,0.027528648258645948,0.30396075703413306,0.043263341514584934
musique-v2,offline3b_freq_top15,0.1,5,0.26561763344560385,0.01791448655453188,0.2656176334456038,0.01791448655453187,0.2666243764582997,0.0210716705153842,0.35376757371344736,0.021770898141385574,0.21511008269779563,0.01624368055138748,0.4230006903708259,0.025200533189516833
musique-v2,offline3b_freq_top15,0.15,5,0.26561763344560385,0.01791448655453188,0.2656176334456038,0.01791448655453187,0.2666243764582997,0.0210716705153842,0.37069087707655385,0.018165473558814628,0.22766724263385624,0.013731651244256942,0.43887195540727353,0.01934113249731514
musique-v2,offline3b_freq_top15,0.3,5,0.26561763344560385,0.01791448655453188,0.2656176334456038,0.01791448655453187,0.2666243764582997,0.0210716705153842,0.43838120079041776,0.019428668823128204,0.2809216870882601,0.016028767161778642,0.5106518395677562,0.014194508096043027
musique-v2,offline3b_mean,0.05,5,0.278256937591883,0.029888785829739604,0.27825693759188297,0.02988878582973961,0.27456470934220917,0.04531067788991032,0.3151975180387619,0.029382790599925615,0.18744339983361638,0.020680505654395758,0.4085430232315666,0.02023123551475487
musique-v2,offline3b_mean,0.1,5,0.278256937591883,0.029888785829739604,0.27825693759188297,0.02988878582973961,0.27456470934220917,0.04531067788991032,0.34586285737424743,0.01988655138774423,0.2092664842719818,0.014714423150692987,0.4558051148360982,0.019842282483100722
musique-v2,offline3b_mean,0.15,5,0.278256937591883,0.029888785829739604,0.27825693759188297,0.02988878582973961,0.27456470934220917,0.04531067788991032,0.36966619783079707,0.0180054262280345,0.22689282381480277,0.013598500082120057,0.483192757430312,0.017831287098922118
musique-v2,offline3b_mean,0.3,5,0.278256937591883,0.029888785829739604,0.27825693759188297,0.02988878582973961,0.27456470934220917,0.04531067788991032,0.46211005639036856,0.015757864790591408,0.30061907136492827,0.013263038333010837,0.5522288660138267,0.016739763897952998
musique-v2,offline3b_top2_mean,0.05,5,0.27904692744862947,0.025797379688604988,0.27904692744862947,0.025797379688605036,0.254861346379002,0.043460285235351684,0.29587067409189,0.024737543114364918,0.17386486367430343,0.016879613030495157,0.38927905072807506,0.014605532788104784
musique-v2,offline3b_top2_mean,0.1,5,0.27904692744862947,0.025797379688604988,0.27904692744862947,0.025797379688605036,0.254861346379002,0.043460285235351684,0.3318460710017249,0.01617522378939856,0.1990441875249551,0.011763457231283449,0.4391968279612283,0.01695046415380923
musique-v2,offline3b_top2_mean,0.15,5,0.27904692744862947,0.025797379688604988,0.27904692744862947,0.025797379688605036,0.254861346379002,0.043460285235351684,0.35603158763503495,0.01725197373240435,0.21670292539782285,0.012820385118233614,0.4681400757085427,0.015354334479893844
musique-v2,offline3b_top2_mean,0.3,5,0.27904692744862947,0.025797379688604988,0.27904692744862947,0.025797379688605036,0.254861346379002,0.043460285235351684,0.45471587405802827,0.014170838394331404,0.29436891987485125,0.011837810968624846,0.5425228545345051,0.014393462113287405
