example,source,kind,chunks,tokens,selected,original_gap
10,raw,k,10,1505,1505,0.18699203431606293
10,raw,v,10,1505,1505,0.3512008786201477
10,preprocess,k,10,1505,1505,0.3755877912044525
10,preprocess,v,10,1505,1505,0.8448534607887268
11,raw,k,10,1230,1230,0.22019606828689575
11,raw,v,10,1230,1230,0.411848247051239
11,preprocess,k,10,1230,1230,0.3515022099018097
11,preprocess,v,10,1230,1230,0.7299472689628601
12,raw,k,10,2011,2011,0.23260384798049927
12,raw,v,10,2011,2011,0.40716129541397095
12,preprocess,k,10,2011,2011,0.36304938793182373
12,preprocess,v,10,2011,2011,0.7814092636108398
13,raw,k,10,1142,1142,0.2379167228937149
13,raw,v,10,1142,1142,0.40788742899894714
13,preprocess,k,10,1142,1142,0.41143423318862915
13,preprocess,v,10,1142,1142,0.9182805418968201
14,raw,k,10,1057,1057,0.25273680686950684
14,raw,v,10,1057,1057,0.4666990339756012
14,preprocess,k,10,1057,1057,0.4213952422142029
14,preprocess,v,10,1057,1057,0.9294942617416382
15,raw,k,10,678,678,0.275202214717865
15,raw,v,10,678,678,0.4663928151130676
15,preprocess,k,10,678,678,0.39628639817237854
15,preprocess,v,10,678,678,0.8509687781333923
16,raw,k,10,1515,1515,0.24078044295310974
16,raw,v,10,1515,1515,0.41593754291534424
16,preprocess,k,10,1515,1515,0.4121302664279938
16,preprocess,v,10,1515,1515,0.8878607153892517
17,raw,k,10,1415,1415,0.22721828520298004
17,raw,v,10,1415,1415,0.4463645815849304
17,preprocess,k,10,1415,1415,0.41908910870552063
17,preprocess,v,10,1415,1415,0.9369672536849976
18,raw,k,10,1020,1020,0.25813883543014526
18,raw,v,10,1020,1020,0.4728166460990906
18,preprocess,k,10,1020,1020,0.4389704167842865
18,preprocess,v,10,1020,1020,0.9446303248405457
19,raw,k,10,1034,1034,0.20984773337841034
19,raw,v,10,1034,1034,0.3958013951778412
19,preprocess,k,10,1034,1034,0.3275667428970337
19,preprocess,v,10,1034,1034,0.692127525806427
