example,source,kind,chunks,tokens,selected,original_gap
40,raw,k,10,1089,1089,0.20461533963680267
40,raw,v,10,1089,1089,0.35802674293518066
40,preprocess,k,10,1089,1089,0.3840412199497223
40,preprocess,v,10,1089,1089,0.8310596346855164
43,raw,k,10,838,838,0.26673510670661926
43,raw,v,10,838,838,0.44677412509918213
43,preprocess,k,10,838,838,0.40454670786857605
43,preprocess,v,10,838,838,0.8572613596916199
44,raw,k,10,998,998,0.23071518540382385
44,raw,v,10,998,998,0.360034704208374
44,preprocess,k,10,998,998,0.3252027928829193
44,preprocess,v,10,998,998,0.643530011177063
45,raw,k,10,1538,1538,0.24825939536094666
45,raw,v,10,1538,1538,0.4474034905433655
45,preprocess,k,10,1538,1538,0.3192404806613922
45,preprocess,v,10,1538,1538,0.645963191986084
46,raw,k,10,1520,1520,0.21313218772411346
46,raw,v,10,1520,1520,0.42085719108581543
46,preprocess,k,10,1520,1520,0.4004143178462982
46,preprocess,v,10,1520,1520,0.8815345168113708
47,raw,k,10,1988,1988,0.20037870109081268
47,raw,v,10,1988,1988,0.37260785698890686
48,raw,k,10,1358,1358,0.19276584684848785
48,raw,v,10,1358,1358,0.34232020378112793
