example,source,kind,chunks,tokens,selected,original_gap
30,raw,k,10,1471,1471,0.18307694792747498
30,raw,v,10,1471,1471,0.30433961749076843
31,raw,k,10,1279,1279,0.22326384484767914
31,raw,v,10,1279,1279,0.38330012559890747
32,raw,k,10,1439,1439,0.2225816398859024
32,raw,v,10,1439,1439,0.4204776883125305
32,preprocess,k,10,1439,1439,0.38864096999168396
32,preprocess,v,10,1439,1439,0.8503470420837402
33,raw,k,11,775,775,0.29503509402275085
33,raw,v,11,775,775,0.4929503798484802
33,preprocess,k,11,775,775,0.27566438913345337
33,preprocess,v,11,775,775,0.5362706184387207
35,raw,k,10,1174,1174,0.21031992137432098
35,raw,v,10,1174,1174,0.3541228771209717
35,preprocess,k,10,1174,1174,0.3356761336326599
35,preprocess,v,10,1174,1174,0.7351478338241577
36,raw,k,10,1463,1463,0.19087573885917664
36,raw,v,10,1463,1463,0.32399117946624756
36,preprocess,k,10,1463,1463,0.3435456156730652
36,preprocess,v,10,1463,1463,0.7175163626670837
37,raw,k,10,1072,1072,0.2531508505344391
37,raw,v,10,1072,1072,0.4527323544025421
37,preprocess,k,10,1072,1072,0.23302558064460754
37,preprocess,v,10,1072,1072,0.4918449819087982
38,raw,k,10,809,809,0.2933376729488373
38,raw,v,10,809,809,0.5229493975639343
38,preprocess,k,10,809,809,0.3469712436199188
38,preprocess,v,10,809,809,0.7276442646980286
39,raw,k,10,965,965,0.2501857280731201
39,raw,v,10,965,965,0.40676701068878174
39,preprocess,k,10,965,965,0.24523553252220154
39,preprocess,v,10,965,965,0.45948147773742676
