example,source,kind,layer,rank,original_gap,delta_recovery_error,final_kv_error,explained_variance
10,raw,k,0,4,0.0008671200274007605,0.9622653815169547,0.000834399583987785,0.07404533553402959
10,raw,k,0,8,0.0008671200274007605,0.9362212784609576,0.0008118162206322406,0.12348971775693007
10,raw,k,0,16,0.0008671200274007605,0.8921763737400707,0.0007736240016438012,0.2040213181400177
10,raw,k,0,32,0.0008671200274007605,0.8266490638777125,0.0007168039589204551,0.3166513251901016
10,raw,k,0,64,0.0008671200274007605,0.7428676312494144,0.0006441554007641302,0.44814768244188424
10,raw,k,1,4,0.02154559527040552,0.8193922639368602,0.017654294086484886,0.328596317800427
10,raw,k,1,8,0.02154559527040552,0.7568654879093623,0.01630711747663312,0.42715463321172303
10,raw,k,1,16,0.02154559527040552,0.6813334203126804,0.014679734118258103,0.5357847703650244
10,raw,k,1,32,0.02154559527040552,0.6015608506769621,0.012960986619206675,0.6381245429328097
10,raw,k,1,64,0.02154559527040552,0.5160087589475935,0.011117715876269092,0.7337349606893644
10,raw,k,2,4,0.061242509735921415,0.6473117532627016,0.03964299635136736,0.5809874940879673
10,raw,k,2,8,0.061242509735921415,0.5757557289556535,0.03526072583607914,0.668505340574744
10,raw,k,2,16,0.061242509735921415,0.5087667298504549,0.031158151406179384,0.7411564145972742
10,raw,k,2,32,0.061242509735921415,0.43545858450951,0.026668576601414223,0.8103758211769739
10,raw,k,2,64,0.061242509735921415,0.3605390022478602,0.02208031335534397,0.8700116278581175
10,raw,k,3,4,0.13113143957897222,0.4956103259265795,0.06499009550895599,0.7543704048349497
10,raw,k,3,8,0.13113143957897222,0.4323924541102966,0.05670024497056788,0.813036765628475
10,raw,k,3,16,0.13113143957897222,0.38239563902699036,0.050144090634330264,0.8537735752531397
10,raw,k,3,32,0.13113143957897222,0.3299049206074809,0.04326090716344551,0.8911627433589717
10,raw,k,3,64,0.13113143957897222,0.26740027815363576,0.03506458341810386,0.9284970912433582
10,raw,k,4,4,0.11651693877554826,0.5687706623545612,0.06627141644289444,0.6764999336447538
10,raw,k,4,8,0.11651693877554826,0.5065482179506665,0.059021447697820896,0.743408902891004
10,raw,k,4,16,0.11651693877554826,0.44708238389905064,0.05209267075239185,0.8001173420071419
10,raw,k,4,32,0.11651693877554826,0.3831603736623253,0.04464467379922935,0.8531881280549473
10,raw,k,4,64,0.11651693877554826,0.312775548336329,0.03644364941599258,0.9021714563629087
10,raw,k,5,4,0.08998249661200682,0.7023369566976502,0.06319803282653348,0.5067227992566831
10,raw,k,5,8,0.08998249661200682,0.6393411801402126,0.057529515575883115,0.5912428553769203
10,raw,k,5,16,0.08998249661200682,0.5674100941494581,0.05105697687442208,0.6780457850573031
10,raw,k,5,32,0.08998249661200682,0.48469327251164335,0.04361391075164144,0.7650724315819538
10,raw,k,5,64,0.08998249661200682,0.39377825837387664,0.03543315080000929,0.8449386832320365
10,raw,k,6,4,0.10782679266832265,0.7053156376108434,0.07605192302239021,0.5025298513416094
10,raw,k,6,8,0.10782679266832265,0.6225886625621929,0.06713173863574187,0.6123833572490198
10,raw,k,6,16,0.10782679266832265,0.5434686012758116,0.05860047619151026,0.7046418794273128
10,raw,k,6,32,0.10782679266832265,0.4603770641603864,0.04964098224647305,0.7880529587950635
10,raw,k,6,64,0.10782679266832265,0.38119902679090406,0.04110346842714918,0.8546873019736676
10,raw,k,7,4,0.06592852986263514,0.7153512137494525,0.04716205385795308,0.48827264098718504
10,raw,k,7,8,0.06592852986263514,0.6487064347926693,0.04276826155831208,0.5791799614585843
10,raw,k,7,16,0.06592852986263514,0.5817308471075984,0.038352659525549344,0.661589221523476
10,raw,k,7,32,0.06592852986263514,0.5141397478704636,0.033896477721045565,0.7356603196596961
10,raw,k,7,64,0.06592852986263514,0.4424752723630278,0.0291717442074635,0.8042156333472643
10,raw,k,8,4,0.04674042009964985,0.7634935211539443,0.03568600792209626,0.41707764315595164
10,raw,k,8,8,0.04674042009964985,0.7026164644082181,0.03284058871537079,0.5063301039424951
10,raw,k,8,16,0.04674042009964985,0.6368764568768334,0.029767873145999723,0.5943883786760109
10,raw,k,8,32,0.04674042009964985,0.5661829305950327,0.02646362802926272,0.6794368891028204
10,raw,k,8,64,0.04674042009964985,0.49009551782531297,0.022907270392110556,0.7598063834075384
10,raw,k,9,4,0.06968824274813325,0.7773901622635082,0.05417495433783005,0.39566453561591636
10,raw,k,9,8,0.06968824274813325,0.7266211059429772,0.05063694801687124,0.4720217683982046
10,raw,k,9,16,0.06968824274813325,0.6687683751642549,0.04660529287072124,0.5527488603801624
10,raw,k,9,32,0.06968824274813325,0.5985550313980347,0.041712248326182755,0.6417318743880978
10,raw,k,9,64,0.06968824274813325,0.5211727373387968,0.03631961223337516,0.7283789778547856
