example,source,kind,chunks,tokens,selected,original_gap
60,raw,k,10,1232,1232,0.2773102819919586
60,raw,v,10,1232,1232,0.5182096362113953
60,preprocess,k,10,1232,1232,0.3958735167980194
60,preprocess,v,10,1232,1232,0.8339505195617676
62,raw,k,10,915,915,0.23414219915866852
62,raw,v,10,915,915,0.4122363030910492
63,raw,k,10,1472,1472,0.2112947404384613
63,raw,v,10,1472,1472,0.36880242824554443
63,preprocess,k,10,1472,1472,0.2767486870288849
63,preprocess,v,10,1472,1472,0.6114628314971924
64,raw,k,10,911,911,0.21941187977790833
64,raw,v,10,911,911,0.33615314960479736
64,preprocess,k,10,911,911,0.33294877409935
64,preprocess,v,10,911,911,0.6646916270256042
65,raw,k,10,977,977,0.2504965662956238
65,raw,v,10,977,977,0.46913793683052063
66,raw,k,12,1566,1566,0.2689283490180969
66,raw,v,12,1566,1566,0.5329648852348328
66,preprocess,k,12,1566,1566,0.36541882157325745
66,preprocess,v,12,1566,1566,0.8330360651016235
68,raw,k,10,1026,1026,0.24560652673244476
68,raw,v,10,1026,1026,0.4632002115249634
68,preprocess,k,10,1026,1026,0.3764088749885559
68,preprocess,v,10,1026,1026,0.8187351822853088
