example,source,kind,layer,rank,original_gap,delta_recovery_error,final_kv_error,explained_variance
0,raw,k,0,4,0.0009023001758582807,0.9582070716960955,0.0008645904093000351,0.08183920775159367
0,raw,k,0,8,0.0009023001758582807,0.9311741901123928,0.0008401986354931041,0.13291462766852932
0,raw,k,0,16,0.0009023001758582807,0.8863452690206962,0.0007997494921085293,0.21439206408462974
0,raw,k,0,32,0.0009023001758582807,0.8189513423948385,0.0007389399402622377,0.32931869878969205
0,raw,k,0,64,0.0009023001758582807,0.7353428171311686,0.0006634999532135769,0.4592709412935968
0,raw,k,1,4,0.024929221921471963,0.8152614836307807,0.020323834449460215,0.3353487133081383
0,raw,k,1,8,0.024929221921471963,0.7470500630552898,0.018623376808354943,0.44191620328908765
0,raw,k,1,16,0.024929221921471963,0.6731233940239401,0.01678044247015722,0.5469048964176915
0,raw,k,1,32,0.024929221921471963,0.589315215661385,0.014691169792922776,0.6527075765899752
0,raw,k,1,64,0.024929221921471963,0.49667186059652596,0.012381643034961183,0.7533170628915851
0,raw,k,2,4,0.07681777852053301,0.6330301821493766,0.04862797232916347,0.5992727884879272
0,raw,k,2,8,0.07681777852053301,0.5610004184589596,0.043094805895106704,0.6852785304888721
0,raw,k,2,16,0.07681777852053301,0.4974002869514524,0.03820918507908624,0.7525929545406128
0,raw,k,2,32,0.07681777852053301,0.4257367717423374,0.03270415303974959,0.8187482011864129
0,raw,k,2,64,0.07681777852053301,0.34747064022344554,0.02669192268307245,0.8792641541827089
0,raw,k,3,4,0.17129996400660236,0.48431946517744295,0.08296390695259288,0.7654346556502356
0,raw,k,3,8,0.17129996400660236,0.4215563229215724,0.072212582943221,0.822290266604843
0,raw,k,3,16,0.17129996400660236,0.36975969086368904,0.06333982173604234,0.8632777710123891
0,raw,k,3,32,0.17129996400660236,0.3179548690344097,0.054465657621318345,0.8989047012573114
0,raw,k,3,64,0.17129996400660236,0.25884368659669765,0.04433991419735056,0.9329999459090306
0,raw,k,4,4,0.1521686101375254,0.5853243769379481,0.08906799691826059,0.6573953737622028
0,raw,k,4,8,0.1521686101375254,0.5273640153788391,0.08024824925674251,0.7218871952835075
0,raw,k,4,16,0.1521686101375254,0.46318903861795807,0.07048283223743125,0.7854559145041717
0,raw,k,4,32,0.1521686101375254,0.3974216315081803,0.06047509730518756,0.8420560468093762
0,raw,k,4,64,0.1521686101375254,0.327490641214695,0.04983379570668713,0.8927498799167879
0,raw,k,5,4,0.12113053822781693,0.7045292707624651,0.08534000976470875,0.5036385066389092
0,raw,k,5,8,0.12113053822781693,0.639580934684805,0.07747278285862065,0.5909362279877112
0,raw,k,5,16,0.12113053822781693,0.5701814055894973,0.06906638054654898,0.6748931647199853
0,raw,k,5,32,0.12113053822781693,0.49011495505874103,0.05936788829976761,0.7597873308277683
0,raw,k,5,64,0.12113053822781693,0.3997977937291086,0.04842772193670066,0.8401617241293371
0,raw,k,6,4,0.14843793689106527,0.7027863581957792,0.10432015708576665,0.506091334733914
0,raw,k,6,8,0.14843793689106527,0.6295437008532327,0.09344816813741984,0.6036747287160155
0,raw,k,6,16,0.14843793689106527,0.5491950858468656,0.08152138549382021,0.6983847576816539
0,raw,k,6,32,0.14843793689106527,0.4652809110702346,0.06906533851406083,0.7835136737936524
0,raw,k,6,64,0.14843793689106527,0.3833856109107387,0.056908969117310734,0.8530154733465997
0,raw,k,7,4,0.09628621466563322,0.7192088847459506,0.06924990106607926,0.4827385801024859
0,raw,k,7,8,0.09628621466563322,0.6542447976115698,0.06299475502670138,0.571963744798196
0,raw,k,7,16,0.09628621466563322,0.5915236669890719,0.05695557477951232,0.6500997513918015
0,raw,k,7,32,0.09628621466563322,0.5234182074327324,0.050397957880769,0.7260333801279052
0,raw,k,7,64,0.09628621466563322,0.45149351962375495,0.04347260195063516,0.796153601737754
0,raw,k,8,4,0.06739799882569117,0.7850728124515528,0.052912336491691817,0.38366067914940893
0,raw,k,8,8,0.06739799882569117,0.7208772503361365,0.0485856840716224,0.48033598994781124
0,raw,k,8,16,0.06739799882569117,0.6566615394044935,0.044257673661660606,0.5687956226669209
0,raw,k,8,32,0.06739799882569117,0.5891975754144021,0.03971073749587995,0.6528462171257899
0,raw,k,8,64,0.06739799882569117,0.5120746385534878,0.034512805887894196,0.7377795645503148
0,raw,k,9,4,0.10080986820352165,0.8070067565815849,0.08135424477034106,0.3487400948316705
0,raw,k,9,8,0.10080986820352165,0.7549644667295907,0.07610786838935205,0.4300286539757047
0,raw,k,9,16,0.10080986820352165,0.6913631559940554,0.06969622863653151,0.5220169865339395
0,raw,k,9,32,0.10080986820352165,0.620758092212497,0.06257854146221137,0.6146593909527011
0,raw,k,9,64,0.10080986820352165,0.5396982203479578,0.054406906462952806,0.7087258309532473
0,raw,k,10,4,0.06646613260735504,0.7915425879045738,0.05261077461203439,0.37346033153333
0,raw,k,10,8,0.06646613260735504,0.7368770762301966,0.048977369464036316,0.4570121745264371
0,raw,k,10,16,0.06646613260735504,0.6753457610721723,0.044887620911238116,0.5439081030018484
0,raw,k,10,32,0.06646613260735504,0.6018832104866749,0.040004849282347925,0.637736600934253
0,raw,k,10,64,0.06646613260735504,0.5177557564425755,0.03441322276593364,0.7319289766705764
0,raw,k,11,4,0.11465492362830626,0.8014070875552918,0.09188526841883533,0.3577466800161448
0,raw,k,11,8,0.11465492362830626,0.747209874517711,0.08567129109714447,0.4416774034232265
0,raw,k,11,16,0.11465492362830626,0.6895272572369241,0.07905769501813502,0.5245521615273248
0,raw,k,11,32,0.11465492362830626,0.6185265330036981,0.07091711240362006,0.6174249279704251
0,raw,k,11,64,0.11465492362830626,0.5340530186611764,0.061231808068063595,0.7147873732588852
0,raw,k,12,4,0.16730295839061482,0.8086420552898402,0.1352882081290574,0.34609802641662285
0,raw,k,12,8,0.16730295839061482,0.7445137384019814,0.1245593509971078,0.4456992933307059
0,raw,k,12,16,0.16730295839061482,0.6822411239484384,0.11414095837231189,0.5345470487935715
0,raw,k,12,32,0.16730295839061482,0.6058763055352456,0.10136489833482264,0.6329139023909617
0,raw,k,12,64,0.16730295839061482,0.5185852252408955,0.08676084236046515,0.7310693641618498
0,raw,k,13,4,0.16261637113895236,0.8058430887095873,0.13104327879335795,0.35061691637899217
0,raw,k,13,8,0.16261637113895236,0.7446161898559762,0.12108678268569203,0.4455467298043687
0,raw,k,13,16,0.16261637113895236,0.6790520173798359,0.11042497488089371,0.5388883576923751
0,raw,k,13,32,0.16261637113895236,0.601912909416392,0.0978808930709826,0.6377008494778943
0,raw,k,13,64,0.16261637113895236,0.5187326765947327,0.0843544254590312,0.7309164102328645
0,raw,k,14,4,0.14750333669808954,0.8285674181562026,0.12221645885736111,0.31347603356996456
0,raw,k,14,8,0.14750333669808954,0.7720628855126795,0.11388185175387534,0.40391890081383514
0,raw,k,14,16,0.14750333669808954,0.707037941619262,0.10429045556099019,0.5000973491107971
0,raw,k,14,32,0.14750333669808954,0.6275467915843064,0.09256524569286577,0.6061850243722432
0,raw,k,14,64,0.14750333669808954,0.5396915431917291,0.07960630340852116,0.70873303820733
0,raw,k,15,4,0.14727843534659138,0.8140900369144821,0.11989790686801373,0.33725741179657714
0,raw,k,15,8,0.14727843534659138,0.7582575672392536,0.11167498809271008,0.4250454617244087
0,raw,k,15,16,0.14727843534659138,0.692385555099787,0.10197346121167776,0.5206022430891598
0,raw,k,15,32,0.14727843534659138,0.6110190954442597,0.08998993634392013,0.6266556650024787
0,raw,k,15,64,0.14727843534659138,0.5209514893388225,0.07672492024129825,0.7286095457556627
