example,source,kind,chunks,tokens,selected,original_gap
0,raw,k,12,1313,1313,0.26564034819602966
0,raw,v,12,1313,1313,0.4832860827445984
0,preprocess,k,12,1313,1313,0.25994953513145447
0,preprocess,v,12,1313,1313,0.5170692205429077
1,raw,k,11,1295,1295,0.2204788476228714
1,raw,v,11,1295,1295,0.3843134343624115
1,preprocess,k,11,1295,1295,0.37283268570899963
1,preprocess,v,11,1295,1295,0.804667592048645
2,raw,k,11,1441,1441,0.20946575701236725
2,raw,v,11,1441,1441,0.35097193717956543
2,preprocess,k,11,1441,1441,0.33165040612220764
2,preprocess,v,11,1441,1441,0.6663296222686768
3,raw,k,10,1154,1154,0.22220966219902039
3,raw,v,10,1154,1154,0.37320834398269653
3,preprocess,k,10,1154,1154,0.3890617787837982
3,preprocess,v,10,1154,1154,0.8068158030509949
4,raw,k,10,1178,1178,0.23491260409355164
4,raw,v,10,1178,1178,0.405578076839447
4,preprocess,k,10,1178,1178,0.39311984181404114
4,preprocess,v,10,1178,1178,0.8598622679710388
6,raw,k,11,1490,1490,0.21330015361309052
6,raw,v,11,1490,1490,0.3872533440589905
6,preprocess,k,11,1490,1490,0.41041576862335205
6,preprocess,v,11,1490,1490,0.9116472601890564
7,raw,k,10,1587,1587,0.20421108603477478
7,raw,v,10,1587,1587,0.35077282786369324
7,preprocess,k,10,1587,1587,0.38060981035232544
7,preprocess,v,10,1587,1587,0.8188111782073975
8,raw,k,10,1481,1481,0.21958915889263153
8,raw,v,10,1481,1481,0.3914090096950531
9,raw,k,10,1998,1998,0.23691962659358978
9,raw,v,10,1998,1998,0.4147551655769348
9,preprocess,k,10,1998,1998,0.4399774670600891
9,preprocess,v,10,1998,1998,0.9100303649902344
