row_id,is_warmup,example_id,sub_q_idx,main_question,sub_question,doc_tokens,query_tokens,full_tokens,fusion_selected_doc_tokens,fusion_reprocess_prefill_tokens,full_exact_cache_ttft_s,full_ttft_compute_s,full_ttft_wall_s,fusion_ttft_compute_s,fusion_ttft_wall_s,fusion_storage_time_s,fusion_selection_time_s,fusion_selection_score_forward_time_s,fusion_reprocess_prefill_time_s,speedup_full_over_fusion_compute,ttft_reduction_pct_compute,speedup_full_exact_over_fusion_compute,ttft_reduction_pct_full_exact_vs_fusion_compute,speedup_full_over_fusion_wall,ttft_reduction_pct_wall
0,True,0,0,What is the network which National Cycle Route 57 is part of an example of?,What network is National Cycle Route 57 part of?,1313,27,2132,393,420,0.4297244059853256,0.27805614471435547,0.27951274113729596,0.6881783162243664,0.7607884439639747,0.025499258190393448,0.13506671227514744,0.12211889633908868,0.5276123457588255,0.40404665209431123,-147.49617273566304,0.6244375852220586,-60.14410786057767,0.36739877341056404,-172.1838156172914
1,True,1,0,What district is the headquarter of Julia's House located?,Where is the headquarters of Julia's House located?,1295,25,2112,388,413,0.2730018491856754,0.1069033145904541,0.27365917386487126,0.2545054526999593,0.322696247138083,0.023503846023231745,0.10541579499840736,0.10464374674484134,0.12558581167832017,0.42004331717200655,-138.0706844076519,1.0726758357807045,6.775190915698248,0.8480395303381741,-17.919031392466845
2,True,2,0,What body of water includes the terrain feature where Coffee Swamp is located?,Where is Coffee Swamp located?,1441,21,2254,432,453,0.2908100550994277,0.11426758766174316,0.2928550853393972,0.26015032082796097,0.33651241613551974,0.025148355402052402,0.10842631012201309,0.10760957887396216,0.12657565530389547,0.43923677394697136,-127.66764062444578,1.1178539168196613,10.542872825007443,0.8702653194866339,-14.907485982538748
3,True,3,0,Who is the spouse of the child of Peter Andreas Heiberg?,Who is the child of Peter Andreas Heiberg?,1154,26,1972,346,372,0.25764751620590687,0.09436774253845215,0.2576664751395583,0.24097561044618487,0.2921371110714972,0.021827174816280603,0.10214752797037363,0.10135406674817204,0.11700090765953064,0.3916070276312321,-155.3580322725154,1.069185033825011,6.470819515449211,0.8820052823637918,-13.378005777922318
4,True,3,1,Who is the spouse of the child of Peter Andreas Heiberg?,Who is the spouse of Johan Ludvig Heiberg?,1353,27,2172,405,432,0.2766905641183257,0.10868215560913086,0.27892438881099224,0.26179676223546267,0.31997319497168064,0.025688847992569208,0.10872893407940865,0.10786321572959423,0.1273789801634848,0.41513941838356666,-140.88293130382849,1.0568907031381367,5.382836935665713,0.8717117345897633,-14.716822123612982
5,True,4,0,"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?","Who were the siblings of Alice de Lusignan, Countess of Surrey?",1178,32,2002,353,385,0.2569309468381107,0.09450244903564453,0.2582424902357161,0.25025875167921185,0.30302843218669295,0.02175707370042801,0.1035246029496193,0.1027523628436029,0.12497707502916455,0.37761895798465506,-164.81721292198364,1.0266611861288728,2.596882641429299,0.8522054791103408,-17.342592193135054
6,True,4,1,"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?",When was King Henry III of England crowned?,2075,24,2891,622,646,0.38576632365584373,0.1513814926147461,0.3870153268799186,0.2810774417594075,0.36145401326939464,0.029853895772248507,0.10248225601390004,0.10160228004679084,0.14874128997325897,0.5385757450586283,-85.6749044447113,1.3724556522257174,27.137900712617157,1.0707180240698362,6.604729021095068
7,True,6,0,Which university employed the person that Mach bands are named after?,Which university employed Ernst Mach?,1490,21,2303,447,468,0.2907461700960994,0.1046147346496582,0.29247379023581743,0.25209157913923264,0.31387230986729264,0.024528215173631907,0.10148270288482308,0.10059177037328482,0.12608066108077765,0.41498702577398855,-140.97138895725934,1.1533355104079752,13.294961355497946,0.9318241241461451,-7.316388799906437
8,False,7,0,Who is the employer of the physicist who Mach number is named after?,Who is the physicist that the Mach number is named after?,1587,27,2406,476,503,0.3191422428935766,0.11712861061096191,0.3202283978462219,0.25283773662522435,0.3101453981362283,0.023970661219209433,0.10215794574469328,0.10131846182048321,0.12670912966132164,0.4632560478287266,-115.86334483639953,1.26224133767909,20.77584768070413,1.0325105572115074,3.148690053040082
9,False,7,1,Who is the employer of the physicist who Mach number is named after?,Who was Ernst Mach's employer or academic institution during his career?,1466,28,2286,439,467,0.29149740329012275,0.11437153816223145,0.2931704632937908,0.254517056979239,0.32013092609122396,0.025179248303174973,0.10323087777942419,0.10238536214455962,0.12610693089663982,0.44936688927516855,-122.53530998089465,1.1452961414444622,12.686338160644883,0.9157830106368713,-9.196172934520908
10,False,9,0,When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,Which English king trusted William de Longchamp?,1998,25,2815,599,624,0.3603792069479823,0.12984728813171387,0.3627386437729001,0.2651836625300348,0.3363995091058314,0.026235770899802446,0.10211899178102612,0.10121587011963129,0.1368288998492062,0.48965040641222507,-104.22733993569358,1.3589796728415184,26.415382070500037,1.0782971852042222,7.261187943228586
11,False,9,1,When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,What specific naval expedition or fleet did King Richard I lead that was dispersed by a storm?,2722,33,3547,816,849,0.48498912109062076,0.19042706489562988,0.4867122028954327,0.30763313826173544,0.4128424138762057,0.03363017598167062,0.10395955620333552,0.10290407622233033,0.1700434060767293,0.619006996358155,-61.549062592727765,1.5765178089429046,36.569064153450604,1.1789297478562304,15.177303667296282
12,False,10,0,The Unwinding author volunteered for which organisation?,Who is the author of The Unwinding?,1505,25,2322,451,476,0.317475454416126,0.11658430099487305,0.31871685991063714,0.2524765436537564,0.31307012820616364,0.023752719163894653,0.1020685681141913,0.10125275701284409,0.12665525637567043,0.4617629000607498,-116.56135645987136,1.2574453445129083,20.473680676167593,1.0180366352319472,1.771707874524353
13,False,10,1,The Unwinding author volunteered for which organisation?,Which organization did George Packer volunteer for?,1738,24,2554,521,545,0.3357820347882807,0.12372040748596191,0.3376368791796267,0.2659274507313967,0.3348689931444824,0.027111027855426073,0.10268223891034722,0.10165145993232727,0.13613418396562338,0.46524120449275186,-114.9422687292478,1.2626828628062228,20.803550166383733,1.0082655787541073,0.8197819035259402
14,False,11,0,Who is the lead singer of the band performing Bang Bang Rock & Roll?,Which band performed the song 'Bang Bang Rock & Roll'?,1230,27,2049,369,396,0.27138738613575697,0.10656380653381348,0.272613356821239,0.24940974218770862,0.2977154729887843,0.022567482199519873,0.10175078082829714,0.10099300276488066,0.1250914791598916,0.4272640098140687,-134.04732835680852,1.0881186266232845,8.09825550884462,0.9156842070869089,-9.20795534754577
15,False,11,1,Who is the lead singer of the band performing Bang Bang Rock & Roll?,Who is the lead singer of the band Art Brut?,1205,26,2023,361,387,0.25632957508787513,0.09170937538146973,0.2576504098251462,0.2525765048339963,0.3068753909319639,0.025329000782221556,0.1025107093155384,0.10154254082590342,0.12473679473623633,0.3630954329728528,-175.40968824985637,1.0148591424065572,1.464158106840463,0.8395929339354188,-19.1053377870519
16,False,12,0,What company did the company that initiated a successful price war among PC manufacturers in 1994 merge with in 2002?,Which company initiated a successful price war among PC manufacturers in 1994?,2011,32,2835,603,635,0.3846149160526693,0.1551206111907959,0.390023129992187,0.26657780120149255,0.3384508746676147,0.026704413816332817,0.10318176914006472,0.10226826602593064,0.13669161824509501,0.5818962062544291,-71.85195387968533,1.442786737377125,30.689687249418252,1.1523773734525589,13.222870993729375
17,False,12,1,What company did the company that initiated a successful price war among PC manufacturers in 1994 merge with in 2002?,Which company did Compaq merge with in 2002?,2101,30,2923,630,660,0.3862941199913621,0.1515789031982422,0.387467535212636,0.2823796169832349,0.34819690603762865,0.02978104166686535,0.10327352210879326,0.10230042273178697,0.14932505320757627,0.5367912345006175,-86.29216271206634,1.3679957644191318,26.90035846531934,1.112782820565222,10.135205044586836
18,False,13,0,What year was the father of Katherine of England crowned?,Who is Katherine of England?,1142,21,1955,342,363,0.2571507301181555,0.09406232833862305,0.2571742068976164,0.23937859619036317,0.29351883195340633,0.021379845216870308,0.10108869802206755,0.10029240371659398,0.11691005295142531,0.39294377122932506,-154.48933746207473,1.074242786158121,6.911173816083038,0.8761761730451443,-14.132297905854575
19,False,13,1,What year was the father of Katherine of England crowned?,What year was King Henry III of England crowned?,2083,25,2900,624,649,0.38607984501868486,0.15142250061035156,0.38731656316667795,0.28075364977121353,0.36074055591598153,0.029883054085075855,0.10201571695506573,0.10110971890389919,0.14885487873107195,0.5393429461513535,-85.41078679823401,1.375155212882546,27.280935953124906,1.0736706943947998,6.861572619929424
20,False,14,0,Who is the sibling of the actress that played the little girl in Miracle on 34th street 1947?,Who played the little girl in the 1947 film Miracle on 34th Street?,1057,36,1885,317,353,0.23999880673363805,0.0882267951965332,0.2413020208477974,0.24084872845560312,0.28958661993965507,0.020971175283193588,0.10344745125621557,0.102700375020504,0.11643010191619396,0.366316217495815,-172.98818677374678,0.9964711388454693,-0.35413581156191754,0.833263708447858,-20.010026821247994
21,False,14,1,Who is the sibling of the actress that played the little girl in Miracle on 34th street 1947?,Who is the sibling of actress Natalie Wood?,1681,24,2497,504,528,0.33450696198269725,0.12329840660095215,0.3358178180642426,0.2666012607514858,0.338410759344697,0.028082987759262323,0.10302843293175101,0.10194761166349053,0.1354898400604725,0.4624824588353526,-116.22441692561748,1.2547088526130796,20.300235555253977,0.9923378875852665,-0.7721273681667418
22,False,15,0,What is the capital of the county that Pine Springs is located in?,In which county is Pine Springs located?,678,23,1493,203,226,0.18506041401997209,0.07311654090881348,0.18679161788895726,0.2151488563977182,0.2541470807045698,0.019531898200511932,0.10120744211599231,0.10052311094477773,0.09440951608121395,0.33984164328371924,-194.25469766962692,0.8601505818737635,-16.25871342452465,0.7349744776572543,-36.059146324035595
23,False,15,1,What is the capital of the county that Pine Springs is located in?,"What is the county seat of Culberson County, Texas?",1121,28,1941,336,364,0.25582160521298647,0.09373044967651367,0.2565931179560721,0.2430356629192829,0.2925553391687572,0.023601932916790247,0.10258550802245736,0.1017934731207788,0.1168482219800353,0.3856654144936888,-159.29211239043175,1.0526093254797344,4.9979915820864695,0.8770754917176858,-14.015271141777742
24,False,16,0,"In 2002, what company merged with the top PC manufacturer from 1994?",Who was the top PC manufacturer in 1994?,1515,28,2335,454,482,0.3166870540007949,0.11303091049194336,0.31778593407943845,0.25263924337923527,0.30642428109422326,0.023831436410546303,0.10243852389976382,0.10160817112773657,0.12636928306892514,0.44740044729422074,-123.51341087112888,1.2535148924801751,20.22432234359629,1.037078174564507,3.5752535800955387
