val_kl,val_bce,val_recall_r0p05,val_jaccard_r0p05,val_recall_r0p1,val_jaccard_r0p1,val_recall_r0p15,val_jaccard_r0p15,val_recall_r0p3,val_jaccard_r0p3,epoch,train_loss
0.0048428788135449095,0.6890844745635987,0.46857894736842104,0.3210128530807046,0.4945175438596491,0.3419743510092161,0.5160584795321638,0.35981816069597206,0.5796202898550725,0.4154783654778646,1,0.0058059382747639625
0.004447179886202017,0.7925961345036825,0.4877894736842105,0.3374874444005137,0.5140350877192981,0.35873291542430463,0.5340409356725144,0.3754360062521603,0.5933536231884059,0.4282709558398816,2,0.004530202420976232
0.004677366983145475,0.8482894509633382,0.5051228070175439,0.3542341630427684,0.5295350877192985,0.37319577733061343,0.5502748538011696,0.3906123517697845,0.6061304347826086,0.44131870849284005,3,0.004063523955643177
0.00400807791762054,0.9161765842437745,0.518736842105263,0.3658575569751963,0.5415701754385965,0.38357998057427584,0.562187134502924,0.40143971561954905,0.6174289855072462,0.4528564736720854,4,0.003630070550257669
0.004003154338647922,0.9484594227472941,0.524438596491228,0.3710960461925607,0.5480350877192983,0.38988724669929614,0.5669707602339181,0.40587369330229595,0.6220782608695653,0.45769275820257704,5,0.0032697893181706174
0.003948404893279076,0.9692720729509989,0.5323684210526315,0.3791955498923416,0.5542719298245613,0.3960222793521164,0.5737719298245614,0.4126179686329483,0.6281188405797101,0.463770245437624,6,0.0029429273765315027
0.0037660936526954175,0.9975454702377319,0.545719298245614,0.3910151231453353,0.5666052631578948,0.4077324948833536,0.5870409356725145,0.4260542041942809,0.6394579710144925,0.47662828952702657,7,0.0026591096991563546
0.003751063958431284,1.0165192597707113,0.5529298245614036,0.39844103531487235,0.5761842105263156,0.4172509318931593,0.5959649122807017,0.4350935590576748,0.6504086956521737,0.4884416268127669,8,0.0023781947506701243
0.0035229036367187896,1.0416954453786214,0.5608245614035086,0.40507479596019036,0.5880614035087722,0.42871423358444327,0.6092982456140351,0.44849435619883804,0.6631681159420287,0.5025698234725853,9,0.002115677960216999
0.003374034635722637,1.0468323287963868,0.5686140350877196,0.4127964682270037,0.5959210526315789,0.4364321512130834,0.6171520467836257,0.45636168116444686,0.6728260869565217,0.5131613287327886,10,0.0018835660057032809
