example_id,subq,pairs,jaccard_mean,intersection_mean
3,2,1,0.22128851540616246,79.0
4,2,1,0.07407407407407407,38.0
7,2,1,0.1111111111111111,52.0
9,2,1,0.10271041369472182,72.0
10,2,1,0.09716599190283401,48.0
11,2,1,0.22478386167146974,78.0
12,2,1,0.16468590831918506,97.0
13,2,1,0.06547619047619048,33.0
14,2,1,0.0368763557483731,17.0
15,2,1,0.11564625850340136,34.0
16,2,1,0.08756567425569177,50.0
17,2,1,0.10077519379844961,52.0
18,2,1,0.08011049723756906,29.0
19,2,1,0.09245742092457421,38.0
20,2,1,0.21172022684310018,112.0
21,2,1,0.13595706618962433,76.0
24,2,1,0.19393939393939394,96.0
25,2,1,0.13815789473684212,42.0
27,2,1,0.15647921760391198,64.0
32,2,1,0.11410788381742738,55.0
35,2,1,0.17663817663817663,62.0
36,2,1,0.10707070707070707,53.0
37,2,1,0.19293478260869565,71.0
38,2,1,0.08637873754152824,26.0
39,2,1,0.07989690721649484,31.0
40,2,1,0.08232445520581114,34.0
43,2,1,0.17142857142857143,48.0
44,3,3,0.14665691571317707,54.0
45,2,1,0.2422907488986784,110.0
46,2,1,0.06764168190127971,37.0
50,4,6,0.3305946590611388,145.16666666666666
51,2,1,0.1942257217847769,74.0
52,3,3,0.09516350486495112,41.666666666666664
54,2,1,0.061269146608315096,28.0
58,2,1,0.24074074074074073,78.0
59,2,1,0.13368983957219252,50.0
60,2,1,0.1960352422907489,89.0
63,2,1,0.11080332409972299,40.0
64,2,1,0.09696969696969697,32.0
68,2,1,0.2214765100671141,66.0
71,2,1,0.08695652173913043,52.0
72,2,1,0.08486238532110092,37.0
74,2,1,0.1642156862745098,67.0
77,2,1,0.056074766355140186,36.0
78,2,1,0.038901601830663615,17.0
79,3,3,0.12249702594235368,53.666666666666664
81,2,1,0.08315565031982942,39.0
82,2,1,0.06889352818371608,33.0
84,2,1,0.2066115702479339,75.0
86,2,1,0.064,24.0
88,3,3,0.12308495037526446,43.333333333333336
89,2,1,0.08315098468271334,38.0
90,3,3,0.09947199443136129,48.0
91,2,1,0.09333333333333334,35.0
93,2,1,0.11395348837209303,49.0
96,2,1,0.18397626112759644,62.0
97,2,1,0.15041782729805014,54.0
98,2,1,0.21306818181818182,75.0
100,2,1,0.16666666666666666,66.0
101,2,1,0.1917808219178082,70.0
102,2,1,0.0787746170678337,36.0
103,2,1,0.1702127659574468,64.0
105,2,1,0.07563025210084033,63.0
112,2,1,0.09937888198757763,32.0
113,2,1,0.1662531017369727,67.0
114,2,1,0.04251012145748988,21.0
117,2,1,0.09333333333333334,35.0
119,2,1,0.11330049261083744,46.0
121,2,1,0.16129032258064516,85.0
123,4,6,0.23596756357419876,102.16666666666667
126,2,1,0.20099255583126552,81.0
130,2,1,0.09660574412532637,37.0
131,2,1,0.17682926829268292,58.0
133,2,1,0.1978021978021978,72.0
135,2,1,0.2441860465116279,84.0
136,2,1,0.11815561959654179,41.0
138,2,1,0.09848484848484848,52.0
141,2,1,0.14092140921409213,52.0
142,2,1,0.09508716323296355,60.0
143,2,1,0.10512129380053908,39.0
144,2,1,0.09418282548476455,34.0
145,2,1,0.12566844919786097,47.0
146,2,1,0.11428571428571428,48.0
147,2,1,0.1054945054945055,48.0
150,2,1,0.08413461538461539,35.0
151,2,1,0.036939313984168866,14.0
152,2,1,0.17791411042944785,87.0
155,2,1,0.05726872246696035,26.0
156,2,1,0.19505494505494506,71.0
158,2,1,0.13577023498694518,52.0
160,2,1,0.06776180698151951,33.0
161,2,1,0.20286396181384247,85.0
163,2,1,0.10020449897750511,49.0
164,2,1,0.06278713629402756,41.0
166,2,1,0.22167487684729065,90.0
167,2,1,0.16621253405994552,61.0
169,2,1,0.10462287104622871,43.0
173,2,1,0.16247139588100687,71.0
174,2,1,0.07122507122507123,25.0
178,2,1,0.19672131147540983,60.0
179,2,1,0.1513353115727003,51.0
180,2,1,0.1580188679245283,67.0
183,2,1,0.19239373601789708,86.0
186,2,1,0.21,84.0
188,2,1,0.09880239520958084,33.0
191,2,1,0.04215456674473068,18.0
