example_id,sub_q_idx,main_question,online_count,offline_count,intersection,union,jaccard,online_recall_by_offline,offline_precision_vs_online,draft_correct_offline_wrong,offline_correct_draft_wrong,draft_correct_qk_wrong,qk_correct_draft_wrong
0,0,What is the network which National Cycle Route 57 is part of an example of?,227,191,79,339,0.23303834808259588,0.34801762114537443,0.41361256544502617,False,False,False,False
1,0,What district is the headquarter of Julia's House located?,223,188,107,304,0.3519736842105263,0.4798206278026906,0.5691489361702128,False,False,False,False
2,0,What body of water includes the terrain feature where Coffee Swamp is located?,241,211,108,344,0.313953488372093,0.44813278008298757,0.5118483412322274,False,False,False,False
3,0,Who is the spouse of the child of Peter Andreas Heiberg?,203,169,79,293,0.2696245733788396,0.3891625615763547,0.46745562130177515,False,False,False,False
3,1,Who is the spouse of the child of Peter Andreas Heiberg?,233,198,91,340,0.2676470588235294,0.3905579399141631,0.4595959595959596,False,False,False,False
4,0,"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?",212,171,87,296,0.2939189189189189,0.41037735849056606,0.5087719298245614,False,False,False,False
4,1,"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?",339,305,133,511,0.2602739726027397,0.39233038348082594,0.4360655737704918,False,False,False,False
6,0,Which university employed the person that Mach bands are named after?,248,218,112,354,0.3163841807909605,0.45161290322580644,0.5137614678899083,False,False,False,False
7,0,Who is the employer of the physicist who Mach number is named after?,269,234,119,384,0.3098958333333333,0.4423791821561338,0.5085470085470085,False,False,True,False
7,1,Who is the employer of the physicist who Mach number is named after?,251,215,117,349,0.335243553008596,0.46613545816733065,0.5441860465116279,False,False,True,False
9,0,When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,328,294,147,475,0.3094736842105263,0.4481707317073171,0.5,False,False,False,False
9,1,When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,445,401,200,646,0.30959752321981426,0.449438202247191,0.49875311720698257,False,False,False,False
10,0,The Unwinding author volunteered for which organisation?,254,221,134,341,0.39296187683284456,0.5275590551181102,0.6063348416289592,False,True,False,False
10,1,The Unwinding author volunteered for which organisation?,288,253,159,382,0.4162303664921466,0.5520833333333334,0.6284584980237155,False,True,False,False
11,0,Who is the lead singer of the band performing Bang Bang Rock & Roll?,215,180,99,296,0.3344594594594595,0.4604651162790698,0.55,False,False,False,False
11,1,Who is the lead singer of the band performing Bang Bang Rock & Roll?,210,177,66,321,0.205607476635514,0.3142857142857143,0.3728813559322034,False,False,False,False
12,0,What company did the company that initiated a successful price war among PC manufacturers in 1994 merge with in 2002?,337,297,160,474,0.33755274261603374,0.47477744807121663,0.5387205387205387,False,False,False,False
12,1,What company did the company that initiated a successful price war among PC manufacturers in 1994 merge with in 2002?,349,308,132,525,0.25142857142857145,0.37822349570200575,0.42857142857142855,False,False,False,False
13,0,What year was the father of Katherine of England crowned?,196,165,85,276,0.3079710144927536,0.4336734693877551,0.5151515151515151,False,False,False,True
13,1,What year was the father of Katherine of England crowned?,341,306,135,512,0.263671875,0.39589442815249265,0.4411764705882353,False,False,False,True
14,0,Who is the sibling of the actress that played the little girl in Miracle on 34th street 1947?,198,152,81,269,0.30111524163568776,0.4090909090909091,0.5328947368421053,False,False,False,False
14,1,Who is the sibling of the actress that played the little girl in Miracle on 34th street 1947?,280,246,111,415,0.2674698795180723,0.3964285714285714,0.45121951219512196,False,False,False,False
15,0,What is the capital of the county that Pine Springs is located in?,128,97,51,174,0.29310344827586204,0.3984375,0.5257731958762887,False,False,True,False
15,1,What is the capital of the county that Pine Springs is located in?,200,163,73,290,0.2517241379310345,0.365,0.44785276073619634,False,False,True,False
16,0,"In 2002, what company merged with the top PC manufacturer from 1994?",259,223,113,369,0.3062330623306233,0.4362934362934363,0.5067264573991032,False,False,False,False
16,1,"In 2002, what company merged with the top PC manufacturer from 1994?",362,321,128,555,0.23063063063063063,0.35359116022099446,0.3987538940809969,False,False,False,False
