Question,Real Answer,Pred Answer
Glenn Frey died in January. Of what pop band was he a member?,Eagle,<|im_end|>
What role did Henry Travers play in a famous and still-popular 1946 film?,Clarence Odbody,<|im_end|>
Which magazine features a strip entitled Sid the Sexist?,Viz,<|im_end|>
The vegetable we call chicory is known as what in the USA?,Cichorium endivia,<|im_end|>
Which former Italian Prime Minister was kidnapped and murdered in 1978?,Aldo Moro,<|im_end|>
Is the mountain range in Ireland in which the river Liffey rises?,Wicklow Mountains,<|im_end|>
"What was the name of the American pediatrician whose book Baby and Child Care, was published in 1946?",Benjamin Spock,<|im_end|>
"What is the correct name for the ""Flying Lady"" ornament on a Rolls Royce radiator.",Spirit of Ecstasy,<|im_end|>
Who was the minstrel in Robin Hood’s band of men?,Allen-a-Dale,<|im_end|>
Which recent ITV three-part drama was based on real-life wife killer Malcolm Webster?,The Widower,<|im_end|>
Who did Frank Bruno beat to win the WBC World Title in 1995?,Oliver McCall,<|im_end|>
"In 1966, what replaced the Aust ferry?",Severn Bridge,<|im_end|>
Which county was absorbed into Cambridgeshire in 1974?,Huntingdonshire District Council,<|im_end|>
"Bewdley, Tenbury Wells, and Droitwich Spa are all towns in which English county?",Worcestershire county,<|im_end|>
The hamadryas is a species of which monkey?,Baboon,<|im_end|>
The Sentinel serves which Midlands city?,Stoke-on-Trent,<|im_end|>
What name is given to the area of large country houses around Worksop?,The Dukeries,<|im_end|>
How many calories are in a pint of Guinness?,198,<|im_end|>
What was George's surname in George And Mildred?,Roper,<|im_end|>
Name the Ent who befriends Merry and Pippin in Fanghorn forest.,Treebeard,<|im_end|>
Which fictional character drove a white Volvo P1800?,The Saint,<|im_end|>
Which word was introduced on coins in 1971 before being dropped in 1982?,New,<|im_end|>
Which band member is organising this year's Diamond Jubilee concert at Buckingham Palace?,Gary Barlow,<|im_end|>
Who wrote the screenplay for The Crying Game?,Neil Jordan,<|im_end|>
The First Time Ever I Saw Your Face was featured in which Clint Eastwood film?,Play Misty for Me,<|im_end|>
Which two islands are linked by the 33 and a half-mile-long Seikan rail tunnel?,Honshu and Hokkaido,<|im_end|>
Which all-Pullman train ran between London and Brighton from 1931 to 1972?,The Brighton Belle,<|im_end|>
How many events make up a pentathlon?,five,<|im_end|>
Which US fashion designer directed the 2009 film ‘A Single Man’?,Tom Ford,<|im_end|>
"Played by Aaron Paul, who was Walter White’s co-protagonist in ‘Breaking Bad’?",Jesse Pinkman,<|im_end|>
"In computing, how many bits are in one byte?",8,<|im_end|>
Which band’s 2007 album is entitled ‘Send Away the Tigers’?,Manic Street Preachers,<|im_end|>
Gallipoli is in which European country?,Turkey,<|im_end|>
Who wrote the poem ‘ The Ballad of Reading Gaol’?,Oscar Wild,<|im_end|>
Bulent Ecevit was Prime Minister of which country from 1999 to 2002?,Turkey,<|im_end|>
James Braddock won the title from which boxer whose son was in The Beverly Hillbillies?,Max Baer,<|im_end|>
Which number in Pennsylvania Avenue is The White House?,1600,<|im_end|>
Rain was the B-side of which Beatles single?,Paperback Writer,<|im_end|>
Who brought to an end Jahangir Khan's long unbeaten run of success in squash in the 80s?,Ross Norman,<|im_end|>
What was the title of Kitty Kelley's book about Elizabeth Taylor?,Elizabeth Taylor: The Last Star,<|im_end|>
Which artist created the Katzenjammer Kids?,Rudolph Dirks,<|im_end|>
Who wrote the song Harper Valley PTA?,Tom T. Hall,<|im_end|>
John Ridd is the hero of which novel by R D Blackmore?,Lorna Doon,<|im_end|>
What is the nickname of the Beijing National Stadium?,Bird's Nest (disambiguation),<|im_end|>
"Tom, Barbara, Jerry and Margo are all characters in which 1970’s UK television sitcom?",The Good Life (album),<|im_end|>
Which general introduced martial law in Poland in 1981?,Wojciech Jaruzelski,<|im_end|>
Which American author wrote the 1985 book The Cider House Rules?,John Irving,<|im_end|>
Liberty Island in New York harbour was formerly known as what?,Bedloe's Island,<|im_end|>
Edmond Dantes is the protagonist of which famous French novel?,The Count of Monte Christo,<|im_end|>
"As played by Bob Hoskins, what was the name of the sheet music salesman in the TV series Pennies from Heaven scripted by Dennis Potter?",Arthur Parker,<|im_end|>
Which system of physical fitness that increases the strength and flexibility of the body was originally known by the term 'contrology'?,Pilates,<|im_end|>
What is the plural of mongoose?,Herpestidae,<|im_end|>
No Mean City by Maggie Bell is the theme tune to which long running TV detective show?,Taggart,<|im_end|>
"In 1986, whose song was Christmas number one in the UK, 2 years after he had died?",Jackie Wilson's,<|im_end|>
"Eye for eye, tooth for tooth.  According to Exodus what comes next?","Hand for hand, foot for foot",<|im_end|>
In the movie Carry On Dick – who was the Dick referred to?,Dick Turpin,<|im_end|>
Which Scottish border village lies at the northernmost end of the Pennine Way?,Kirk Yetholm,<|im_end|>
"In July 2014, Judith Weir became the first woman to be appointed to which post?",Masters of the Queen's Music,<|im_end|>
"Voiced by Nicholas Parsons, Tex Tucker was the hero of which Supermarionation series?",Four Feather Falls,<|im_end|>
Who wrote the 2008 novel ‘Duma Key’?,Stephen King,<|im_end|>
"Who played Jodie Foster’s lawyer, Kathryn Murphy, in the 1988 film ‘The Accused’?",Kelly McGillis,<|im_end|>
To which British entertainer did songwriter/composer Lionel Bart sell the rights to the musical ‘Oliver!’ for a reputed 350 pounds sterling?,Max Bygraves,<|im_end|>
What was the name of the character played by Richard Wilson in One Foot In The Grave?,Victor Meldrew,<|im_end|>
How many hurdles must a runner jump over in the 110m men's hurdles race?,10,<|im_end|>
"Listed at number 69 on the Periodic Table, which chemical element has the symbol Tm?",Thulium,<|im_end|>
