Question,Real Answer,Pred Answer
Bounce is currently hosted by what former Australian football player born in 1979,Cameron Mooney,Cameron Mooney
"Which American film director is known for the sexploitation film genre, Wes Anderson or Doris Wishman?",Doris Wishman,Doris Wishman
"A foam weapon, a padded mock weapon used for simulated handheld combat, is used in a North American medieval combat sport, begun in 1977 with the creation of what?",Dagorhir,Dagorhir
Which president signed this act that led to Choctaw tribe of Native Americans being forced to move out of Choctaw County by federal troops in 1830?,President Andrew Jackson,Andrew Jackson
Anne Preven co-wrote which song with Scott Cutler and Phil Thornalley in 1993?,Torn,Torn
"Garden State is a 2004 American romantic comedy-drama film, written and directed by an American actor best known for his role as J. D. on what television series?",Scrubs,Scrubs
Which print magazine company did Terry Richardson work for while he was in Montreal?,Vice Media,Vice
"Named after producer Radcliffe's Blackwing Studios where the album was recorded, ""Upstairs at Eric's"" was preceded by two top three UK singles, including the ballad ""Only You"", a song written by what English musician? ",Vince Clarke,Vince Clarke
"Nukie is a 1987 South African film directed by Sias Odendaal, and Michael Pakleppa, the film stars include Glynis Johns, a retired Welsh stage, television and film actress, dancer, pianist, and singer, and was born in which country?",South Africa,South Africa
"What star of ""The Thing with Two Heads"" also played football?",Rosey Grier,Ray Milland
"Jeff Rona's credits include a 2016 Indian epic historical drama film that was written and directed by Jayaraj, and was adapted from What William Shakespeare play?",Macbeth,Macbeth
Autolux and Polvo are both types of what?,rock band,rock bands
"Who was the American author best known for the novel ""Mutiny on the Bounty"", James Norman Hall or Harold Lamb?",James Norman Hall,James Norman Hall
Which band was formed first Walt Mink or Sunrise Avenue?,Walt Mink,Walt Mink
"Which one was an American poet, Frank O'Connor or Edwin Arlington Robinson?",Edwin Arlington Robinson,Edwin Arlington Robinson
What country does Games and Official Xbox Magazine have in common?,United States,United States
"Which actor is known for being in westerns, Anthony Mann or Luis Valdez?",Anthony Mann,Anthony Mann
"What actor, who starred in The Flight of the Phoenix, also starred in Cool Hand Luke?",George Kennedy,George Kennedy
Did both Wickard v. Filburn and Strickland v. Washington reach the Supreme Court of the United States?,yes,yes
"Which soda, Shasta or Tizer, was sold in the United Kingdom?",Tizer,Tizer
"What prize was won for a book by a British author and illustrator from Dartmoor, focusing on futuristic steampunk London?",Nestlé Smarties Book Prize,Nestlé Smarties Book Prize
The 1987–88 Georgetown Hoyas play their game in the community that is in what Maryland county?,Prince George's County,Prince George's County
What republic was started because of a dispute in the area The Green Mountain Boys were a militia?,Vermont Republic,Vermont Republic
What day was the book published that was illustarted alongside Dorothy and the Wizard in Oz?,"July 20, 1910","July 20, 1910"
The TT-30 pistol was developed in the early 1930's as a replacement to a revolver designed by who?,Léon Nagant,Fedor Tokarev
Hae Min Lee's body was found in a park that covers how many acres ?,1216 acre,Leakin Park
Charlie Kaufman wrote which acclaimed fantasy film in 1999 journeying into an actor's mind?,Being John Malkovich,Being John Malkovich
Daniel Shaw is played by an actor who grew up in what state?,Iowa,Iowa
"What is the name of the eighth gate to the city of Babylon, currently housed at Pergamon Museum?",Ishtar Gate,Ishtar Gate
Gentleman's Intermission included a cameo appearance by the photojournalist who has specialized in reportage on what two topics?,human suffering in war zones and natural disasters,war zones and social issues
what does Echosmith and Guster have in common?,band,They are both American indie pop bands.
"Of the four public Elizabethan theatres built, including The Rose, which one was built in Shoreditch?",The Theatre,The Theatre
"Maggie Grace, an American actress, appeared in  ""Taken 2"", a 2012 American action thriller film directed by who?",Olivier Megaton,Olivier Megaton
"which landmark built on the site of a former city gate that marked the start of the road from Berlin to the town of Brandenburg an der Havel, is Frederick William II of Prussia responsible for?",Brandenburg Gate,Brandenburg Gate
Watch Mr. Wizard was created by the host of programs dedicated to what educational fields?,science and technology,science and technology
"What Canadian mixed martial artist who competed in the UFC also competed in the Maximum Fighting Championship in Edmonton, Alberta?",Ryan Jimmo,Ryan Jimmo
When was the Polish professional boxer over which Joe Smith Jr. rose to prominence in 2016 by scoring an upset knockout victory born? ,4 November 1987,4 November 1987
"Invincible and National Treasure, are of which nationality?",American,American
"When was the last film in the series ""American Pie"" released?",2012,2012
"When was the South Korean actress and photographer born who was star in both ""Sympathy for Mr. Vengeance"" (2002) and As One (2012)?","October 11, 1979","October 11, 1979"
the fictional character Lionel Hutz first appeared in a Simpson episode that originally aired in which year ?,1991,1991
"Raymond Blanc OBE (born 19 November 1949) is a French chef, he is entirely self-taught, but has himself taught or employed other chefs including Marco Pierre White, is a British chef, restaurateur, and television personality from which city?",Leeds,London
"Same Love, Same Rain, is an Argentine-American romantic comedy film, released in what year, and directed by Juan José Campanella, it stars Ricardo Darín, an Argentine actor, screenwriter and film director?",1999,1999
Which star from The Ghazi Attack won the State Nandi Award for Best Special Effects in 2006?,Ramanaidu Daggubati,Rana Daggubati
"Who was born September 17, 1968 and wrote the memoir Wild was based on?",Cheryl Strayed,Cheryl Strayed
5 fold diffraction pattern symmetries were discovered in 1982 by dan shechtman when he discovered this phase which opened new field of study in quasiperiodic crystals,icosahedral phase,icosahedral phase
"Richard Donner and Percy Adlon, have which mutual occupations?",director and producer,"director, screenwriter, and producer"
"What flying ace was shot down by the ""Red Barron"" during WWII?",Lanoe Hawker,George Andrew Davis Jr.
"The actor who starred as Buck Dharma in the ""More Cowbell"" sketch on Saturday Night Live was born in what year?",1970,1970
"On October 15, 2012 Viktor Blom was signed-up by an online poker card room that opened in what year?",2004,2004
Adrián Barilari is the vocalist of the heavy metal band formed in what year?,1986,1986
"When was the magazine which has Lisa Pin-Up ranked number 54, launched as a mass-market print publication?",1994,1994
Who has more letters in their middle name out of Margaret Laurence and Paul Heyse?,Margaret Laurence,Heyse
What is the local goverment area for the city in which Melbourne Law School is located?,the City of Melbourne,City of Melbourne
"Which breed of dog is from Scotland, the Pharaoh Hound or the Cairn Terrier?",Cairn Terrier,Cairn Terrier
Where are the headquarters of the company that owns the Ardbeg Distillery ?,Paris,Paris
 The 2009 AFL Season consisted of how many Rounds won by the team nicknamed the Cats ?,22,22
"Which canal is longer, the Industrial Canal in Louisana or the James River and Kanawha Canal in Virginia?",The James River and Kanawha Canal,James River and Kanawha Canal
 Tobin Bo Gunnar Gerhart held the Stanford record for most rushing yards in a season until the record was broke by an American football running back holds the NCAA record for what?,most all-purpose yards in a season,most all-purpose yards in a season
Both Aspatria and Skiddaw are located in which country?,England,England
Which episode of Glee is named after a power ballad from the 1973 Aerosmith debut album?,Dream On,"""Dream On"""
Lucy Maunder was in the premiere of Doctor Zhivago alongside the actor hailing from what New South Wales city?,Wollongong,Wollongong
What concepts of dance does the Horton technique of dance utilize?,total body articulation,total body articulation
Are Johnette Napolitano and Andi Deris both singers?,yes,yes
We the People Amendment was introduced by the member of what Minnesota political party?,Democratic–Farmer–Labor,DFL Party
Which lake in Northern Ireland is near the Ballyscullion House and supplies 40% of Northern Ireland's water?,Lough Neagh,Lough Neagh
Hayley Williams and Fastball both perform what type of music?,American rock,rock
Battle of Kosovo was the culmination of a Hungarian offensive to avenge the defeat in a battle that took place on which day ?,10 November 1444,10 November 1444
The vocal co-leader of the band Fitz and the Tantrums is from what city?,Los Angeles,Los Angeles
What was the capital of the union of provinces in the Río de la Plata comprised by most of the former dependencies from the last to be organized and also the shortest-lived of the Viceroyalties of the Spanish Empire in the Americas?,Buenos Aires,Buenos Aires
Laurence Naismith starred in a 1970 musical film adaption in Panavision of which Charles Dickens' story?,"""A Christmas Carol""",Scrooge
