condition,example_id,query_idx,rate,tokens,selector_mass,stable_frequency_mass,random_mass,oracle_attention_mass
"FusionRAG-QK(preprocess,32q)",0,0,0.05,355,0.3670055935730824,0.35675439973832157,0.04889494773293711,0.3670055935730824
"FusionRAG-QK(preprocess,32q)",0,1,0.05,355,0.365857628921853,0.35908053442981075,0.044366594026787776,0.365857628921853
"FusionRAG-QK(preprocess,32q)",0,2,0.05,355,0.3605035891319513,0.3532044778583096,0.05579819930392954,0.3605035891319513
"FusionRAG-QK(preprocess,32q)",0,3,0.05,355,0.37157478453817294,0.3637747688514503,0.05028105727829711,0.37157478453817294
"FusionRAG-QK(preprocess,32q)",0,4,0.05,355,0.3657614049723277,0.35926586259367155,0.049554204960028034,0.3657614049723277
"FusionRAG-QK(preprocess,32q)",0,5,0.05,355,0.37623166593724877,0.37034329290877654,0.04815703257535329,0.37623166593724877
"FusionRAG-QK(preprocess,32q)",0,6,0.05,355,0.37301676729345357,0.36672970220291523,0.05208579648847317,0.37301676729345357
"FusionRAG-QK(preprocess,32q)",0,7,0.05,355,0.37085406717502156,0.3636286816118339,0.05008953642293967,0.37085406717502156
"FusionRAG-QK(preprocess,32q)",0,8,0.05,355,0.37258980189862045,0.3656087862400043,0.045866333025648354,0.37258980189862045
"FusionRAG-QK(preprocess,32q)",0,9,0.05,355,0.3741398598435591,0.36873643825363267,0.053035710419148674,0.3741398598435591
"FusionRAG-QK(preprocess,32q)",0,10,0.05,355,0.3713428865574443,0.3631968723951852,0.04665901366029644,0.3713428865574443
"FusionRAG-QK(preprocess,32q)",0,11,0.05,355,0.35345393240214656,0.340373230430364,0.049298327607429304,0.35345393240214656
"FusionRAG-QK(preprocess,32q)",0,12,0.05,355,0.39534460861554505,0.3856730678797104,0.049254634628263225,0.39534460861554505
"FusionRAG-QK(preprocess,32q)",0,13,0.05,355,0.3515032020122801,0.3407635826837098,0.04684986851311157,0.3515032020122801
"FusionRAG-QK(preprocess,32q)",0,14,0.05,355,0.3652273045750033,0.35828433905814655,0.05182593195621267,0.3652273045750033
"FusionRAG-QK(preprocess,32q)",0,15,0.05,355,0.3674653448662634,0.35149645070837743,0.04603758032221673,0.3674653448662634
"FusionRAG-QK(preprocess,32q)",0,16,0.05,355,0.36485992251309124,0.3601527604955541,0.05206273604351717,0.36485992251309124
"FusionRAG-QK(preprocess,32q)",0,17,0.05,355,0.37701763046838466,0.3705109754163254,0.047077348830188666,0.37701763046838466
"FusionRAG-QK(preprocess,32q)",0,18,0.05,355,0.3644156376749514,0.3504959395337936,0.05092353569508794,0.3644156376749514
"FusionRAG-QK(preprocess,32q)",0,19,0.05,355,0.38103892600942424,0.3730134227858927,0.04563972888855883,0.38103892600942424
