dataset,method,rate,segment,source_csv,source_row,Question,Real Answer,Pred Answer,Predicted_Clean,Rejudge_Correct,Rejudge_Reason,Rejudge_Raw
2wikimqa-v2,preprocess_rate0,0.0,seg_0_200,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/preprocess_rate0/2wikimqa-v2/rate_0p0/seg_0_200/csv/reprocess_method_FusionRAG_rate_0.0_revert_rope_True_topk_10.csv,0,Where was the wife of Francis I Rákóczi born?,Ozalj,"9 May 1849 in Heian-kyō, Japan","9 May 1849 in Heian-kyō, Japan",False,预测答案给出的地点是日本平安京，且时间是1849年，这与标准答案“Ozalj”完全不符。预测答案没有包含标准答案的关键信息，两者在语义上完全不一致，因此判断为错误。,"判断: 错误
原因: 预测答案给出的地点是日本平安京，且时间是1849年，这与标准答案“Ozalj”完全不符。预测答案没有包含标准答案的关键信息，两者在语义上完全不一致，因此判断为错误。"
2wikimqa-v2,preprocess_rate0,0.0,seg_0_200,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/preprocess_rate0/2wikimqa-v2/rate_0p0/seg_0_200/csv/reprocess_method_FusionRAG_rate_0.0_revert_rope_True_topk_10.csv,1,Who is Sobe (Sister Of Saint Anne)'s grandchild?,John the Baptist,Elizabeth,Elizabeth,False,预测答案“Elizabeth”与标准答案“John the Baptist”完全不同。根据判断标准，预测答案未包含标准答案的关键信息，且两者在语义上并不等价，因此判定为错误。,"判断: 错误
原因: 预测答案“Elizabeth”与标准答案“John the Baptist”完全不同。根据判断标准，预测答案未包含标准答案的关键信息，且两者在语义上并不等价，因此判定为错误。"
2wikimqa-v2,preprocess_rate0,0.0,seg_0_200,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/preprocess_rate0/2wikimqa-v2/rate_0p0/seg_0_200/csv/reprocess_method_FusionRAG_rate_0.0_revert_rope_True_topk_10.csv,2,Where does the director of film Man At Bath work at?,Cahiers du cinéma,Christophe Honoré,Christophe Honoré,False,预测答案“Christophe Honoré”是电影《Man At Bath》的导演名字，而问题询问的是该导演的工作地点。标准答案为“Cahiers du cinéma”。预测答案未包含标准答案的关键信息，且语义完全不同，因此判断为错误。,"判断: 错误
原因: 预测答案“Christophe Honoré”是电影《Man At Bath》的导演名字，而问题询问的是该导演的工作地点。标准答案为“Cahiers du cinéma”。预测答案未包含标准答案的关键信息，且语义完全不同，因此判断为错误。"
2wikimqa-v2,preprocess_rate0,0.0,seg_0_200,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/preprocess_rate0/2wikimqa-v2/rate_0p0/seg_0_200/csv/reprocess_method_FusionRAG_rate_0.0_revert_rope_True_topk_10.csv,3,Do both Beauty And The Bad Man and Wild Child (Film) films have the directors from the same country?,no,yes,yes,False,预测答案为“yes”，而标准答案为“no”。两者在语义上完全相反，预测答案没有包含标准答案的关键信息，因此判断为错误。,"判断: 错误
原因: 预测答案为“yes”，而标准答案为“no”。两者在语义上完全相反，预测答案没有包含标准答案的关键信息，因此判断为错误。"
2wikimqa-v2,preprocess_rate0,0.0,seg_0_200,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/preprocess_rate0/2wikimqa-v2/rate_0p0/seg_0_200/csv/reprocess_method_FusionRAG_rate_0.0_revert_rope_True_topk_10.csv,4,"What is the date of birth of William Paulet, 3Rd Marquess Of Winchester's father?",1510,c. 1532,c. 1532,False,预测答案给出的出生日期是1532年，而标准答案明确指出其父亲的出生日期是1510年。两者在年份上存在明显差异，且语义上不等价，因此预测答案未能正确回答问题。,"判断: 错误
原因: 预测答案给出的出生日期是1532年，而标准答案明确指出其父亲的出生日期是1510年。两者在年份上存在明显差异，且语义上不等价，因此预测答案未能正确回答问题。"
2wikimqa-v2,preprocess_rate0,0.0,seg_0_200,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/preprocess_rate0/2wikimqa-v2/rate_0p0/seg_0_200/csv/reprocess_method_FusionRAG_rate_0.0_revert_rope_True_topk_10.csv,5,"Who is Edward Watson, Viscount Sondes's paternal grandfather?",Edward Watson,"Lewis Watson, 1st Earl of Rockingham","Lewis Watson, 1st Earl of Rockingham",False,"预测答案给出的名字是“Lewis Watson, 1st Earl of Rockingham”，而标准答案为“Edward Watson”。两者所指代的人物名字完全不同，预测答案未包含标准答案的关键信息，且语义上不等价，因此判断为错误。","判断: 错误
原因: 预测答案给出的名字是“Lewis Watson, 1st Earl of Rockingham”，而标准答案为“Edward Watson”。两者所指代的人物名字完全不同，预测答案未包含标准答案的关键信息，且语义上不等价，因此判断为错误。"
2wikimqa-v2,preprocess_rate0,0.0,seg_0_200,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/preprocess_rate0/2wikimqa-v2/rate_0p0/seg_0_200/csv/reprocess_method_FusionRAG_rate_0.0_revert_rope_True_topk_10.csv,6,"What is the date of death of Humphrey De Bohun, 7Th Earl Of Hereford's father?",16 September 1360,1275,1275,False,预测答案给出的日期是1275，而标准答案明确指出死亡日期是1360年9月16日。两者在年份和具体信息上完全不一致，因此预测答案未能正确回答问题。,"判断: 错误
原因: 预测答案给出的日期是1275，而标准答案明确指出死亡日期是1360年9月16日。两者在年份和具体信息上完全不一致，因此预测答案未能正确回答问题。"
2wikimqa-v2,preprocess_rate0,0.0,seg_0_200,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/preprocess_rate0/2wikimqa-v2/rate_0p0/seg_0_200/csv/reprocess_method_FusionRAG_rate_0.0_revert_rope_True_topk_10.csv,7,Who is Helmichis's father-in-law?,Cunimund,Rosamund,Rosamund,False,预测答案“Rosamund”与标准答案“Cunimund”不一致。根据历史记载，Rosamund是Helmichis的配偶，而Cunimund才是其配偶的父亲（即岳父）。因此，预测答案未能包含标准答案的关键信息，回答错误。,"判断: 错误
原因: 预测答案“Rosamund”与标准答案“Cunimund”不一致。根据历史记载，Rosamund是Helmichis的配偶，而Cunimund才是其配偶的父亲（即岳父）。因此，预测答案未能包含标准答案的关键信息，回答错误。"
2wikimqa-v2,preprocess_rate0,0.0,seg_0_200,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/preprocess_rate0/2wikimqa-v2/rate_0p0/seg_0_200/csv/reprocess_method_FusionRAG_rate_0.0_revert_rope_True_topk_10.csv,8,Where did Helena Carroll's father study?,St Patrick's College,"St Patrick's College, Dublin","St Patrick's College, Dublin",True,"预测答案“St Patrick's College, Dublin”包含了标准答案“St Patrick's College”的核心信息，附加的“Dublin”只是对学校所在地的进一步补充说明。两者在语义上完全等价，符合允许措辞细微差异的判断标准。","判断: 正确
原因: 预测答案“St Patrick's College, Dublin”包含了标准答案“St Patrick's College”的核心信息，附加的“Dublin”只是对学校所在地的进一步补充说明。两者在语义上完全等价，符合允许措辞细微差异的判断标准。"
2wikimqa-v2,preprocess_rate0,0.0,seg_0_200,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/preprocess_rate0/2wikimqa-v2/rate_0p0/seg_0_200/csv/reprocess_method_FusionRAG_rate_0.0_revert_rope_True_topk_10.csv,9,Where does the director of film Wine Of Morning work at?,Bob Jones University,Answer: Bob Jones University,Bob Jones University,True,预测答案“Bob Jones University”与标准答案完全一致，包含了标准答案的所有关键信息，在语义上完全等价，准确地回答了电影《Wine Of Morning》导演的工作地点问题。,"判断: 正确
原因: 预测答案“Bob Jones University”与标准答案完全一致，包含了标准答案的所有关键信息，在语义上完全等价，准确地回答了电影《Wine Of Morning》导演的工作地点问题。"
