dataset,method,rate,segments,main_correct,main_total,main_acc,sub_correct,sub_total,sub_acc,avg_f1,avg_em,sources
2wikimqa,online_qk,0.0,8,78,200,0.39,78,200,0.39,0.30183750000000004,0.185,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_cross_dataset_online_qk_draft_rate_sweep_canonical_20260714
2wikimqa,online_qk,0.1,8,91,200,0.455,91,200,0.455,0.32981249999999995,0.19,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_cross_dataset_online_qk_draft_rate_sweep_canonical_20260714
2wikimqa,online_qk,0.15,8,95,200,0.475,95,200,0.475,0.35661249999999994,0.21,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_cross_dataset_online_qk_draft_rate015_canonical_20260714
2wikimqa,online_qk,0.3,8,99,200,0.495,99,200,0.495,0.378575,0.24,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_cross_dataset_online_qk_draft_rate_sweep_canonical_20260714
2wikimqa,online_qk,0.5,8,99,200,0.495,99,200,0.495,0.39266249999999997,0.23,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_cross_dataset_online_qk_draft_rate_sweep_canonical_20260714
2wikimqa,online_qk,0.8,8,104,200,0.52,104,200,0.52,0.40363750000000004,0.255,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_cross_dataset_online_qk_draft_rate_sweep_canonical_20260714
2wikimqa,online_qk,0.9,8,102,200,0.51,102,200,0.51,0.40720000000000006,0.245,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_cross_dataset_online_qk_draft_rate_sweep_canonical_20260714
2wikimqa,online_draft,0.0,8,78,200,0.39,78,200,0.39,0.30183750000000004,0.185,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_cross_dataset_online_qk_draft_rate_sweep_canonical_20260714
2wikimqa,online_draft,0.1,8,92,200,0.46,92,200,0.46,0.3375,0.19,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_cross_dataset_online_qk_draft_rate_sweep_canonical_20260714
2wikimqa,online_draft,0.15,8,94,200,0.47,94,200,0.47,0.3694875,0.205,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_cross_dataset_online_qk_draft_rate015_canonical_20260714
2wikimqa,online_draft,0.3,8,100,200,0.5,100,200,0.5,0.36697500000000005,0.205,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_cross_dataset_online_qk_draft_rate_sweep_canonical_20260714
2wikimqa,online_draft,0.5,8,102,200,0.51,102,200,0.51,0.372475,0.215,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_cross_dataset_online_qk_draft_rate_sweep_canonical_20260714
