dataset,method,rate,csv_files,raw_rows,unique_sub_rows,main_correct,main_total,main_acc,sub_correct,sub_total,sub_acc,avg_f1,avg_em
2wikimqa,online_qk,0.0,8,200,200,78,200,0.39,78,200,0.39,0.30183001084207167,0.185
2wikimqa,online_qk,0.1,8,200,200,91,200,0.455,91,200,0.455,0.32981711876585407,0.19
2wikimqa,online_qk,0.3,8,200,200,99,200,0.495,99,200,0.495,0.3785627355438909,0.24
2wikimqa,online_qk,0.5,8,200,200,99,200,0.495,99,200,0.495,0.39266497408274004,0.23
2wikimqa,online_qk,0.8,4,100,100,51,100,0.51,51,100,0.51,0.3975075103881894,0.27
2wikimqa,online_qk,0.9,0,0,0,0,0,,0,0,,,
2wikimqa,online_draft,0.0,8,200,200,78,200,0.39,78,200,0.39,0.30183001084207167,0.185
2wikimqa,online_draft,0.1,8,200,200,92,200,0.46,92,200,0.46,0.3374897787361559,0.19
2wikimqa,online_draft,0.3,8,200,200,100,200,0.5,100,200,0.5,0.3669852801415185,0.205
2wikimqa,online_draft,0.5,7,175,175,90,175,0.5142857142857142,90,175,0.5142857142857142,0.36958950789098716,0.21714285714285714
2wikimqa,online_draft,0.8,1,25,25,13,25,0.52,13,25,0.52,0.3727411477411477,0.28
2wikimqa,online_draft,0.9,0,0,0,0,0,,0,0,,,
hotpotqa,online_qk,0.0,11,260,260,216,260,0.8307692307692308,216,260,0.8307692307692308,0.5820236650101728,0.4346153846153846
hotpotqa,online_qk,0.1,11,260,260,220,260,0.8461538461538461,220,260,0.8461538461538461,0.6162317231655567,0.4807692307692308
hotpotqa,online_qk,0.3,11,260,260,224,260,0.8615384615384616,224,260,0.8615384615384616,0.6490706404357448,0.5038461538461538
hotpotqa,online_qk,0.5,11,260,260,219,260,0.8423076923076923,219,260,0.8423076923076923,0.6259433117328062,0.47692307692307695
hotpotqa,online_qk,0.8,2,50,50,46,50,0.92,46,50,0.92,0.6957628207628207,0.5
hotpotqa,online_qk,0.9,0,0,0,0,0,,0,0,,,
hotpotqa,online_draft,0.0,11,260,260,214,260,0.823076923076923,214,260,0.823076923076923,0.5820236650101728,0.4346153846153846
hotpotqa,online_draft,0.1,11,260,260,225,260,0.8653846153846154,225,260,0.8653846153846154,0.5840343749108751,0.45384615384615384
hotpotqa,online_draft,0.3,11,260,260,223,260,0.8576923076923076,223,260,0.8576923076923076,0.618116769764842,0.48846153846153845
hotpotqa,online_draft,0.5,11,260,260,225,260,0.8653846153846154,225,260,0.8653846153846154,0.6348605531054283,0.5076923076923077
hotpotqa,online_draft,0.8,0,0,0,0,0,,0,0,,,
hotpotqa,online_draft,0.9,0,0,0,0,0,,0,0,,,
triviaqa,online_qk,0.0,11,270,270,235,270,0.8703703703703703,235,270,0.8703703703703703,0.5576672129307065,0.42962962962962964
triviaqa,online_qk,0.1,11,270,270,234,270,0.8666666666666667,234,270,0.8666666666666667,0.6302164115336134,0.5074074074074074
triviaqa,online_qk,0.3,11,270,270,243,270,0.9,243,270,0.9,0.6501794469080251,0.5259259259259259
triviaqa,online_qk,0.5,11,270,270,245,270,0.9074074074074074,245,270,0.9074074074074074,0.6584383587986669,0.5444444444444444
triviaqa,online_qk,0.8,10,245,245,225,245,0.9183673469387755,225,245,0.9183673469387755,0.6805029463967273,0.5551020408163265
triviaqa,online_qk,0.9,0,0,0,0,0,,0,0,,,
triviaqa,online_draft,0.0,11,270,270,234,270,0.8666666666666667,234,270,0.8666666666666667,0.5576672129307065,0.42962962962962964
triviaqa,online_draft,0.1,11,270,270,237,270,0.8777777777777778,237,270,0.8777777777777778,0.637446935443943,0.5333333333333333
triviaqa,online_draft,0.3,11,270,270,242,270,0.8962962962962963,242,270,0.8962962962962963,0.6599193860126048,0.5592592592592592
triviaqa,online_draft,0.5,11,270,270,244,270,0.9037037037037037,244,270,0.9037037037037037,0.665501798041519,0.5592592592592592
triviaqa,online_draft,0.8,5,120,120,113,120,0.9416666666666667,113,120,0.9416666666666667,0.7678499941268171,0.6666666666666666
triviaqa,online_draft,0.9,0,0,0,0,0,,0,0,,,
