done_docs=20/911 ok_questions=88544
done_docs=40/911 ok_questions=89184
done_docs=60/911 ok_questions=89824
done_docs=80/911 ok_questions=90464
done_docs=100/911 ok_questions=91104
done_docs=120/911 ok_questions=91744
done_docs=140/911 ok_questions=92384
done_docs=160/911 ok_questions=93024
done_docs=180/911 ok_questions=93664
done_docs=200/911 ok_questions=94304
done_docs=220/911 ok_questions=94944
done_docs=240/911 ok_questions=95584
done_docs=260/911 ok_questions=96224
done_docs=280/911 ok_questions=96864
done_docs=300/911 ok_questions=97504
done_docs=320/911 ok_questions=98144
done_docs=340/911 ok_questions=98784
done_docs=360/911 ok_questions=99424
done_docs=380/911 ok_questions=100064
done_docs=400/911 ok_questions=100704
done_docs=420/911 ok_questions=101344
done_docs=440/911 ok_questions=101984
done_docs=460/911 ok_questions=102624
done_docs=480/911 ok_questions=103264
done_docs=500/911 ok_questions=103904
done_docs=520/911 ok_questions=104544
done_docs=540/911 ok_questions=105184
done_docs=560/911 ok_questions=105824
done_docs=580/911 ok_questions=106464
done_docs=600/911 ok_questions=107104
done_docs=620/911 ok_questions=107744
done_docs=640/911 ok_questions=108384
done_docs=660/911 ok_questions=109024
done_docs=680/911 ok_questions=109664
done_docs=700/911 ok_questions=110304
done_docs=720/911 ok_questions=110944
done_docs=740/911 ok_questions=111584
done_docs=760/911 ok_questions=112224
done_docs=780/911 ok_questions=112864
done_docs=800/911 ok_questions=113504
done_docs=820/911 ok_questions=114144
done_docs=840/911 ok_questions=114784
done_docs=860/911 ok_questions=115424
done_docs=880/911 ok_questions=116064
done_docs=900/911 ok_questions=116704
wrote 109056 query rows for 3408 docs to MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/generated_queries
