example_id,chunk_id,method,rate,chunk_len,selected_count,max_count
0,1,online_draft_trace_frequency_per_chunk,0.15,50,7,2
0,2,online_draft_trace_frequency_per_chunk,0.15,92,13,2
0,3,online_draft_trace_frequency_per_chunk,0.15,76,11,1
0,4,online_draft_trace_frequency_per_chunk,0.15,98,14,1
0,5,online_draft_trace_frequency_per_chunk,0.15,52,7,1
0,6,online_draft_trace_frequency_per_chunk,0.15,214,32,1
0,7,online_draft_trace_frequency_per_chunk,0.15,121,18,1
0,8,online_draft_trace_frequency_per_chunk,0.15,301,45,1
0,9,online_draft_trace_frequency_per_chunk,0.15,84,12,1
0,10,online_draft_trace_frequency_per_chunk,0.15,83,12,1
1,1,online_draft_trace_frequency_per_chunk,0.15,90,13,2
1,2,online_draft_trace_frequency_per_chunk,0.15,85,12,1
1,3,online_draft_trace_frequency_per_chunk,0.15,130,19,1
1,4,online_draft_trace_frequency_per_chunk,0.15,86,12,1
1,5,online_draft_trace_frequency_per_chunk,0.15,135,20,1
1,6,online_draft_trace_frequency_per_chunk,0.15,217,32,1
1,7,online_draft_trace_frequency_per_chunk,0.15,56,8,1
1,8,online_draft_trace_frequency_per_chunk,0.15,216,32,1
1,9,online_draft_trace_frequency_per_chunk,0.15,113,16,1
1,10,online_draft_trace_frequency_per_chunk,0.15,77,11,1
2,1,online_draft_trace_frequency_per_chunk,0.15,64,9,2
2,2,online_draft_trace_frequency_per_chunk,0.15,122,18,1
2,3,online_draft_trace_frequency_per_chunk,0.15,88,13,1
2,4,online_draft_trace_frequency_per_chunk,0.15,48,7,1
2,5,online_draft_trace_frequency_per_chunk,0.15,185,27,1
2,6,online_draft_trace_frequency_per_chunk,0.15,63,9,1
2,7,online_draft_trace_frequency_per_chunk,0.15,99,14,1
2,8,online_draft_trace_frequency_per_chunk,0.15,106,15,1
2,9,online_draft_trace_frequency_per_chunk,0.15,234,35,1
2,10,online_draft_trace_frequency_per_chunk,0.15,368,55,1
3,1,online_draft_trace_frequency_per_chunk,0.15,108,16,3
3,2,online_draft_trace_frequency_per_chunk,0.15,92,13,3
3,3,online_draft_trace_frequency_per_chunk,0.15,90,13,1
3,4,online_draft_trace_frequency_per_chunk,0.15,170,25,2
3,5,online_draft_trace_frequency_per_chunk,0.15,141,21,2
3,6,online_draft_trace_frequency_per_chunk,0.15,200,30,2
3,7,online_draft_trace_frequency_per_chunk,0.15,52,7,2
3,8,online_draft_trace_frequency_per_chunk,0.15,143,21,2
3,9,online_draft_trace_frequency_per_chunk,0.15,68,10,2
3,10,online_draft_trace_frequency_per_chunk,0.15,90,13,2
3,11,online_draft_trace_frequency_per_chunk,0.15,89,13,1
4,1,online_draft_trace_frequency_per_chunk,0.15,96,14,2
4,2,online_draft_trace_frequency_per_chunk,0.15,139,20,1
4,3,online_draft_trace_frequency_per_chunk,0.15,192,28,1
4,4,online_draft_trace_frequency_per_chunk,0.15,126,18,1
4,5,online_draft_trace_frequency_per_chunk,0.15,265,39,2
4,6,online_draft_trace_frequency_per_chunk,0.15,74,11,1
4,7,online_draft_trace_frequency_per_chunk,0.15,60,9,1
4,8,online_draft_trace_frequency_per_chunk,0.15,45,6,1
4,9,online_draft_trace_frequency_per_chunk,0.15,79,11,1
4,10,online_draft_trace_frequency_per_chunk,0.15,102,15,1
4,11,online_draft_trace_frequency_per_chunk,0.15,148,22,2
4,12,online_draft_trace_frequency_per_chunk,0.15,139,20,2
4,13,online_draft_trace_frequency_per_chunk,0.15,149,22,1
4,14,online_draft_trace_frequency_per_chunk,0.15,228,34,1
4,15,online_draft_trace_frequency_per_chunk,0.15,196,29,1
4,16,online_draft_trace_frequency_per_chunk,0.15,72,10,1
4,17,online_draft_trace_frequency_per_chunk,0.15,88,13,1
4,18,online_draft_trace_frequency_per_chunk,0.15,86,12,1
4,19,online_draft_trace_frequency_per_chunk,0.15,321,48,1
6,1,online_draft_trace_frequency_per_chunk,0.15,183,27,1
6,2,online_draft_trace_frequency_per_chunk,0.15,84,12,1
6,3,online_draft_trace_frequency_per_chunk,0.15,154,23,1
6,4,online_draft_trace_frequency_per_chunk,0.15,244,36,1
6,5,online_draft_trace_frequency_per_chunk,0.15,86,12,2
6,6,online_draft_trace_frequency_per_chunk,0.15,49,7,1
6,7,online_draft_trace_frequency_per_chunk,0.15,203,30,1
6,8,online_draft_trace_frequency_per_chunk,0.15,140,21,1
6,9,online_draft_trace_frequency_per_chunk,0.15,113,16,1
6,10,online_draft_trace_frequency_per_chunk,0.15,148,22,1
7,1,online_draft_trace_frequency_per_chunk,0.15,154,23,3
7,2,online_draft_trace_frequency_per_chunk,0.15,84,12,2
7,3,online_draft_trace_frequency_per_chunk,0.15,152,22,1
7,4,online_draft_trace_frequency_per_chunk,0.15,254,38,1
7,5,online_draft_trace_frequency_per_chunk,0.15,49,7,2
7,6,online_draft_trace_frequency_per_chunk,0.15,203,30,2
7,7,online_draft_trace_frequency_per_chunk,0.15,37,5,1
7,8,online_draft_trace_frequency_per_chunk,0.15,183,27,2
7,9,online_draft_trace_frequency_per_chunk,0.15,244,36,1
7,10,online_draft_trace_frequency_per_chunk,0.15,227,34,1
7,11,online_draft_trace_frequency_per_chunk,0.15,86,12,2
7,12,online_draft_trace_frequency_per_chunk,0.15,140,21,1
7,13,online_draft_trace_frequency_per_chunk,0.15,42,6,1
7,14,online_draft_trace_frequency_per_chunk,0.15,148,22,1
7,15,online_draft_trace_frequency_per_chunk,0.15,137,20,1
9,1,online_draft_trace_frequency_per_chunk,0.15,205,30,3
9,2,online_draft_trace_frequency_per_chunk,0.15,152,22,2
9,3,online_draft_trace_frequency_per_chunk,0.15,321,48,2
9,4,online_draft_trace_frequency_per_chunk,0.15,212,31,1
9,5,online_draft_trace_frequency_per_chunk,0.15,228,34,2
9,6,online_draft_trace_frequency_per_chunk,0.15,154,23,2
9,7,online_draft_trace_frequency_per_chunk,0.15,139,20,1
9,8,online_draft_trace_frequency_per_chunk,0.15,265,39,1
9,9,online_draft_trace_frequency_per_chunk,0.15,196,29,2
9,10,online_draft_trace_frequency_per_chunk,0.15,126,18,1
9,11,online_draft_trace_frequency_per_chunk,0.15,152,22,2
9,12,online_draft_trace_frequency_per_chunk,0.15,162,24,1
9,13,online_draft_trace_frequency_per_chunk,0.15,333,49,1
9,14,online_draft_trace_frequency_per_chunk,0.15,311,46,1
