Question,Real Answer,Pred Answer
Who was the first African American student at the university Robert Khayat was educated at?,James Howard Meredith,James Meredith
Who gives out the prize named after the author of Lectures on Jurisprudence?,University of Cambridge,The Adam Smith Prize is given out by the Royal Society of Chemistry.
Who is Frances Freeling Broderip's sibling?,Tom Hood,Tom Hood
Who is the spouse of the person who voices Jarvis in Iron Man?,Jennifer Connelly,LaTanya Richardson Jackson
What is the source of the river that is the mouth of the Caledon River?,Thaba Putsoa,Orange River
What is the name of the famous bridge located in the birthplace of the composer of Nulla in mundo pax sincera?,Rialto Bridge,Royal Albert Bridge
When did the party that gained control of Congress in the midterm elections in 1946 take control of the government branch that determines the rules of the US House?,January 2015,1946
Where did the producer of Julius Caesar study or work?,Clifton College,"John Houseman, the producer of Julius Caesar, studied at Clifton College in England. He worked in the grain trade in London before emigrating to the United States in 1925."
Mehmet Hayri Tarhan's birthplace is the capital of what municipality?,Malko Tarnovo Municipality,Malko Tarnovo
What is the performer of Heartbeat named after?,Natalie Albino,Nina Sky
