example_id,query_idx,query_type,source_example,source_sub,query,doc_len,selected_count
0,0,related,0,-1,What is the network which National Cycle Route 57 is part of an example of?,1171,175
0,1,related,0,0,What network is National Cycle Route 57 part of?,1171,175
0,2,unrelated,36,1,"Which county is Greenfield, Indiana located in?",1171,175
0,3,unrelated,4,1,When was King Henry III of England crowned?,1171,175
0,4,unrelated,49,2,Where did Malcolm Graham die?,1171,175
0,5,unrelated,22,-1,What group was the performer of Be the One a member of?,1171,175
0,6,unrelated,3,0,Who is the child of Peter Andreas Heiberg?,1171,175
0,7,unrelated,28,-1,Who is the spouse of the actress who played the fairy god mother in Shrek 2?,1171,175
0,8,unrelated,73,-1,When is the next episode of the series that Steven the Sword Fighter is a part of being released?,1171,175
0,9,unrelated,78,-1,What award was received by the person who authored Missing Person?,1171,175
0,10,unrelated,17,-1,"In the King's Speech, who played the person who was the King of England in 1950?",1171,175
0,11,unrelated,19,-1,What team was Anna Benson's husband on?,1171,175
0,12,unrelated,42,2,Who is the spouse of Jennifer Saunders?,1171,175
0,13,unrelated,2,0,Where is Coffee Swamp located?,1171,175
0,14,unrelated,77,0,Where did Richard Feynman work on the Water Boiler reactor?,1171,175
0,15,unrelated,11,1,Who is the lead singer of the band Art Brut?,1171,175
0,16,unrelated,31,0,Which university did Paulo Manalo attend?,1171,175
0,17,unrelated,67,2,Rabat Ajax F.C. current league,1171,175
0,18,unrelated,33,-1,What administrative territorial entity contains the place where KPRM is licensed to broadcast to?,1171,175
0,19,unrelated,71,-1,Who is the voice of the character in Spongebob Squarepants with the same name as the creature that annelid larvae live like?,1171,175
0,20,unrelated,37,-1,Who was the sibling of Nannina de' Medici?,1171,175
0,21,unrelated,64,0,Who is the publisher of In the Shadow of Greatness?,1171,175
0,22,unrelated,65,0,Who played Thelma in the movie Thelma and Louise?,1171,175
0,23,unrelated,62,-1,What is the birthplace of the person after whom São José dos Campos was named?,1171,175
0,24,unrelated,27,1,Who is Harry Hamlin's spouse?,1171,175
0,25,unrelated,30,-1,Who is the spouse of Young Man Luther's author?,1171,175
0,26,unrelated,25,0,What is the administrative territorial entity that contains Juba?,1171,175
0,27,unrelated,61,0,Who is the spouse of Frances Tupper?,1171,175
0,28,unrelated,43,-1,What county shares a border with Cedar Springs?,1171,175
0,29,unrelated,39,1,Who founded the Janatha Vimukthi Peramuna political party?,1171,175
0,30,unrelated,49,0,In which city did Malcolm Graham die?,1171,175
0,31,unrelated,77,-1,Who was the US physicist who directed the project that developed the first atomic bomb at the same place where Feynman worked on Water Boiler?,1171,175
0,32,unrelated,58,0,Where was James Finch born?,1171,175
0,33,unrelated,36,0,Where was Mark Dismore born?,1171,175
1,0,related,1,-1,What district is the headquarter of Julia's House located?,1205,180
1,1,related,1,0,Where is the headquarters of Julia's House located?,1205,180
1,2,unrelated,75,0,Who was the candidate that received a million votes in the 1920 election while in prison?,1205,180
1,3,unrelated,52,1,Which character did Geena Davis play in the film A League of Their Own?,1205,180
1,4,unrelated,22,2,Was Jackie Jackson a member of a musical group?,1205,180
1,5,unrelated,47,-1,Who is the spouse of the person who sang holding out for a hero in shrek 2?,1205,180
1,6,unrelated,11,-1,Who is the lead singer of the band performing Bang Bang Rock & Roll?,1205,180
1,7,unrelated,69,1,Which record label is Zendaya signed to?,1205,180
1,8,unrelated,56,-1,The territory containing Bansaan Island is located at which island?,1205,180
1,9,unrelated,66,-1,What political party was the socialist candidate part of who ran for president in 1912?,1205,180
1,10,unrelated,13,0,Who is Katherine of England?,1205,180
1,11,unrelated,13,-1,What year was the father of Katherine of England crowned?,1205,180
1,12,unrelated,45,-1,Who is the father of Empress Wang's husband?,1205,180
1,13,unrelated,36,-1,In which county is Mark Dismore's birthplace located?,1205,180
1,14,unrelated,27,0,Who are the cast members of King of the Mountain?,1205,180
1,15,unrelated,32,1,Who played King George VI in the film 'The King's Speech'?,1205,180
1,16,unrelated,35,1,What year did Andrew Lang die?,1205,180
1,17,unrelated,19,0,Who is Anna Benson's husband?,1205,180
1,18,unrelated,4,0,"Who were the siblings of Alice de Lusignan, Countess of Surrey?",1205,180
1,19,unrelated,44,2,Which counties border Hastings County in Ontario?,1205,180
1,20,unrelated,51,-1,What character in A League of their Own was played by the actress who played Thelma in the movie Thelma and Louise?,1205,180
1,21,unrelated,78,-1,What award was received by the person who authored Missing Person?,1205,180
1,22,unrelated,72,-1,Who is part of the band that performed Full Cooperation?,1205,180
1,23,unrelated,48,-1,Who is the employer of the person Mach's principle was named after?,1205,180
1,24,unrelated,48,0,Who is Mach's principle named after?,1205,180
1,25,unrelated,52,0,Who played Thelma in Thelma and Louise?,1205,180
1,26,unrelated,27,-1,Who is the spouse of a cast member from King of the Mountain?,1205,180
1,27,unrelated,60,-1,Who is the other child of Chian Hsiao-chang's father?,1205,180
1,28,unrelated,13,1,What year was King Henry III of England crowned?,1205,180
1,29,unrelated,53,-1,Who is the child of Chiang Hsiao-wen's father?,1205,180
1,30,unrelated,57,0,Where was Ernie Watts born?,1205,180
1,31,unrelated,14,-1,Who is the sibling of the actress that played the little girl in Miracle on 34th street 1947?,1205,180
1,32,unrelated,49,-1,Who has played for West Ham Ajax and the team from the city where Malcolm Graham died?,1205,180
1,33,unrelated,73,0,What series is Steven the Sword Fighter a character in?,1205,180
2,0,related,2,-1,What body of water includes the terrain feature where Coffee Swamp is located?,1377,206
2,1,related,2,0,Where is Coffee Swamp located?,1377,206
2,2,unrelated,61,-1,Where was the spouse of Frances Tupper born?,1377,206
2,3,unrelated,67,0,Which team uses the Rabat Ajax Football Ground?,1377,206
2,4,unrelated,24,1,What record label is Joni James signed to?,1377,206
2,5,unrelated,5,1,What company did Compaq merge with in 2002?,1377,206
2,6,unrelated,49,3,Where did Malcolm Graham die?,1377,206
2,7,unrelated,51,-1,What character in A League of their Own was played by the actress who played Thelma in the movie Thelma and Louise?,1377,206
2,8,unrelated,18,1,Who is Natalie Wood's brother?,1377,206
2,9,unrelated,51,0,Who played Thelma in Thelma and Louise?,1377,206
2,10,unrelated,36,-1,In which county is Mark Dismore's birthplace located?,1377,206
2,11,unrelated,25,0,What is the administrative territorial entity that contains Juba?,1377,206
2,12,unrelated,46,0,Who was the king of England in 1951?,1377,206
2,13,unrelated,17,1,Which actor played King George VI in the film 'The King's Speech'?,1377,206
2,14,unrelated,39,0,What is the name of the political party of Dimuthu Bandara Abayakoon?,1377,206
2,15,unrelated,46,-1,Who played the king that was king of england in 1951 in the king's speech?,1377,206
2,16,unrelated,73,2,Is Steven Universe still ongoing with new episodes planned?,1377,206
2,17,unrelated,28,3,Who is the spouse of the actress who played the fairy god mother in Shrek 2?,1377,206
2,18,unrelated,19,1,What team did Kris Benson play for in Major League Baseball?,1377,206
2,19,unrelated,62,1,Where was Saint Joseph (São José) born?,1377,206
2,20,unrelated,15,0,In which county is Pine Springs located?,1377,206
2,21,unrelated,35,0,Who is the author of Prince Prigio?,1377,206
2,22,unrelated,79,1,Which Bollywood movies feature both Preity Zinta and Madhuri Dixit in their cast?,1377,206
2,23,unrelated,37,-1,Who was the sibling of Nannina de' Medici?,1377,206
2,24,unrelated,18,-1,Whose sister played Susie in miracle on 34th street?,1377,206
2,25,unrelated,48,1,Who was Ernst Mach's employer during the period when he was associated with Mach's principle?,1377,206
2,26,unrelated,16,0,Who was the top PC manufacturer in 1994?,1377,206
2,27,unrelated,50,3,When was John's eldest son crowned?,1377,206
2,28,unrelated,3,0,Who is the child of Peter Andreas Heiberg?,1377,206
2,29,unrelated,12,1,Which company did Compaq merge with in 2002?,1377,206
2,30,unrelated,67,3,Rabat Ajax F.C. Maltese Premier League current,1377,206
2,31,unrelated,29,0,What team does Adam Hammill currently play for?,1377,206
2,32,unrelated,15,-1,What is the capital of the county that Pine Springs is located in?,1377,206
2,33,unrelated,42,-1,Who is the spouse of the creator of Absolutely Fabulous?,1377,206
3,0,related,3,-1,Who is the spouse of the child of Peter Andreas Heiberg?,1243,186
3,1,related,3,0,Who is the child of Peter Andreas Heiberg?,1243,186
3,2,related,3,1,Who is the spouse of Johan Ludvig Heiberg?,1243,186
3,3,unrelated,43,-1,What county shares a border with Cedar Springs?,1243,186
3,4,unrelated,5,1,What company did Compaq merge with in 2002?,1243,186
3,5,unrelated,14,-1,Who is the sibling of the actress that played the little girl in Miracle on 34th street 1947?,1243,186
3,6,unrelated,70,-1,What is the record label for the band which performed Pythons?,1243,186
3,7,unrelated,20,0,Who originally sang the song You Belong To Me?,1243,186
3,8,unrelated,54,0,Who played Thelma in the movie 'Thelma and Louise'?,1243,186
3,9,unrelated,5,-1,What company merged in 2002 with the CEMM developer?,1243,186
3,10,unrelated,21,1,When was Henry III crowned?,1243,186
3,11,unrelated,42,3,Who is the spouse of the creator of Absolutely Fabulous?,1243,186
3,12,unrelated,28,3,Who is the spouse of the actress who played the fairy god mother in Shrek 2?,1243,186
3,13,unrelated,57,-1,In which district was Ernie Watts born?,1243,186
3,14,unrelated,29,0,What team does Adam Hammill currently play for?,1243,186
3,15,unrelated,60,-1,Who is the other child of Chian Hsiao-chang's father?,1243,186
3,16,unrelated,44,1,"Which county is Bancroft, Ontario located in?",1243,186
3,17,unrelated,13,-1,What year was the father of Katherine of England crowned?,1243,186
3,18,unrelated,30,2,Who is Joan Erikson?,1243,186
3,19,unrelated,29,3,What is Adam Hammill's most recent team?,1243,186
3,20,unrelated,49,2,Where did Malcolm Graham die?,1243,186
3,21,unrelated,34,1,Who was the child of Stefan Nemanja?,1243,186
3,22,unrelated,37,1,"Based on Nannina de' Medici's parents Piero di Cosimo de' Medici and Lucrezia Tornabuoni, who were her siblings?",1243,186
3,23,unrelated,15,-1,What is the capital of the county that Pine Springs is located in?,1243,186
3,24,unrelated,76,0,Who is a former member of The Sunnyboys?,1243,186
3,25,unrelated,54,-1,"The actor who played Thelma in ""Thelma and Louise"" also played which character in ""A League of Their Own""?",1243,186
3,26,unrelated,22,-1,What group was the performer of Be the One a member of?,1243,186
3,27,unrelated,72,-1,Who is part of the band that performed Full Cooperation?,1243,186
3,28,unrelated,73,-1,When is the next episode of the series that Steven the Sword Fighter is a part of being released?,1243,186
3,29,unrelated,40,-1,When did military instruction start at the place where Larry Alcala was educated?,1243,186
3,30,unrelated,47,-1,Who is the spouse of the person who sang holding out for a hero in shrek 2?,1243,186
3,31,unrelated,14,1,Who is the sibling of actress Natalie Wood?,1243,186
3,32,unrelated,39,1,Who founded the Janatha Vimukthi Peramuna political party?,1243,186
3,33,unrelated,11,-1,Who is the lead singer of the band performing Bang Bang Rock & Roll?,1243,186
3,34,unrelated,9,-1,When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,1243,186
4,0,related,4,-1,"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?",2605,390
4,1,related,4,0,"Who were the siblings of Alice de Lusignan, Countess of Surrey?",2605,390
