group,k,mean_intersection_ratio,p50,example_id
all,2,0.8748660714285716,0.88,0
all,4,0.8178571428571426,0.8171428571428572,0
all,8,0.7817857142857142,0.7828571428571428,0
all,16,0.7590178571428575,0.76,0
all,32,0.743660714285715,0.7428571428571429,0
related,2,0.862857142857141,0.8628571428571429,0
unrelated,2,0.8794196428571432,0.8828571428571428,0
unrelated,4,0.82,0.8171428571428572,0
unrelated,8,0.7860714285714286,0.7828571428571428,0
unrelated,16,0.7623660714285715,0.76,0
unrelated,32,0.7485714285714276,0.7485714285714286,0
all,2,0.8837673611111112,0.8833333333333333,1
all,4,0.8335937499999999,0.8333333333333334,1
all,8,0.8094618055555561,0.8055555555555556,1
all,16,0.7896267361111112,0.7888888888888889,1
all,32,0.7732638888888904,0.7722222222222223,1
related,2,0.9000000000000019,0.9,1
unrelated,2,0.8843750000000002,0.8833333333333333,1
unrelated,4,0.8368055555555554,0.8388888888888889,1
unrelated,8,0.8107204861111117,0.8055555555555556,1
unrelated,16,0.7871093750000001,0.7833333333333333,1
unrelated,32,0.7722222222222246,0.7722222222222223,1
all,2,0.8494387135922327,0.8495145631067961,2
all,4,0.7867111650485439,0.7864077669902912,2
all,8,0.7558024878640776,0.7572815533980582,2
all,16,0.7333131067961165,0.7330097087378641,2
all,32,0.7146920509708727,0.7135922330097088,2
related,2,0.8349514563106776,0.8349514563106796,2
unrelated,2,0.8487939927184467,0.8495145631067961,2
unrelated,4,0.7900864684466012,0.7912621359223301,2
unrelated,8,0.7568264563106792,0.7572815533980582,2
unrelated,16,0.7333889563106791,0.7330097087378641,2
unrelated,32,0.7135922330097072,0.7135922330097088,2
all,2,0.8553427419354829,0.8548387096774194,3
all,4,0.7904065860215057,0.7903225806451613,3
all,8,0.7612567204301075,0.7634408602150538,3
all,16,0.7297547043010753,0.728494623655914,3
all,32,0.7015709005376339,0.6989247311827957,3
related,2,0.9089801747311815,0.9086021505376344,3
unrelated,2,0.8537886424731183,0.8548387096774194,3
unrelated,4,0.7911626344086028,0.7956989247311828,3
unrelated,8,0.7554603494623658,0.7580645161290323,3
unrelated,16,0.7267305107526877,0.7258064516129032,3
unrelated,32,0.6989247311827956,0.6989247311827957,3
all,2,0.8418068910256405,0.8397435897435898,4
all,4,0.7704727564102566,0.7692307692307693,4
all,8,0.7284855769230771,0.7282051282051282,4
all,16,0.7048878205128208,0.7051282051282052,4
all,32,0.6863581730769227,0.6846153846153846,4
related,2,0.8451322115384617,0.8333333333333334,4
unrelated,2,0.839443108974359,0.8397435897435898,4
unrelated,4,0.7689503205128211,0.7666666666666667,4
unrelated,8,0.7327123397435898,0.7307692307692307,4
unrelated,16,0.7063701923076925,0.7051282051282052,4
unrelated,32,0.6897435897435894,0.6897435897435897,4
all,2,0.8535108496332516,0.8508557457212714,5
all,4,0.80382793398533,0.80440097799511,5
all,8,0.7787859107579469,0.7775061124694377,5
all,16,0.7664654645476772,0.7652811735941321,5
all,32,0.7565709046454785,0.7555012224938875,5
related,2,0.8429286369193136,0.843520782396088,5
unrelated,2,0.8565479828850859,0.8594132029339854,5
unrelated,4,0.8062729217603914,0.8068459657701712,5
unrelated,8,0.7821095660146697,0.7799511002444988,5
unrelated,16,0.7693115831295849,0.7677261613691931,5
unrelated,32,0.7603911980440083,0.7603911980440098,5
all,2,0.8623883928571426,0.8595238095238096,6
all,4,0.8017485119047618,0.8,6
all,8,0.7672991071428572,0.7714285714285715,6
all,16,0.73828125,0.7380952380952381,6
all,32,0.7163690476190464,0.7142857142857143,6
related,2,0.8761904761904741,0.8761904761904762,6
unrelated,2,0.8581473214285714,0.8571428571428571,6
unrelated,4,0.8014136904761908,0.8047619047619048,6
unrelated,8,0.767485119047619,0.7666666666666667,6
unrelated,16,0.7432663690476194,0.7428571428571429,6
unrelated,32,0.7190476190476185,0.719047619047619,6
all,2,0.8520249221183801,0.8504672897196262,7
all,4,0.7894275700934577,0.7881619937694704,7
all,8,0.754794587227414,0.7538940809968847,7
all,16,0.7264894859813087,0.7258566978193146,7
all,32,0.7086984034267916,0.7071651090342679,7
related,2,0.8681366822429909,0.8660436137071651,7
unrelated,2,0.8480821651090348,0.8504672897196262,7
unrelated,4,0.7897196261682241,0.7881619937694704,7
unrelated,8,0.7544295171339565,0.7538940809968847,7
unrelated,16,0.730407904984424,0.7289719626168224,7
unrelated,32,0.7102803738317777,0.7102803738317757,7
all,2,0.8600440262430937,0.8591160220994475,8
all,4,0.8120899516574587,0.8121546961325967,8
all,8,0.7858252762430941,0.7845303867403315,8
all,16,0.7633805248618786,0.761049723756906,8
all,32,0.7388639502762429,0.7375690607734806,8
related,2,0.8682449930939226,0.8701657458563536,8
unrelated,2,0.8625690607734806,0.8632596685082873,8
unrelated,4,0.8142912638121548,0.8121546961325967,8
unrelated,8,0.7875949585635361,0.7886740331491713,8
unrelated,16,0.7643516919889503,0.7651933701657458,8
unrelated,32,0.7403314917127081,0.7403314917127072,8
all,2,0.8474383047210301,0.8454935622317596,9
all,4,0.7851562499999999,0.7854077253218884,9
all,8,0.755683342274678,0.7553648068669528,9
all,16,0.737057403433476,0.7349785407725322,9
all,32,0.7209126877682414,0.721030042918455,9
related,2,0.8493998122317605,0.8454935622317596,9
unrelated,2,0.8441858905579395,0.842274678111588,9
unrelated,4,0.7867489270386268,0.7854077253218884,9
unrelated,8,0.7576616148068667,0.759656652360515,9
unrelated,16,0.7385494903433476,0.740343347639485,9
unrelated,32,0.7210300429184561,0.721030042918455,9
all,2,0.8596635298295456,0.8579545454545454,10
all,4,0.8079057173295459,0.8096590909090909,10
all,8,0.7768554687500001,0.7784090909090909,10
all,16,0.7528409090909091,0.75,10
all,32,0.7322443181818185,0.7301136363636364,10
related,2,0.9000133167613655,0.9005681818181818,10
