example_id,doc_len,n_queries,n_related_queries,n_unrelated_queries,top_rate,top_count,jaccard_all_mean,jaccard_related_related_mean,jaccard_unrelated_unrelated_mean,jaccard_related_unrelated_mean,all_query_intersection_ratio,related_intersection_ratio,unrelated_intersection_ratio,never_selected_ratio,always_selected_ratio,selected_ge_50pct_ratio,selected_ge_80pct_ratio
0,1171,34,2,32,0.15,175,0.7783276296791003,0.7587939698492462,0.7825379236330237,0.7460030649710349,0.7428571428571429,0.8628571428571429,0.7485714285714286,0.703672075149445,0.11101622544833475,0.14005123825789922,0.12211784799316823
1,1205,34,2,32,0.15,180,0.7913865138231568,0.8181818181818182,0.7926956823882034,0.7808217808134393,0.7722222222222223,0.9,0.7722222222222223,0.7078838174273859,0.11535269709543569,0.13443983402489626,0.12614107883817427
2,1377,34,2,32,0.15,206,0.7378639383126798,0.7166666666666667,0.7400473862725401,0.7212734239932272,0.7135922330097088,0.8349514563106796,0.7135922330097088,0.6615831517792302,0.10675381263616558,0.13435003631082063,0.11764705882352941
3,1243,35,3,32,0.15,186,0.746087506618871,0.8325419618171611,0.7454435952450987,0.7467126803250835,0.6989247311827957,0.8709677419354839,0.6989247311827957,0.6838294448913917,0.10458567980691874,0.1335478680611424,0.11987127916331457
4,2605,35,3,32,0.15,390,0.7228188937952551,0.731484679107564,0.7239259956851499,0.7168280615731183,0.6846153846153846,0.7897435897435897,0.6897435897435897,0.634548944337812,0.10249520153550863,0.13397312859884836,0.1163147792706334
5,2727,35,3,32,0.15,409,0.7474736476102504,0.7282734746205559,0.752023701092234,0.7245650433592598,0.7555012224938875,0.7995110024449877,0.7603911980440098,0.6292629262926293,0.11331133113311331,0.13384671800513384,0.11917858452511917
6,1404,34,2,32,0.15,210,0.7535733791063385,0.7796610169491526,0.7568522219998645,0.7277547273402205,0.7142857142857143,0.8761904761904762,0.719047619047619,0.6645299145299145,0.10683760683760683,0.1339031339031339,0.12179487179487179
7,2140,35,3,32,0.15,321,0.7371989046153473,0.7670112417086196,0.7387274782619394,0.7283696385737836,0.7071651090342679,0.8161993769470405,0.7102803738317757,0.638785046728972,0.10607476635514018,0.13130841121495326,0.12009345794392523
8,2419,35,3,32,0.15,362,0.7544385560750043,0.7673208354879604,0.7562278409631965,0.7447913462543565,0.7348066298342542,0.8232044198895028,0.7403314917127072,0.6304257957833815,0.10996279454319967,0.13187267465894997,0.12319140140553948
9,3107,35,3,32,0.15,466,0.7327428238363698,0.7357409990151415,0.7335830675821245,0.7283078715089687,0.7188841201716738,0.8068669527896996,0.721030042918455,0.6237528162214354,0.10782104924364339,0.13517862890247828,0.11844222722883811
10,2348,35,3,32,0.15,352,0.7560387271998092,0.8193239171827124,0.754390812552104,0.7625752906926562,0.7301136363636364,0.8693181818181818,0.7329545454545454,0.6503407155025553,0.10945485519591142,0.13458262350936967,0.12350936967632027
11,2331,35,3,32,0.15,349,0.7399651324721462,0.7706072633414229,0.7394863665341235,0.7414811898956035,0.7163323782234957,0.833810888252149,0.7163323782234957,0.6374946374946375,0.10725010725010725,0.13427713427713428,0.12012012012012012
12,2462,35,3,32,0.15,369,0.7457596318272074,0.747463248647512,0.7508254645439685,0.7195329247649772,0.7506775067750677,0.8102981029810298,0.7615176151761518,0.6433793663688059,0.11251015434606011,0.13119415109666938,0.1206336311941511
13,2439,35,3,32,0.15,365,0.7523573739331176,0.7853813277154238,0.7504893479664124,0.7609768428720681,0.7232876712328767,0.8493150684931506,0.7315068493150685,0.6256662566625666,0.10824108241082411,0.13366133661336613,0.12382123821238213
14,2120,35,3,32,0.15,318,0.7262431721630495,0.7116172438542049,0.7298503398305841,0.7080631994737788,0.6886792452830188,0.7735849056603774,0.6949685534591195,0.6353773584905661,0.10330188679245284,0.1339622641509434,0.11839622641509434
15,1551,35,3,32,0.15,232,0.7605086885837234,0.7804070580013976,0.7612550689470636,0.7560305659954957,0.7586206896551724,0.8362068965517241,0.7629310344827587,0.655705996131528,0.11347517730496454,0.13539651837524178,0.11992263056092843
16,2162,35,3,32,0.15,324,0.7300722735559313,0.7423468275353077,0.7318643768120384,0.7204294935875214,0.7067901234567902,0.8024691358024691,0.7098765432098766,0.6424606845513413,0.1059204440333025,0.13506012950971322,0.11702127659574468
17,2098,35,3,32,0.15,314,0.7286765749614871,0.7158811529802264,0.7322463126209304,0.7106327873246125,0.7133757961783439,0.7961783439490446,0.7197452229299363,0.6234509056244042,0.10676835081029552,0.12917063870352716,0.11963775023832221
18,1546,35,3,32,0.15,231,0.7562537797662124,0.7329308625047135,0.7595849562243904,0.7397715425633833,0.7359307359307359,0.8008658008658008,0.7402597402597403,0.6688227684346701,0.10996119016817593,0.13454075032341525,0.12160413971539456
19,2150,35,3,32,0.15,322,0.7061736727421672,0.7160043548564904,0.7069270833372008,0.7019738425184222,0.6801242236024845,0.7888198757763976,0.6801242236024845,0.6265116279069768,0.10186046511627907,0.1283720930232558,0.11534883720930232
