main_question,online_qk,online_draft,offline_hybrid70
"In A League of Their Own, who played the husband of the actress who played Thelma in Thelma and Louise?",False,True,False
What award was received by the person who authored Missing Person?,False,True,False
What is the mouth of watercourse for the body of water where Bartram's Covered Bridge is located?,False,True,False
"What is the movie starring Preity Zinta, Madhuri Dixit and the spouse of Kajol?",True,True,False
What is the river that the Kettle Generating Station is located on a tributary of?,False,True,False
What other county does the county where Imperial is located share a border with?,True,True,False
What pantheon is the God of the underworld in ancient Egypt a part of?,True,True,False
What record label did the person who is part of The Bruce Lee Band start?,False,True,False
Where did the author of The National Dream go to university?,False,True,False
Where is Ulrich Walter's employer headquartered?,True,True,False
Where is the country with ISO code ISO 3166-2:CV located?,True,True,False
Where was Tyler MacDuff's child educated?,False,True,False
Which county does Lloyd Dane's birthplace belong to?,True,True,False
Who founded the publisher of The Final Testament of the Holy Bible?,False,True,False
Who is the child of Sigrid Eskilsdotter's child?,False,True,False
Who is the child of the actor who is a cast member of Love in Pawn?,False,True,False
Who is the father of the performer of Je dis aime?,False,True,False
Who is the other child of Chian Hsiao-chang's father?,True,True,False
Who married the publisher of abolitionist newspaper The North Star?,False,True,False
Who was married to the star of No Escape?,False,True,False
