Question,Real Answer,Pred Answer,em,f1,glm_correct,glm_reason
In what year was Twilight Princess from the game series on which The Legend of Neil was based originally planned for release?,2005,2005,1.0,1.0,True,预测答案“2005”与标准答案“2005”完全一致，包含了标准答案的关键信息，且在语义上完全等价，准确地回答了问题中关于游戏最初计划发行的年份。
What is the mascot of the school that owns Goss Stadium at Coleman Field?,Benny Beaver,Benny Beaver,1.0,1.0,True,预测答案“Benny Beaver”与标准答案完全一致，包含了标准答案的所有关键信息，在语义上完全等价，准确地回答了关于拥有Goss体育场学校吉祥物的问题。
Who is the spouse of the actor that plays vision in avengers age of ultron?,Jennifer Connelly,Jennifer Connelly,1.0,1.0,True,预测答案“Jennifer Connelly”与标准答案完全一致，包含了标准答案的关键信息，且在语义上完全等价，准确地回答了关于《复仇者联盟2：奥创纪元》中幻视扮演者配偶的问题。
Who was the spouse of the leading lady in Gone With the wind?,Laurence Olivier,Clark Gable,0.0,0.0,False,预测答案“Clark Gable”与标准答案“Laurence Olivier”不一致。虽然Clark Gable是电影《乱世佳人》的男主角，但女主角（费雯·丽）当时的配偶是Laurence Olivier，因此预测答案未能正确回答问题。
Who was the mother of the person who found the sacred writings that became the Book of Mormon?,Lucy Mack Smith,Lucy Mack Smith,1.0,1.0,True,预测答案“Lucy Mack Smith”与标准答案完全一致，准确包含了问题所要求的关键信息，语义上完全等价，正确回答了《摩门经》发现者母亲的名字。
Who is the mayor presiding now where Merrill Elam was born?,Lance Bottoms,Jacek Majchrowski,0.0,0.0,False,预测答案“Jacek Majchrowski”与标准答案“Lance Bottoms”完全不一致，两者是不同的人名，且预测答案未包含标准答案的任何关键信息，因此未能正确回答问题。
What county shares a border with the county where She Did It's performer was born?,Cabarrus County,Rowan County,0.0,0.4,False,预测答案给出的“Rowan County”与标准答案“Cabarrus County”不一致，两者是不同的地理实体，在语义上不等价，因此未能正确回答问题。
What is the experimental satellite which was the forerunner to the communication satellite of the operator of GSAT-7 called?,ATS - 6 (Applications Technology Satellite - 6),ATS-6,0.0,0.25,True,预测答案“ATS-6”包含了标准答案的核心关键信息，且与标准答案“ATS - 6 (Applications Technology Satellite - 6)”在语义上完全等价，仅仅是省略了全称和连字符的细微格式差异，不影响答案的正确性。
What watercourse is the river on which the Lostock Dam is located the mouth of?,Hunter River,Paterson River,0.0,0.6666666666666666,False,预测答案“Paterson River”与标准答案“Hunter River”不一致。虽然Lostock Dam确实位于Paterson River上，但问题询问的是该河流的河口属于哪条水系，正确答案应为Hunter River，因此预测答案未能包含标准答案的关键信息。
There is a state A where Storm of the Century was filmed based on the book by the author who wrote a short story featuring the author of This Is My God. What is the population of state A?,"1,335,907","1,362,359",0.0,0.6666666666666666,False,"预测答案给出的数值是1,362,359，而标准答案的数值是1,335,907。两者在数字上不一致，且不存在语义等价关系，因此预测答案未能正确回答问题。"
What is the capital of the county that shares a border with the county where KRSU is licensed to broadcast?,Green Bay,Potes,0.0,0.0,False,预测答案“Potes”与标准答案“Green Bay”完全不一致，没有包含标准答案的任何关键信息，且两者在语义上也不等价，因此未能正确回答问题。
Kiwil's birth country participated in a Commission of Truth and Friendship. Who is the president of the other country that participated?,Francisco Guterres,Johan Henri Eliza Ferrier,0.0,0.0,False,预测答案给出的姓名是“Johan Henri Eliza Ferrier”，与标准答案“Francisco Guterres”完全不一致，两者在语义上并不等价，因此未能正确回答问题。
Who is the child of the male star of the 1921 film Money?,Anthony Ainley,Richard Ainley,0.0,0.6666666666666666,False,预测答案“Richard Ainley”与标准答案“Anthony Ainley”是两个不同的人名，在语义上并不等价，也没有包含标准答案的关键信息，因此未能正确回答问题。
