Question,Real Answer,Pred Answer
Who plays the wife of the producer of Here Comes the Boom in Grown Ups?,Maria Bello,Maggie Gyllenhaal
What was the person who provided evidence to suggest the existence of the neutron a participant of?,Manhattan Project,Manhattan Project
In which borough was Callum McManaman born?,Knowsley,Merseyside
Who is the child of the Italian navigator who sailed for England and explored the eastern coast of the continent Francisco Bojado's birthplace is located?,Sebastian Cabot,Sebastian Cabot
Who is the spouse of the actor who played hannibal smith in the a team?,Sherry Boucher,Joy Harmon
When was the last time Peter Till's sports team beat the winner of the 1894-95 FA Cup?,1 December 2010,2005–06 season
Who is the child of the cast member of Green Ice?,Tatum O'Neal,Answer: Stuart Epps
How many times did plague occur in the birthplace of La Silvia's composer?,22,3
When did military instruction start at the place where Larry Alcala was educated?,1912,1912
What is the experimental satellite being forerunner to communication satellite of INSAT-4CR's manufacturer called?,ATS - 6 (Applications Technology Satellite - 6),ATS-6
Who was the first African American student at the university Robert Khayat was educated at?,James Howard Meredith,James Meredith
Who gives out the prize named after the author of Lectures on Jurisprudence?,University of Cambridge,The Royal Society of Chemistry gives out the prize named after the author of Lectures on Jurisprudence.
Who is Frances Freeling Broderip's sibling?,Tom Hood,Tom Hood
Who is the spouse of the person who voices Jarvis in Iron Man?,Jennifer Connelly,LaTanya Richardson Jackson
What is the source of the river that is the mouth of the Caledon River?,Thaba Putsoa,Bardwell Creek
What is the name of the famous bridge located in the birthplace of the composer of Nulla in mundo pax sincera?,Rialto Bridge,Royal Albert Bridge
When did the party that gained control of Congress in the midterm elections in 1946 take control of the government branch that determines the rules of the US House?,January 2015,1946
Where did the producer of Julius Caesar study or work?,Clifton College,"John Houseman, the producer of Julius Caesar, studied at Clifton College in England. He worked in the grain trade in London before emigrating to the United States in 1925."
Mehmet Hayri Tarhan's birthplace is the capital of what municipality?,Malko Tarnovo Municipality,Malko Tarnovo
What is the performer of Heartbeat named after?,Natalie Albino,Nina Sky
The author of Elizabeth and After attended which university?,University of Toronto,University of Toronto
What year did the publisher of Labyrinth end?,1986,1999
The food safety system of the agency that has the authority to decide if a drug is marketed otc or prescription is known as?,Food Safety Modernization Act (FSMA),FDA
Who is the president of the newly declared independent country that has a Commission of Truth and Friendship with the country where Ambelau is located?,Francisco Guterres,Johan Ferrier
Who was the British general in the battle named after the birth city of the person who recorded Mother-in-Law?,General Edward Pakenham,Denis de la Ronde
