example_id,chunk_id,method,rate,chunk_len,selected_count,n_queries,score_status,status
0,0,docgen_draft_smart_frequency_global,0.1,50,5,32,ok,
0,0,docgen_draft_smart_frequency_global,0.15,50,7,32,ok,
0,1,docgen_draft_smart_frequency_global,0.1,92,9,32,ok,
0,1,docgen_draft_smart_frequency_global,0.15,92,13,32,ok,
0,2,,,,,0,,missing_queries
0,3,,,,,0,,missing_queries
0,4,,,,,0,,missing_queries
0,5,,,,,0,,missing_queries
0,6,,,,,0,,missing_queries
0,7,,,,,0,,missing_queries
0,8,,,,,0,,missing_queries
0,9,,,,,0,,missing_queries
