example_id,chunk_id,method,rate,boundary_rate,chunk_len,selected_count
0,0,draft32b_smart_freq_boundary0p02_global,0.15,0.02,50,34
0,1,draft32b_smart_freq_boundary0p02_global,0.15,0.02,92,24
0,2,draft32b_smart_freq_boundary0p02_global,0.15,0.02,76,11
0,3,draft32b_smart_freq_boundary0p02_global,0.15,0.02,98,8
0,4,draft32b_smart_freq_boundary0p02_global,0.15,0.02,52,14
0,5,draft32b_smart_freq_boundary0p02_global,0.15,0.02,214,21
0,6,draft32b_smart_freq_boundary0p02_global,0.15,0.02,121,10
0,7,draft32b_smart_freq_boundary0p02_global,0.15,0.02,301,13
0,8,draft32b_smart_freq_boundary0p02_global,0.15,0.02,84,18
0,9,draft32b_smart_freq_boundary0p02_global,0.15,0.02,83,22
0,0,draft32b_smart_mean_boundary0p02_global,0.15,0.02,50,29
0,1,draft32b_smart_mean_boundary0p02_global,0.15,0.02,92,20
0,2,draft32b_smart_mean_boundary0p02_global,0.15,0.02,76,11
0,3,draft32b_smart_mean_boundary0p02_global,0.15,0.02,98,9
0,4,draft32b_smart_mean_boundary0p02_global,0.15,0.02,52,13
0,5,draft32b_smart_mean_boundary0p02_global,0.15,0.02,214,23
0,6,draft32b_smart_mean_boundary0p02_global,0.15,0.02,121,13
0,7,draft32b_smart_mean_boundary0p02_global,0.15,0.02,301,23
0,8,draft32b_smart_mean_boundary0p02_global,0.15,0.02,84,13
0,9,draft32b_smart_mean_boundary0p02_global,0.15,0.02,83,21
0,0,draft32b_smart_top2_boundary0p02_global,0.15,0.02,50,31
0,1,draft32b_smart_top2_boundary0p02_global,0.15,0.02,92,20
0,2,draft32b_smart_top2_boundary0p02_global,0.15,0.02,76,11
0,3,draft32b_smart_top2_boundary0p02_global,0.15,0.02,98,9
0,4,draft32b_smart_top2_boundary0p02_global,0.15,0.02,52,13
0,5,draft32b_smart_top2_boundary0p02_global,0.15,0.02,214,23
0,6,draft32b_smart_top2_boundary0p02_global,0.15,0.02,121,13
0,7,draft32b_smart_top2_boundary0p02_global,0.15,0.02,301,21
0,8,draft32b_smart_top2_boundary0p02_global,0.15,0.02,84,13
0,9,draft32b_smart_top2_boundary0p02_global,0.15,0.02,83,21
0,0,draft32b_smart_freq_boundary0p03_global,0.15,0.03,50,31
0,1,draft32b_smart_freq_boundary0p03_global,0.15,0.03,92,24
0,2,draft32b_smart_freq_boundary0p03_global,0.15,0.03,76,13
0,3,draft32b_smart_freq_boundary0p03_global,0.15,0.03,98,10
