method,example_id,sub_q_idx,default_count,selected_count,intersection,recall_default,precision_vs_default,jaccard_vs_default,default_chunk_count,selected_chunk_count,chunk_recall,chunk_jaccard,freq_base_residual_size,freq_base_residual_recall,selection_time,score_forward_time
default,0,0,227,227,227,1.0,1.0,1.0,13,13,1.0,1.0,108,1.0,0.2537806510226801,0.25255613098852336
default,1,0,223,223,223,1.0,1.0,1.0,12,12,1.0,1.0,89,1.0,0.1307119220145978,0.12956757700885646
default,2,0,241,241,241,1.0,1.0,1.0,12,12,1.0,1.0,79,1.0,0.13471690300502814,0.13336253899615258
default,3,0,203,203,203,1.0,1.0,1.0,11,11,1.0,1.0,99,1.0,0.12485670900787227,0.12375175900524482
default,3,1,233,233,233,1.0,1.0,1.0,13,13,1.0,1.0,98,1.0,0.12943423699471168,0.12816914499853738
default,4,0,212,212,212,1.0,1.0,1.0,11,11,1.0,1.0,94,1.0,0.12828559498302639,0.12714175798464566
default,4,1,339,339,339,1.0,1.0,1.0,14,14,1.0,1.0,207,1.0,0.17636880200007,0.17456270201364532
default,6,0,248,248,248,1.0,1.0,1.0,12,12,1.0,1.0,98,1.0,0.13926683002500795,0.13796163897495717
default,7,0,269,269,269,1.0,1.0,1.0,11,11,1.0,1.0,118,1.0,0.14053180499468,0.13921284300158732
default,7,1,251,251,251,1.0,1.0,1.0,13,13,1.0,1.0,103,1.0,0.13479244202608243,0.13358934497227892
default,9,0,328,328,328,1.0,1.0,1.0,11,11,1.0,1.0,152,1.0,0.1747859290044289,0.17306424002163112
default,9,1,445,445,445,1.0,1.0,1.0,14,14,1.0,1.0,227,1.0,0.21568021801067516,0.21340485499240458
default,10,0,254,254,254,1.0,1.0,1.0,11,11,1.0,1.0,98,1.0,0.13745730798109435,0.1361682979913894
default,10,1,288,288,288,1.0,1.0,1.0,13,13,1.0,1.0,133,1.0,0.1527255900145974,0.15126487001543865
default,11,0,215,215,215,1.0,1.0,1.0,11,11,1.0,1.0,96,1.0,0.12836162900202908,0.12740081798983738
default,11,1,210,210,210,1.0,1.0,1.0,13,13,1.0,1.0,78,1.0,0.12890480100759305,0.12789748198702
default,12,0,337,337,337,1.0,1.0,1.0,11,11,1.0,1.0,173,1.0,0.17385506100254133,0.17211100299027748
default,12,1,349,349,349,1.0,1.0,1.0,14,14,1.0,1.0,241,1.0,0.17564389301696792,0.17398518198751844
default,13,0,196,196,196,1.0,1.0,1.0,11,11,1.0,1.0,69,1.0,0.12466429601772688,0.12375057200551964
default,13,1,341,341,341,1.0,1.0,1.0,14,14,1.0,1.0,201,1.0,0.17323638300877064,0.17142417101422325
default,14,0,198,198,198,1.0,1.0,1.0,11,11,1.0,1.0,111,1.0,0.12068162200739607,0.11978038898087107
default,14,1,280,280,280,1.0,1.0,1.0,14,14,1.0,1.0,131,1.0,0.1528617949807085,0.15156359499087557
default,15,0,128,128,128,1.0,1.0,1.0,11,11,1.0,1.0,61,1.0,0.092184110020753,0.0915199089795351
default,15,1,200,200,200,1.0,1.0,1.0,13,13,1.0,1.0,146,1.0,0.12418633201741613,0.12316238501807675
default,16,0,259,259,259,1.0,1.0,1.0,11,11,1.0,1.0,146,1.0,0.13850809101131745,0.1373941579950042
