example_id,doc_token_index,relative_position,position_bin,token_id,token_text_repr,token_category,selected_times,n_queries,selected_frequency,mean_attention_score,mean_rank,snippet
0,1170,1.0,90-100%,624,'.\n',punct_or_symbol,34,34,1.0,0.01626475714147091,1.0,through the fields and woods of the village northwards.\n
0,1166,0.9965811965811966,90-100%,279,' the',latin_word,34,34,1.0,0.006611728109419346,2.676470588235294,the Berkshire Downs rising through the fields and woods of the village northwards.\n
0,1150,0.9829059829059829,90-100%,279,' the',latin_word,34,34,1.0,0.00638588098809123,3.3823529411764706,"and are on the northern side of the plain of the River Kennet, with the Berkshire Downs rising through"
0,1147,0.9803418803418803,90-100%,279,' the',latin_word,34,34,1.0,0.006101351231336594,4.264705882352941,"homes are clustered and are on the northern side of the plain of the River Kennet, with the Berkshire"
0,1161,0.9923076923076923,90-100%,279,' the',latin_word,34,34,1.0,0.0056892093271017075,5.0,"River Kennet, with the Berkshire Downs rising through the fields and woods of the village northwards.\n"
0,1169,0.9991452991452991,90-100%,4014,'wards',latin_word,34,34,1.0,0.005562554579228163,5.705882352941177,rising through the fields and woods of the village northwards.\n
0,1154,0.9863247863247864,90-100%,11,"','",punct_or_symbol,34,34,1.0,0.00523242587223649,6.970588235294118,"northern side of the plain of the River Kennet, with the Berkshire Downs rising through the fields and woods"
0,1143,0.9769230769230769,90-100%,279,' the',latin_word,34,34,1.0,0.004886267241090536,9.264705882352942,miles). The village homes are clustered and are on the northern side of the plain of the River Kennet
0,1168,0.9982905982905983,90-100%,10200,' north',latin_word,34,34,1.0,0.0048704748041927814,9.882352941176471,Downs rising through the fields and woods of the village northwards.\n
0,1156,0.9880341880341881,90-100%,279,' the',latin_word,34,34,1.0,0.004748535808175802,10.941176470588236,"of the plain of the River Kennet, with the Berkshire Downs rising through the fields and woods of the"
0,1163,0.994017094017094,90-100%,323,' and',latin_word,34,34,1.0,0.0047244541347026825,11.235294117647058,"et, with the Berkshire Downs rising through the fields and woods of the village northwards.\n"
0,1134,0.9692307692307692,90-100%,568,').',punct_or_symbol,34,34,1.0,0.004723443184047937,11.529411764705882,(8 miles) and Newbury (6 miles). The village homes are clustered and are on the northern
0,1010,0.8632478632478633,80-90%,264,' a',latin_word,34,34,1.0,0.004668457433581352,12.735294117647058,"mouth within Norfolk\nDocument: The Rythe is a river or stream in north Surrey, England which is"
0,1158,0.9897435897435898,90-100%,84678,' Downs',latin_word,34,34,1.0,0.00434689549729228,14.647058823529411,"plain of the River Kennet, with the Berkshire Downs rising through the fields and woods of the village north"
0,1167,0.9974358974358974,90-100%,14126,' village',latin_word,34,34,1.0,0.0041896929033100605,15.794117647058824,Berkshire Downs rising through the fields and woods of the village northwards.\n
