example_id,rate,method,heldout_query_idx,heldout_query_label,jaccard_with_online_per_doc,coverage_online_by_offline,coverage_offline_by_online,offline_selected_count,online_selected_count,fixed_set_npz,uses_current_example_question_for_offline_set
0,0.05,qk_calib_per_chunk_frequency,0,native,0.5609756097560976,0.71875,0.71875,352,352,chunk_fixed_sets_npz/example000_rate0p05_chunk_local_sets.npz,False
0,0.05,random_per_chunk,0,native,0.023255813953488372,0.045454545454545456,0.045454545454545456,352,352,chunk_fixed_sets_npz/example000_rate0p05_chunk_local_sets.npz,False
0,0.05,qk_calib_per_chunk_frequency,1,native_template,0.6073059360730594,0.7556818181818182,0.7556818181818182,352,352,chunk_fixed_sets_npz/example000_rate0p05_chunk_local_sets.npz,False
0,0.05,random_per_chunk,1,native_template,0.026239067055393587,0.05113636363636364,0.05113636363636364,352,352,chunk_fixed_sets_npz/example000_rate0p05_chunk_local_sets.npz,False
0,0.05,qk_calib_per_chunk_frequency,2,native_template,0.6487119437939111,0.7869318181818182,0.7869318181818182,352,352,chunk_fixed_sets_npz/example000_rate0p05_chunk_local_sets.npz,False
0,0.05,random_per_chunk,2,native_template,0.02177068214804064,0.04261363636363636,0.04261363636363636,352,352,chunk_fixed_sets_npz/example000_rate0p05_chunk_local_sets.npz,False
0,0.05,qk_calib_per_chunk_frequency,3,native_template,0.6,0.75,0.75,352,352,chunk_fixed_sets_npz/example000_rate0p05_chunk_local_sets.npz,False
0,0.05,random_per_chunk,3,native_template,0.02177068214804064,0.04261363636363636,0.04261363636363636,352,352,chunk_fixed_sets_npz/example000_rate0p05_chunk_local_sets.npz,False
0,0.05,qk_calib_per_chunk_frequency,4,native_template,0.6372093023255814,0.7784090909090909,0.7784090909090909,352,352,chunk_fixed_sets_npz/example000_rate0p05_chunk_local_sets.npz,False
0,0.05,random_per_chunk,4,native_template,0.024745269286754003,0.048295454545454544,0.048295454545454544,352,352,chunk_fixed_sets_npz/example000_rate0p05_chunk_local_sets.npz,False
