row_id,is_warmup,example_id,sub_q_idx,doc_tokens,query_tokens,full_tokens,end_to_end_ttft_s,kv_load_copy_s,draft_selection_s,draft_score_forward_s,online_update_query_prefill_s,extra_impl_overhead_s,selected_doc_tokens,reprocess_prefill_tokens,main_question,sub_question
0,True,0,0,1313,27,2132,1.0237548000295646,0.025381622021086514,0.21033129701390862,0.20921026699943468,0.6806455279584043,0.10739635303616524,196,223,What is the network which National Cycle Route 57 is part of an example of?,What network is National Cycle Route 57 part of?
1,True,1,0,1295,25,2112,0.3169445170206018,0.023940491024404764,0.12977073399815708,0.12870700797066092,0.09578393201809376,0.06744935997994617,194,219,What district is the headquarter of Julia's House located?,Where is the headquarters of Julia's House located?
2,True,2,0,1441,21,2254,0.31184562703128904,0.024906742037273943,0.1333261340041645,0.13216460798867047,0.09574336401419714,0.05786938697565347,216,237,What body of water includes the terrain feature where Coffee Swamp is located?,Where is Coffee Swamp located?
3,True,3,0,1154,26,1972,0.30885577789740637,0.0237078940263018,0.12333518493687734,0.12242390995379537,0.09549946099286899,0.06631323794135824,173,199,Who is the spouse of the child of Peter Andreas Heiberg?,Who is the child of Peter Andreas Heiberg?
4,False,3,1,1353,27,2172,0.3386065669474192,0.02666707499884069,0.12993877800181508,0.12883967300876975,0.09550271899206564,0.08649799495469779,202,229,Who is the spouse of the child of Peter Andreas Heiberg?,Who is the spouse of Johan Ludvig Heiberg?
5,False,4,0,1178,32,2002,0.32961121102562174,0.022326136007905006,0.1239368770038709,0.12298290495527908,0.10378494602628052,0.07956325198756531,176,208,"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?","Who were the siblings of Alice de Lusignan, Countess of Surrey?"
6,False,4,1,2075,24,2891,0.43208544596564025,0.03390498098451644,0.17454598296899348,0.17257385299308226,0.11898722499608994,0.10464725701604038,311,335,"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?",When was King Henry III of England crowned?
7,False,6,0,1490,21,2303,0.31277925200993195,0.02523593103978783,0.1342668189899996,0.13303851400269195,0.0967722280183807,0.05650427396176383,223,244,Which university employed the person that Mach bands are named after?,Which university employed Ernst Mach?
8,False,7,0,1587,27,2406,0.3520047801430337,0.02734776702709496,0.13861576409544796,0.13722068304196,0.11729910800931975,0.06874214101117104,238,265,Who is the employer of the physicist who Mach number is named after?,Who is the physicist that the Mach number is named after?
9,False,7,1,1466,28,2286,0.33337931003188714,0.02837446500780061,0.134099587041419,0.13288087100954726,0.09623783599818125,0.07466742198448628,219,247,Who is the employer of the physicist who Mach number is named after?,Who was Ernst Mach's employer or academic institution during his career?
10,False,9,0,1998,25,2815,0.4400496929883957,0.03678379696793854,0.16988289199071005,0.1667865429772064,0.11890315898926929,0.11447984504047781,299,324,When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,Which English king trusted William de Longchamp?
11,False,9,1,2722,33,3547,0.503627262020018,0.03731621103361249,0.21352198597742245,0.2107192809926346,0.1287503790226765,0.12403868598630652,408,441,When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,What specific naval expedition or fleet did King Richard I lead that was dispersed by a storm?
12,False,10,0,1505,25,2322,0.33724080596584827,0.03621847101021558,0.13747339899418876,0.13615291501628235,0.09612784499768168,0.06742109096376225,225,250,The Unwinding author volunteered for which organisation?,Who is the author of The Unwinding?
13,False,10,1,1738,24,2554,0.37506719602970406,0.027687711000908166,0.15919191803550348,0.15667374100303277,0.11342931998660788,0.07475824700668454,260,284,The Unwinding author volunteered for which organisation?,Which organization did George Packer volunteer for?
14,False,11,0,1230,27,2049,0.3073059530579485,0.02400326495990157,0.1275860090390779,0.12653066200437024,0.09846542496234179,0.057251254096627235,184,211,Who is the lead singer of the band performing Bang Bang Rock & Roll?,Which band performed the song 'Bang Bang Rock & Roll'?
15,False,11,1,1205,26,2023,0.3008676879690029,0.025259867019485682,0.12439194496255368,0.12340582598699257,0.09571605297969654,0.05549982300726697,180,206,Who is the lead singer of the band performing Bang Bang Rock & Roll?,Who is the lead singer of the band Art Brut?
