Question,Real Answer,Pred Answer
"Which species of wild goose, Anser anser, is the ancestor of all European domestic geese?",Greylag goose,Anser anser
Pope Gregory XI was the last Pope to live in which French city?,"Avignon, France",Avignon
"Which traditional dessert is made from strawberries, broken meringue and cream",Eton mess,Eton mess
What was the first name of Bond Villan Mr Scaramanga from 'The Man With The Golden Gun'?,Francisco,Francisco
"Footvolley, a variation of football, originated in which country?",Brazil,Brazil
How many flakes of snow have to fall in the 24 hours of the 25th December anywhere in the UK to be classified as a White christmas?,1,The provided information does not specify the number of snowflakes required to fall in the 24 hours of December 25th anywhere in the UK to be classified as a White Christmas.
The area now rebranded as “Cardiff Bay” was formerly known by what name?,Tiger Bay,Cardiff docklands
Which country owns the Queen Elizabeth islands?,Canada,Canada
Written by William Boyd what was the last James Bond novel to be published?,Solo,Forever and a Day
Which English author wrote the 1934 novel Goodbye Mr Chips?,James Hilton,James Hilton
Who played the title role in the long-running detective series Bergerac?,John Nettles,John Nettles
In which year were One Pound coins introduced?,1983,1983
What official position is currently held by Martin Rees?,Astronomer Royal,Astronomer Royal
What kind of footwear did Jimmy Nail have in 1994?,Crocodile Shoes,Jimmy Nail had Crocodile Shoes in 1994.
What do we call the elongated hill in the shape of a half-buried egg formed by glacial ice?,Drumlins,drumlin
What was the age that no-one wanted to reach in Logan’s Run?,30,30
Name the scarey debut Single from Ella Henderson released in June 2014,Ghost,Ghost
What is the first name of cricket umpire Dickie Bird,Harold,Harold
How many bits are there in a byte?,8,eight
Where does a bounced email return to?,Sender,the reverse path (a.k.a. return-path) address
"In mythology, who pulled the thorn from the Lion’s paw?",Androclus,Androcles
Which late actor narrated the British children’s television programme ‘Willo the Wisp’?,Kenneth Williams,Kenneth Williams
What was the name of the high school in Porky's?,Angel Beach,Angel Beach High School
Who was Anne Sullivan's most famous pupil?,Helen Keller,Helen Keller
Who painted The Anatomy Lesson of Doctor Tulp?,Rembrandt,Rembrandt
