dataset,method,rate,segment,source_csv,source_row,Question,Real Answer,Pred Answer,Predicted_Clean,Rejudge_Correct,Rejudge_Reason,Rejudge_Raw
musique-v2,sparse_k2_preprocess,0.15,seg_0_50,/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/by_date/2026-07-18/spare_k_q_recompute_exp/rejudge_input_corrected/sparse_k2_preprocess/musique-v2/rate_0p15/seg_0_50/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,0,Who plays the wife of the producer of Here Comes the Boom in Grown Ups?,Maria Bello,Answer: Salma Hayek,Salma Hayek,False,预测答案“Salma Hayek”与标准答案“Maria Bello”不一致。在电影《Grown Ups》中，Salma Hayek饰演的是主角的妻子，而制片人Kevin James角色的妻子是由Maria Bello饰演的，因此预测答案未能正确回答问题。,"判断: 错误
原因: 预测答案“Salma Hayek”与标准答案“Maria Bello”不一致。在电影《Grown Ups》中，Salma Hayek饰演的是主角的妻子，而制片人Kevin James角色的妻子是由Maria Bello饰演的，因此预测答案未能正确回答问题。"
musique-v2,sparse_k2_preprocess,0.15,seg_0_50,/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/by_date/2026-07-18/spare_k_q_recompute_exp/rejudge_input_corrected/sparse_k2_preprocess/musique-v2/rate_0p15/seg_0_50/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,1,What was the person who provided evidence to suggest the existence of the neutron a participant of?,Manhattan Project,Manhattan Project,Manhattan Project,True,预测答案“Manhattan Project”与标准答案完全一致，包含了标准答案的关键信息，且在语义上完全等价，准确地回答了提出的问题。,"判断: 正确
原因: 预测答案“Manhattan Project”与标准答案完全一致，包含了标准答案的关键信息，且在语义上完全等价，准确地回答了提出的问题。"
musique-v2,sparse_k2_preprocess,0.15,seg_0_50,/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/by_date/2026-07-18/spare_k_q_recompute_exp/rejudge_input_corrected/sparse_k2_preprocess/musique-v2/rate_0p15/seg_0_50/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,2,In which borough was Callum McManaman born?,Knowsley,Merseyside,Merseyside,False,预测答案“Merseyside”是英国的一个都市郡，而标准答案“Knowsley”是该郡下的一个具体自治市。虽然两者在地理上存在包含关系，但它们并不等价，预测答案未能准确提供人物出生的具体行政区信息。,"判断: 错误
原因: 预测答案“Merseyside”是英国的一个都市郡，而标准答案“Knowsley”是该郡下的一个具体自治市。虽然两者在地理上存在包含关系，但它们并不等价，预测答案未能准确提供人物出生的具体行政区信息。"
musique-v2,sparse_k2_preprocess,0.15,seg_0_50,/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/by_date/2026-07-18/spare_k_q_recompute_exp/rejudge_input_corrected/sparse_k2_preprocess/musique-v2/rate_0p15/seg_0_50/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,3,Who is the child of the Italian navigator who sailed for England and explored the eastern coast of the continent Francisco Bojado's birthplace is located?,Sebastian Cabot,Sebastian Cabot,Sebastian Cabot,True,预测答案“Sebastian Cabot”与标准答案完全一致，包含了标准答案的关键信息，且在语义上完全等价，准确地回答了问题。,"判断: 正确
原因: 预测答案“Sebastian Cabot”与标准答案完全一致，包含了标准答案的关键信息，且在语义上完全等价，准确地回答了问题。"
musique-v2,sparse_k2_preprocess,0.15,seg_0_50,/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/by_date/2026-07-18/spare_k_q_recompute_exp/rejudge_input_corrected/sparse_k2_preprocess/musique-v2/rate_0p15/seg_0_50/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,4,Who is the spouse of the actor who played hannibal smith in the a team?,Sherry Boucher,Answer: The spouse of the actor who played Hannibal Smith in The A-Team is not explicitly mentioned in the provided passages.,The spouse of the actor who played Hannibal Smith in The A-Team is not explicitly mentioned in the provided passages.,False,预测答案表示在提供的段落中没有明确提及该演员配偶的信息，未能给出具体的人名。它没有包含标准答案中的关键信息“Sherry Boucher”，两者在语义上完全不等价，属于未给出可核验答案的情况。,"判断: 错误
原因: 预测答案表示在提供的段落中没有明确提及该演员配偶的信息，未能给出具体的人名。它没有包含标准答案中的关键信息“Sherry Boucher”，两者在语义上完全不等价，属于未给出可核验答案的情况。"
musique-v2,sparse_k2_preprocess,0.15,seg_0_50,/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/by_date/2026-07-18/spare_k_q_recompute_exp/rejudge_input_corrected/sparse_k2_preprocess/musique-v2/rate_0p15/seg_0_50/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,5,When was the last time Peter Till's sports team beat the winner of the 1894-95 FA Cup?,1 December 2010,2005–06 season,2005–06 season,False,预测答案给出的时间是“2005–06 season”，而标准答案明确指出是“1 December 2010”。两者在时间信息上完全不一致，且语义上无法等价，因此预测答案未能正确回答问题。,"判断: 错误
原因: 预测答案给出的时间是“2005–06 season”，而标准答案明确指出是“1 December 2010”。两者在时间信息上完全不一致，且语义上无法等价，因此预测答案未能正确回答问题。"
musique-v2,sparse_k2_preprocess,0.15,seg_0_50,/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/by_date/2026-07-18/spare_k_q_recompute_exp/rejudge_input_corrected/sparse_k2_preprocess/musique-v2/rate_0p15/seg_0_50/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,6,Who is the child of the cast member of Green Ice?,Tatum O'Neal,Answer: The child of the cast member of Green Ice is not mentioned in the provided text.,The child of the cast member of Green Ice is not mentioned in the provided text.,False,预测答案表示文本中未提及该信息，未能包含标准答案“Tatum O'Neal”这一关键信息，也没有给出可核验的具体答案，因此未能正确回答问题。,"判断: 错误
原因: 预测答案表示文本中未提及该信息，未能包含标准答案“Tatum O'Neal”这一关键信息，也没有给出可核验的具体答案，因此未能正确回答问题。"
musique-v2,sparse_k2_preprocess,0.15,seg_0_50,/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/by_date/2026-07-18/spare_k_q_recompute_exp/rejudge_input_corrected/sparse_k2_preprocess/musique-v2/rate_0p15/seg_0_50/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,7,How many times did plague occur in the birthplace of La Silvia's composer?,22,3,3,False,预测答案给出的数字是3，而标准答案明确指出瘟疫发生的次数是22。两者在数值上完全不一致，且语义上也不等价，因此预测答案未能正确回答问题。,"判断: 错误
原因: 预测答案给出的数字是3，而标准答案明确指出瘟疫发生的次数是22。两者在数值上完全不一致，且语义上也不等价，因此预测答案未能正确回答问题。"
musique-v2,sparse_k2_preprocess,0.15,seg_0_50,/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/by_date/2026-07-18/spare_k_q_recompute_exp/rejudge_input_corrected/sparse_k2_preprocess/musique-v2/rate_0p15/seg_0_50/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,8,When did military instruction start at the place where Larry Alcala was educated?,1912,1912,1912,True,预测答案“1912”与标准答案“1912”完全一致，包含了标准答案的关键信息，且在语义上完全等价，准确地回答了关于军事教学开始时间的问题。,"判断: 正确
原因: 预测答案“1912”与标准答案“1912”完全一致，包含了标准答案的关键信息，且在语义上完全等价，准确地回答了关于军事教学开始时间的问题。"
musique-v2,sparse_k2_preprocess,0.15,seg_0_50,/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/by_date/2026-07-18/spare_k_q_recompute_exp/rejudge_input_corrected/sparse_k2_preprocess/musique-v2/rate_0p15/seg_0_50/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,9,What is the experimental satellite being forerunner to communication satellite of INSAT-4CR's manufacturer called?,ATS - 6 (Applications Technology Satellite - 6),ATS-6,ATS-6,True,预测答案“ATS-6”包含了标准答案“ATS - 6 (Applications Technology Satellite - 6)”的核心关键信息。两者在语义上完全等价，仅仅是省略了全称和连字符的细微格式差异，不影响对问题的正确回答。,"判断: 正确
原因: 预测答案“ATS-6”包含了标准答案“ATS - 6 (Applications Technology Satellite - 6)”的核心关键信息。两者在语义上完全等价，仅仅是省略了全称和连字符的细微格式差异，不影响对问题的正确回答。"
