index,Question,Real Answer,Pred Answer,em,f1,glm_correct,glm_reason,glm_raw
80,What undertaking included the person who discovered that the number of protons in each element's atoms is unique?,Manhattan Project,Manhattan Project,True,1.0,True,预测答案“Manhattan Project”与标准答案完全一致，包含了标准答案的关键信息，且在语义上完全等价，准确地回答了关于发现质子数规律的人所参与的计划的问题。,"判断: 正确
原因: 预测答案“Manhattan Project”与标准答案完全一致，包含了标准答案的关键信息，且在语义上完全等价，准确地回答了关于发现质子数规律的人所参与的计划的问题。"
81,What was the story of the character from The Bourne Deception based on?,the novel of the same name by Robert Ludlum,the legendary Bavarian prophet Mühlhiasl,False,0.10526315789473685,False,预测答案“the legendary Bavarian prophet Mühlhiasl”与标准答案“the novel of the same name by Robert Ludlum”完全不一致，没有包含任何关键信息，语义上也不等价，因此判断为错误。,"判断: 错误
原因: 预测答案“the legendary Bavarian prophet Mühlhiasl”与标准答案“the novel of the same name by Robert Ludlum”完全不一致，没有包含任何关键信息，语义上也不等价，因此判断为错误。"
82,Which two features were played up the person who had the biggest net worth in 2017?,ease of use and enhanced support for Plug and Play,"Bill Gates was named the richest man in the world by Forbes' annual list of the world's billionaires for the 17th time, and the Windows Driver Model was introduced in Windows 98, which was a significant",False,0.13636363636363638,False,预测答案没有包含标准答案中的关键信息“ease of use and enhanced support for Plug and Play”。它只提到了比尔·盖茨是最富有的人以及Windows 98引入了Windows驱动模型，并未回答问题所问的这两个特征是什么，因此判断为错误。,"判断: 错误
原因: 预测答案没有包含标准答案中的关键信息“ease of use and enhanced support for Plug and Play”。它只提到了比尔·盖茨是最富有的人以及Windows 98引入了Windows驱动模型，并未回答问题所问的这两个特征是什么，因此判断为错误。"
83,"Who is one of the members of the music group that performed ""Good Little Girls""?",Aaron Benward,Aaron Benward,True,1.0,True,预测答案与标准答案完全一致，均为“Aaron Benward”，准确包含了标准答案的关键信息，语义完全等价，正确地回答了问题。,"判断: 正确
原因: 预测答案与标准答案完全一致，均为“Aaron Benward”，准确包含了标准答案的关键信息，语义完全等价，正确地回答了问题。"
84,How many times did plague occur in the place where Bajazet's composer was born?,22,0,False,0.0,False,预测答案给出的数字是0，而标准答案明确指出瘟疫发生的次数是22。两者在数值和语义上完全不一致，预测答案未能包含标准答案的关键信息，因此判断为错误。,"判断: 错误
原因: 预测答案给出的数字是0，而标准答案明确指出瘟疫发生的次数是22。两者在数值和语义上完全不一致，预测答案未能包含标准答案的关键信息，因此判断为错误。"
85,What year did the company that published Starship Command end?,1986,1999,False,0.3333333333333333,False,预测答案给出的年份是1999年，而标准答案明确指出该公司结束的年份是1986年。两者在关键信息上完全不一致，因此预测答案未能正确回答问题。,"判断: 错误
原因: 预测答案给出的年份是1999年，而标准答案明确指出该公司结束的年份是1986年。两者在关键信息上完全不一致，因此预测答案未能正确回答问题。"
86,Who is the spouse of the child of Peter Andreas Heiberg?,Johanne Luise Heiberg,Johanne Luise Pätges,False,0.5714285714285714,True,预测答案“Johanne Luise Pätges”与标准答案“Johanne Luise Heiberg”指向的是同一个人。“Pätges”是该人物婚前的本姓，而“Heiberg”是其婚后随夫姓。两者在语义上完全等价，均正确回答了关于Peter Andreas Heiberg之子配偶的问题。,"判断: 正确
原因: 预测答案“Johanne Luise Pätges”与标准答案“Johanne Luise Heiberg”指向的是同一个人。“Pätges”是该人物婚前的本姓，而“Heiberg”是其婚后随夫姓。两者在语义上完全等价，均正确回答了关于Peter Andreas Heiberg之子配偶的问题。"
87,What character in A League of their Own was played by the actress who played Thelma in the movie Thelma and Louise?,Dottie Hinson,Thelma Dickinson,False,0.28571428571428575,False,预测答案“Thelma Dickinson”是电影《末路狂花》中的角色名，而问题询问的是该演员在《红粉联盟》中扮演的角色。标准答案应为“Dottie Hinson”，两者完全不同，因此预测答案错误。,"判断: 错误
原因: 预测答案“Thelma Dickinson”是电影《末路狂花》中的角色名，而问题询问的是该演员在《红粉联盟》中扮演的角色。标准答案应为“Dottie Hinson”，两者完全不同，因此预测答案错误。"
88,What is the abbreviated name of the exclusive platform of the video game named for the league with a halftime event just before the publishers clearing house sweepstakes drawing.,NES,NFL,False,0.0,False,预测答案“NFL”与标准答案“NES”完全不同。问题询问的是该电子游戏独占平台的缩写名称，标准答案为任天堂娱乐机（NES），而预测答案给出了国家橄榄球联盟（NFL），未包含正确答案的关键信息，语义上也不等价。,"判断: 错误
原因: 预测答案“NFL”与标准答案“NES”完全不同。问题询问的是该电子游戏独占平台的缩写名称，标准答案为任天堂娱乐机（NES），而预测答案给出了国家橄榄球联盟（NFL），未包含正确答案的关键信息，语义上也不等价。"
89,When was the last time the sports team Alan O'Neil was a member of beat the winner of the 1894-95 FA cup?,1 December 2010,1993–94 season,False,0.0,False,预测答案给出的时间是“1993–94 season”，而标准答案是“1 December 2010”。两者在时间信息上完全不一致，且语义上不等价，因此预测答案未能正确回答问题。,"判断: 错误
原因: 预测答案给出的时间是“1993–94 season”，而标准答案是“1 December 2010”。两者在时间信息上完全不一致，且语义上不等价，因此预测答案未能正确回答问题。"
