row_id,is_warmup,example_id,sub_q_idx,main_question,sub_question,doc_tokens,query_tokens,full_tokens,semantic,end_to_end_ttft_s,kv_load_copy_s,selection_s,online_update_query_prefill_s,extra_impl_overhead_s,rate1_baseline_candidate_s,fusion_selected_doc_tokens,fusion_reprocess_prefill_tokens,full_exact_cache_ttft_s,full_ttft_compute_s,full_ttft_wall_s,fusion_ttft_compute_s,fusion_ttft_wall_s,fusion_storage_time_s,fusion_selection_time_s,fusion_selection_score_forward_time_s,fusion_reprocess_prefill_time_s,speedup_full_over_fusion_compute,ttft_reduction_pct_compute,speedup_full_exact_over_fusion_compute,ttft_reduction_pct_full_exact_vs_fusion_compute,speedup_full_over_fusion_wall,ttft_reduction_pct_wall
0,True,0,0,What is the network which National Cycle Route 57 is part of an example of?,What network is National Cycle Route 57 part of?,1313,27,2132,FusionRAG cache reuse; selection; partial online update,0.9701546058058739,0.06372094387188554,0.263362942263484,0.5783027270808816,0.06476799258962274,0.0,919,946,0.0,0.0,0.0,0.9053866132162511,0.9701546058058739,0.06372094387188554,0.263362942263484,0.23970519518479705,0.5783027270808816,0.0,0.0,0.0,0.0,0.0,0.0
1,True,1,0,What district is the headquarter of Julia's House located?,Where is the headquarters of Julia's House located?,1295,25,2112,FusionRAG cache reuse; selection; partial online update,0.3647236991673708,0.023212727159261703,0.10167064517736435,0.17472943989560008,0.06511088693514466,0.0,906,931,0.0,0.0,0.0,0.29961281223222613,0.3647236991673708,0.023212727159261703,0.10167064517736435,0.10089391190558672,0.17472943989560008,0.0,0.0,0.0,0.0,0.0,0.0
2,True,2,0,What body of water includes the terrain feature where Coffee Swamp is located?,Where is Coffee Swamp located?,1441,21,2254,FusionRAG cache reuse; selection; partial online update,0.3956780359148979,0.024142775684595108,0.10401652101427317,0.19667514879256487,0.07084359042346478,0.0,1008,1029,0.0,0.0,0.0,0.32483444549143314,0.3956780359148979,0.024142775684595108,0.10401652101427317,0.10326461726799607,0.19667514879256487,0.0,0.0,0.0,0.0,0.0,0.0
3,True,3,0,Who is the spouse of the child of Peter Andreas Heiberg?,Who is the child of Peter Andreas Heiberg?,1154,26,1972,FusionRAG cache reuse; selection; partial online update,0.34132887702435255,0.021210127044469118,0.10224187932908535,0.16631974931806326,0.05155712133273482,0.0,807,833,0.0,0.0,0.0,0.2897717556916177,0.34132887702435255,0.021210127044469118,0.10224187932908535,0.10149637935683131,0.16631974931806326,0.0,0.0,0.0,0.0,0.0,0.0
4,True,3,1,Who is the spouse of the child of Peter Andreas Heiberg?,Who is the spouse of Johan Ludvig Heiberg?,1353,27,2172,FusionRAG cache reuse; selection; partial online update,0.35851228330284357,0.024267617147415876,0.10169456666335464,0.17604659590870142,0.05650350358337164,0.0,947,974,0.0,0.0,0.0,0.30200877971947193,0.35851228330284357,0.024267617147415876,0.10169456666335464,0.10094182286411524,0.17604659590870142,0.0,0.0,0.0,0.0,0.0,0.0
5,True,4,0,"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?","Who were the siblings of Alice de Lusignan, Countess of Surrey?",1178,32,2002,FusionRAG cache reuse; selection; partial online update,0.346444692928344,0.02196049690246582,0.1034868168644607,0.1675423621200025,0.053455017041414976,0.0,824,856,0.0,0.0,0.0,0.29298967588692904,0.346444692928344,0.02196049690246582,0.1034868168644607,0.10246163327246904,0.1675423621200025,0.0,0.0,0.0,0.0,0.0,0.0
6,True,4,1,"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?",When was King Henry III of England crowned?,2075,24,2891,FusionRAG cache reuse; selection; partial online update,0.44594743428751826,0.029237046372145414,0.10632196301594377,0.23294667107984424,0.07744175381958485,0.0,1452,1476,0.0,0.0,0.0,0.3685056804679334,0.44594743428751826,0.029237046372145414,0.10632196301594377,0.10471446299925447,0.23294667107984424,0.0,0.0,0.0,0.0,0.0,0.0
7,True,6,0,Which university employed the person that Mach bands are named after?,Which university employed Ernst Mach?,1490,21,2303,FusionRAG cache reuse; selection; partial online update,0.38880346436053514,0.025127858854830265,0.1006661239080131,0.1971194427460432,0.06589003885164857,0.0,1043,1064,0.0,0.0,0.0,0.3229134255088866,0.38880346436053514,0.025127858854830265,0.1006661239080131,0.0998191200196743,0.1971194427460432,0.0,0.0,0.0,0.0,0.0,0.0
8,False,7,0,Who is the employer of the physicist who Mach number is named after?,Who is the physicist that the Mach number is named after?,1587,27,2406,FusionRAG cache reuse; selection; partial online update,0.38622802402824163,0.02362555591389537,0.10286934208124876,0.19832938304170966,0.061403742991387844,0.0,1110,1137,0.0,0.0,0.0,0.3248242810368538,0.38622802402824163,0.02362555591389537,0.10286934208124876,0.10195414070039988,0.19832938304170966,0.0,0.0,0.0,0.0,0.0,0.0
9,False,7,1,Who is the employer of the physicist who Mach number is named after?,Who was Ernst Mach's employer or academic institution during his career?,1466,28,2286,FusionRAG cache reuse; selection; partial online update,0.38137432327494025,0.024676009081304073,0.10204173997044563,0.1971102636307478,0.05754631059244275,0.0,1026,1054,0.0,0.0,0.0,0.3238280126824975,0.38137432327494025,0.024676009081304073,0.10204173997044563,0.10128846298903227,0.1971102636307478,0.0,0.0,0.0,0.0,0.0,0.0
10,False,9,0,When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,Which English king trusted William de Longchamp?,1998,25,2815,FusionRAG cache reuse; selection; partial online update,0.4290116038173437,0.02563624596223235,0.10165072977542877,0.23163845716044307,0.07008617091923952,0.0,1398,1423,0.0,0.0,0.0,0.3589254328981042,0.4290116038173437,0.02563624596223235,0.10165072977542877,0.10077470494434237,0.23163845716044307,0.0,0.0,0.0,0.0,0.0,0.0
11,False,9,1,When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,What specific naval expedition or fleet did King Richard I lead that was dispersed by a storm?,2722,33,3547,FusionRAG cache reuse; selection; partial online update,0.5293043609708548,0.03295442182570696,0.10392681416124105,0.29507844895124435,0.09734467603266239,0.0,1905,1938,0.0,0.0,0.0,0.43195968493819237,0.5293043609708548,0.03295442182570696,0.10392681416124105,0.1028443081304431,0.29507844895124435,0.0,0.0,0.0,0.0,0.0,0.0
12,False,10,0,The Unwinding author volunteered for which organisation?,Who is the author of The Unwinding?,1505,25,2322,FusionRAG cache reuse; selection; partial online update,0.38043912732973695,0.025142177939414978,0.10158907808363438,0.1974531621672213,0.056254709139466286,0.0,1053,1078,0.0,0.0,0.0,0.32418441819027066,0.38043912732973695,0.025142177939414978,0.10158907808363438,0.10074524115771055,0.1974531621672213,0.0,0.0,0.0,0.0,0.0,0.0
13,False,10,1,The Unwinding author volunteered for which organisation?,Which organization did George Packer volunteer for?,1738,24,2554,FusionRAG cache reuse; selection; partial online update,0.4007253688760102,0.028276307974010706,0.10179815907031298,0.20608301972970366,0.06456788210198283,0.0,1216,1240,0.0,0.0,0.0,0.33615748677402735,0.4007253688760102,0.028276307974010706,0.10179815907031298,0.10095259780064225,0.20608301972970366,0.0,0.0,0.0,0.0,0.0,0.0
