bin,rank_pct_range,count,importance_mean,key_delta_mean,key_delta_p50,key_delta_p90,value_delta_mean,value_delta_p50,value_delta_p90
0,"[0.0, 0.1]",61,122.96311475409836,0.18792473072888422,0.18887123465538025,0.20649096369743347,1.1252872914564414,1.3645626306533813,1.4387108087539673
1,"[0.1, 0.2]",60,19.907291666666666,0.1730545791486899,0.1720937043428421,0.18766532242298126,0.8464861132204533,0.8306445181369781,1.3971919178962708
2,"[0.2, 0.3]",61,13.451844262295081,0.16781140741754752,0.16927087306976318,0.17890213429927826,0.9182680273642305,0.746894896030426,1.7571498155593872
3,"[0.3, 0.4]",60,10.752083333333333,0.17015434950590133,0.17039033025503159,0.1817441239953041,0.8293853471676509,0.6188783943653107,1.5737811446189882
4,"[0.4, 0.5]",61,9.07530737704918,0.16776637586413837,0.1669747531414032,0.1788579374551773,0.7877605059107796,0.6175493597984314,1.6172538995742798
5,"[0.5, 0.6]",61,7.780225409836065,0.1686146344806327,0.16900409758090973,0.1796376258134842,0.7970444564936591,0.6403482556343079,1.391175627708435
6,"[0.6, 0.7]",60,6.753125,0.1729728639125824,0.1720345988869667,0.18980669230222702,0.736839530368646,0.5609833300113678,1.4259457826614381
7,"[0.7, 0.8]",61,5.95952868852459,0.1755895052776962,0.176033154129982,0.18751582503318787,0.894454514394041,0.7784053683280945,1.5185481309890747
8,"[0.8, 0.9]",60,5.237239583333333,0.17359977215528488,0.17266099154949188,0.18862314522266388,0.8672991385062535,0.7307327389717102,1.5527571320533753
9,"[0.9, 1.0]",606,20.72792904290429,0.1732369581661602,0.17237577587366104,0.1891695037484169,0.8537541088638919,0.6879163980484009,1.5195101499557495
