[2026-07-12 21:42:59] worker start gpu=5 tasks=10 root=/home/hming/FusionRAG-pca-analysis
[2026-07-12 21:42:59] wait existing hotpotqa uniform_alpha0p1 250-260
[2026-07-12 21:44:30] wait existing hotpotqa uniform_alpha0p1 250-260
[2026-07-12 21:46:00] wait existing hotpotqa uniform_alpha0p1 250-260
[2026-07-12 21:47:30] wait existing hotpotqa uniform_alpha0p1 250-260
[2026-07-12 21:49:00] wait existing hotpotqa uniform_alpha0p1 250-260
[2026-07-12 21:50:30] wait existing hotpotqa uniform_alpha0p1 250-260
[2026-07-12 21:52:00] wait existing hotpotqa uniform_alpha0p1 250-260
[2026-07-12 21:53:30] wait existing hotpotqa uniform_alpha0p1 250-260
[2026-07-12 21:55:00] wait existing hotpotqa uniform_alpha0p1 250-260
[2026-07-12 21:56:31] wait existing hotpotqa uniform_alpha0p1 250-260
[2026-07-12 21:58:01] wait existing hotpotqa uniform_alpha0p1 250-260
[2026-07-12 21:59:31] wait existing hotpotqa uniform_alpha0p1 250-260
[2026-07-12 22:01:01] wait existing hotpotqa uniform_alpha0p1 250-260
[2026-07-12 22:02:31] wait existing hotpotqa uniform_alpha0p1 250-260
[2026-07-12 22:04:01] wait existing hotpotqa uniform_alpha0p1 250-260
[2026-07-12 22:05:31] wait existing hotpotqa uniform_alpha0p1 250-260
[2026-07-12 22:07:02] wait existing hotpotqa uniform_alpha0p1 250-260
[2026-07-12 22:08:32] wait existing hotpotqa uniform_alpha0p1 250-260
[2026-07-12 22:10:02] wait existing hotpotqa uniform_alpha0p1 250-260
[2026-07-12 22:11:32] skip done hotpotqa uniform_alpha0p1 250-260
[2026-07-12 22:11:32] run triviaqa uniform_alpha0p1 175-200
[2026-07-12 22:17:20] done rc=1 triviaqa uniform_alpha0p1 175-200
[2026-07-12 22:17:21] run hotpotqa uniform_alpha0p25 225-250
