[2026-07-12 21:42:59] worker start gpu=2 tasks=11 root=/home/hming/FusionRAG-pca-analysis
[2026-07-12 21:42:59] wait existing hotpotqa uniform_alpha0p1 175-200
[2026-07-12 21:44:30] wait existing hotpotqa uniform_alpha0p1 175-200
[2026-07-12 21:46:00] wait existing hotpotqa uniform_alpha0p1 175-200
[2026-07-12 21:47:30] wait existing hotpotqa uniform_alpha0p1 175-200
[2026-07-12 21:49:00] wait existing hotpotqa uniform_alpha0p1 175-200
[2026-07-12 21:50:30] wait existing hotpotqa uniform_alpha0p1 175-200
[2026-07-12 21:52:00] wait existing hotpotqa uniform_alpha0p1 175-200
[2026-07-12 21:53:30] wait existing hotpotqa uniform_alpha0p1 175-200
[2026-07-12 21:55:00] wait existing hotpotqa uniform_alpha0p1 175-200
[2026-07-12 21:56:31] wait existing hotpotqa uniform_alpha0p1 175-200
[2026-07-12 21:58:01] wait existing hotpotqa uniform_alpha0p1 175-200
[2026-07-12 21:59:31] wait existing hotpotqa uniform_alpha0p1 175-200
[2026-07-12 22:01:01] wait existing hotpotqa uniform_alpha0p1 175-200
[2026-07-12 22:02:31] wait existing hotpotqa uniform_alpha0p1 175-200
[2026-07-12 22:04:01] wait existing hotpotqa uniform_alpha0p1 175-200
[2026-07-12 22:05:31] wait existing hotpotqa uniform_alpha0p1 175-200
[2026-07-12 22:07:01] wait existing hotpotqa uniform_alpha0p1 175-200
[2026-07-12 22:08:32] wait existing hotpotqa uniform_alpha0p1 175-200
[2026-07-12 22:10:02] wait existing hotpotqa uniform_alpha0p1 175-200
[2026-07-12 22:11:32] wait existing hotpotqa uniform_alpha0p1 175-200
[2026-07-12 22:13:02] wait existing hotpotqa uniform_alpha0p1 175-200
[2026-07-12 22:14:32] wait existing hotpotqa uniform_alpha0p1 175-200
[2026-07-12 22:16:02] wait existing hotpotqa uniform_alpha0p1 175-200
[2026-07-12 22:17:33] run hotpotqa uniform_alpha0p1 175-200
